Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Retensi,Pihak Ketiga,Pihak Berelasi,Total Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Liabilitas Keuangan Lainnya,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,2942278000.000000,105008355000.000000,104695869000.000000,312486000.000000,105008355000.000000,12412000.000000,12412000.000000,12412000.000000,,,,,,121603634000.000000,29720919000.000000,259287598000.000000,,,85639848000.000000,,13762168000.000000,2492572000.000000,101894588000.000000,361182186000.000000,,,81670263000.000000,52518257000.000000,8657752000.000000,,6083157000.000000,1772594000.000000,,7552530000.000000,,,7552530000.000000,5085973000.000000,81670263000.000000,27271692000.000000,,13846305000.000000,,,,13846305000.000000,,13425387000.000000,27271692000.000000,108941955000.000000,,301000000000.000000,600000000.000000,-49347443000.000000,,,-49347443000.000000,-12325000.000000,252240232000.000000,361182187000.000000,6020000000.000000
12M 2012,,,18746821000.000000,67312492000.000000,66888146000.000000,424346000.000000,67312492000.000000,,,,,,,,,180002478000.000000,40825554000.000000,306887345000.000000,,571173000.000000,80470546000.000000,544224000.000000,13625622000.000000,10050000.000000,95221615000.000000,402108960000.000000,,,111511056000.000000,85297372000.000000,9300947000.000000,4768000000.000000,1672610000.000000,2418205000.000000,,8053922000.000000,,,8053922000.000000,,111511056000.000000,21393761000.000000,,6711601000.000000,,,,6711601000.000000,,14682160000.000000,21393761000.000000,132904817000.000000,,301000000000.000000,600000000.000000,-32391407000.000000,,,-32391407000.000000,-4450000.000000,269204143000.000000,402108960000.000000,6020000000.000000
12M 2013,,,8598239000.000000,81705524000.000000,81303788000.000000,401736000.000000,81705524000.000000,,,,,,,,,192744153000.000000,11741269000.000000,294789185000.000000,,4296971000.000000,118272543000.000000,408897000.000000,3012177000.000000,2775000.000000,125993363000.000000,420782548000.000000,,,89839668000.000000,59788989000.000000,9708678000.000000,4768000000.000000,3654222000.000000,3023737000.000000,,8459950000.000000,436092000.000000,,8896042000.000000,,89839668000.000000,16567246000.000000,,,,584307000.000000,,584307000.000000,,15982939000.000000,16567246000.000000,106406914000.000000,,301000000000.000000,600000000.000000,-16397112000.000000,,,-16397112000.000000,29172746000.000000,314375634000.000000,420782548000.000000,6020000000.000000
12M 2014,,,23522063000.000000,94876681000.000000,94465683000.000000,410998000.000000,94876681000.000000,,,,,,,,,182628520000.000000,34864884000.000000,335892148000.000000,,4838940000.000000,122183633000.000000,305570000.000000,119513000.000000,7320000.000000,127454976000.000000,463347124000.000000,,,116994521000.000000,90489468000.000000,8367017000.000000,4778424000.000000,8403230000.000000,4153839000.000000,,,802543000.000000,,802543000.000000,,116994521000.000000,17516164000.000000,,,,510685000.000000,,510685000.000000,,17005479000.000000,17516164000.000000,134510685000.000000,,301000000000.000000,600000000.000000,-1940852000.000000,,,-1940852000.000000,29177291000.000000,328836439000.000000,463347124000.000000,6020000000.000000
12M 2015,,,14988397000.000000,117335496000.000000,117032496000.000000,303000000.000000,117335496000.000000,,,,,,,,,223054752000.000000,85360567000.000000,440739212000.000000,,4817000000.000000,125627353000.000000,186244000.000000,2703505000.000000,,133334102000.000000,574073314000.000000,,,203379900000.000000,165172148000.000000,13970434000.000000,4768000000.000000,3224269000.000000,3918762000.000000,,568750000.000000,566889000.000000,,1135639000.000000,11190648000.000000,203379900000.000000,30613578000.000000,,,6256250000.000000,285889000.000000,,6542139000.000000,,24071439000.000000,30613578000.000000,233993478000.000000,,301000000000.000000,600000000.000000,9295365000.000000,,,9295365000.000000,29184471000.000000,340079836000.000000,574073314000.000000,6020000000.000000
12M 2016,,,3983543000.000000,118463589000.000000,118257132000.000000,206457000.000000,118463589000.000000,,,,,,,,,264136305000.000000,94959130000.000000,481542567000.000000,,2291000000.000000,220066270000.000000,36917000.000000,13212950000.000000,,235607137000.000000,717149704000.000000,,,276341289000.000000,238498248000.000000,20925951000.000000,4768000000.000000,655258000.000000,4470520000.000000,,6810811000.000000,212501000.000000,,7023312000.000000,,276341289000.000000,38754782000.000000,,,11918919000.000000,77265000.000000,,11996184000.000000,,26758598000.000000,38754782000.000000,315096071000.000000,,301000000000.000000,600000000.000000,19832230000.000000,,,19832230000.000000,80621403000.000000,402053633000.000000,717149704000.000000,6020000000.000000
12M 2017,,,7782872000.000000,95520907000.000000,95126907000.000000,394000000.000000,95520907000.000000,,,,,,,,,264621844000.000000,54606503000.000000,422532126000.000000,,2341000000.000000,211756440000.000000,,16096888000.000000,,230194328000.000000,652726454000.000000,,,198217020000.000000,167179116000.000000,8471814000.000000,4768000000.000000,3571270000.000000,5483713000.000000,,6810811000.000000,430467000.000000,,7241278000.000000,1501829000.000000,198217020000.000000,39003535000.000000,,,5108108000.000000,581161000.000000,,5689269000.000000,,33314266000.000000,39003535000.000000,237220555000.000000,,301000000000.000000,600000000.000000,33052382000.000000,,,33052382000.000000,80853517000.000000,415505899000.000000,652726454000.000000,6020000000.000000
12M 2018,,,9103719000.000000,128433648000.000000,128331348000.000000,102300000.000000,128433648000.000000,,,,,,,,,231990354000.000000,78719539000.000000,448247260000.000000,,575000000.000000,224257888000.000000,,13697063000.000000,,238529951000.000000,686777211000.000000,,,182749220000.000000,145511875000.000000,11314441000.000000,4768000000.000000,8847316000.000000,4988712000.000000,,5108108000.000000,357133000.000000,329496000.000000,5794737000.000000,1524139000.000000,182749220000.000000,26239975000.000000,,,,224029000.000000,532262000.000000,756291000.000000,,25483684000.000000,26239975000.000000,208989195000.000000,,301000000000.000000,600000000.000000,80211661000.000000,,,80211661000.000000,95976355000.000000,477788016000.000000,686777211000.000000,6020000000.000000
12M 2019,,,27385791000.000000,154767798000.000000,154601298000.000000,166500000.000000,154767798000.000000,,,,,,,,,285804878000.000000,69466897000.000000,537425364000.000000,,575000000.000000,228818788000.000000,,12427706000.000000,,241821494000.000000,779246858000.000000,,,217673718000.000000,150208620000.000000,43714048000.000000,4768000000.000000,3982460000.000000,7243080000.000000,,5000000000.000000,84711000.000000,2184650000.000000,7269361000.000000,488149000.000000,217673718000.000000,46972577000.000000,,,19236301000.000000,,2730969000.000000,21967270000.000000,,25005307000.000000,46972577000.000000,264646295000.000000,,301000000000.000000,600000000.000000,117024208000.000000,,,117024208000.000000,95976355000.000000,514600563000.000000,779246858000.000000,6020000000.000000
12M 2020,,,40472889000.000000,181455713000.000000,181455713000.000000,,181455713000.000000,,,,,,,,,323200819000.000000,34264541000.000000,579393962000.000000,,766000000.000000,319819738000.000000,,6867195000.000000,,327452933000.000000,906846895000.000000,,,266837335000.000000,218302500000.000000,15848490000.000000,4768000000.000000,5360671000.000000,11095112000.000000,,8113856000.000000,,2956298000.000000,11070154000.000000,392408000.000000,266837335000.000000,52122162000.000000,,,25593980000.000000,,1574038000.000000,27168018000.000000,,24954144000.000000,52122162000.000000,318959497000.000000,,301000000000.000000,600000000.000000,147514029000.000000,,,147514029000.000000,138773369000.000000,587887398000.000000,906846895000.000000,6020000000.000000
12M 2021,,,24461897000.000000,122670238000.000000,122130016000.000000,540222000.000000,122670238000.000000,,,,,,,,,340874112000.000000,40381685000.000000,528387932000.000000,,766000000.000000,324351860000.000000,,6657116000.000000,,331774976000.000000,860162908000.000000,,,213017466000.000000,160972635000.000000,30249260000.000000,4768000000.000000,1209512000.000000,6177806000.000000,,8113856000.000000,,1315647000.000000,9429503000.000000,210750000.000000,213017466000.000000,38938014000.000000,,,17480124000.000000,,372816000.000000,17852940000.000000,,21085074000.000000,38938014000.000000,251955480000.000000,,301000000000.000000,600000000.000000,167834059000.000000,,,167834059000.000000,138773369000.000000,608207428000.000000,860162908000.000000,6020000000.000000
12M 2022,,,14505411000.000000,181007017000.000000,180812667000.000000,194350000.000000,181007017000.000000,,,,,,,,,277489414000.000000,65288154000.000000,538289996000.000000,,958000000.000000,334576636000.000000,,2777669000.000000,,338312305000.000000,876602301000.000000,,,191188510000.000000,143195723000.000000,20851894000.000000,4768000000.000000,3553927000.000000,9794193000.000000,,8113857000.000000,,646843000.000000,8760700000.000000,264073000.000000,191188510000.000000,27071362000.000000,,,9366267000.000000,,657719000.000000,10023986000.000000,,17047376000.000000,27071362000.000000,218259872000.000000,,301000000000.000000,600000000.000000,202163296000.000000,,,202163296000.000000,154579133000.000000,658342429000.000000,876602301000.000000,6020000000.000000
12M 2023,,,18160023000.000000,184270692000.000000,183736164000.000000,534528000.000000,184270692000.000000,,,,,,,,,316291024000.000000,73829582000.000000,592551321000.000000,,958000000.000000,341229561000.000000,,1958969000.000000,,344146530000.000000,936697851000.000000,,,205361384000.000000,142241501000.000000,26199188000.000000,4768000000.000000,4326529000.000000,14360426000.000000,,6866267000.000000,,919265000.000000,7785532000.000000,5680208000.000000,205361384000.000000,20748947000.000000,,,2500000000.000000,,976447000.000000,3476447000.000000,,17272500000.000000,20748947000.000000,226110331000.000000,,301000000000.000000,600000000.000000,254408387000.000000,,,254408387000.000000,154579133000.000000,710587520000.000000,936697851000.000000,6020000000.000000
12M 2024,,,4673796000.000000,206538624000.000000,206080387000.000000,458237000.000000,206538624000.000000,,,,,,,,,411909715000.000000,114127324000.000000,737249459000.000000,,1198000000.000000,396981530000.000000,,,,398179530000.000000,1135428989000.000000,,,377107726000.000000,301533333000.000000,28271541000.000000,4768000000.000000,601661000.000000,16627192000.000000,,2500000000.000000,,2604229000.000000,5104229000.000000,20201770000.000000,377107726000.000000,19763934000.000000,,,,,3373046000.000000,3373046000.000000,911411000.000000,15479477000.000000,19763934000.000000,396871660000.000000,,301000000000.000000,600000000.000000,271657666000.000000,,,271657666000.000000,165299663000.000000,738557329000.000000,1135428989000.000000,6020000000.000000
