Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,1.29,41.90,1.29,41.90,60 B,14 B,74 B,71 B,178 B
12M 2012,1.12,44.72,1.12,44.63,98 B,7 B,105 B,86 B,195 B
12M 2013,0.96,52.22,0.96,52.15,73 B,1 B,74 B,65 B,205 B
12M 2014,0.92,54.62,0.92,54.57,96 B,1 B,97 B,73 B,219 B
12M 2015,0.89,56.49,0.89,56.46,171 B,7 B,178 B,163 B,237 B
12M 2016,0.75,66.79,0.75,66.78,250 B,12 B,262 B,258 B,205 B
12M 2017,0.72,69.02,0.72,69.02,179 B,6 B,185 B,177 B,224 B
12M 2018,0.79,79.37,0.79,79.37,156 B,1 B,157 B,148 B,265 B
12M 2019,0.80,85.48,0.80,85.48,162 B,22 B,184 B,157 B,320 B
12M 2020,0.59,97.66,0.59,97.66,234 B,27 B,261 B,221 B,313 B
12M 2021,0.54,101.03,0.54,101.03,175 B,18 B,193 B,169 B,315 B
12M 2022,0.48,109.36,0.48,109.36,157 B,10 B,167 B,152 B,347 B
12M 2023,0.57,118.04,0.57,118.04,155 B,3 B,158 B,140 B,387 B
12M 2024,0.41,122.68,0.41,122.68,311 B,3 B,315 B,310 B,360 B
