Period,Arus Kas Dari Aktivitas Operasi,Penerimaan/(Pembayaran) Kas Dari Pihak Hubungan Istimewa,Penerimaan Dari Pihak Pelanggan,Penerimaan/(Pembayaran) Kas Dari Pihak Ketiga,Penerimaan/(Pembayaran) Kas Kepada Pemasok Dan Pihak Ketiga Lainnya,Penerimaan/(Pembayaran) Pajak,Penerimaan/(Pembayaran) Bunga,Pembayaran Pada Karyawan,Pendapatan Bunga,Penerimaan Restitusi Pajak,Pembayaran Deviden,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Sewa Pembiayaan,Penjualan Aset Tetap,Hasil Penjualan Aset Tidak Digunakan Dalam Usaha,Pembayaran Deviden,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Pembayaran Dividen,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2011,29713806000.000000,,358764044000.000000,,-292564856000.000000,-5265430000.000000,-4216942000.000000,-27003010000.000000,,,,,29713806000.000000,1218043000.000000,-4602248000.000000,,468632000.000000,5615659000.000000,,-264000000.000000,1218043000.000000,-32217030000.000000,92031901000.000000,,,-124248931000.000000,,,,,-32217030000.000000,-1285181000.000000,4214114000.000000,13345000.000000,2942278000.000000
12M 2012,-7454188000.000000,,420584239000.000000,,-384720720000.000000,-16444563000.000000,-5418014000.000000,-26017220000.000000,,4562090000.000000,,,-7454188000.000000,-2973036000.000000,-3438877000.000000,,962437000.000000,,,-496596000.000000,-2973036000.000000,26145804000.000000,211143594000.000000,,,-184997790000.000000,,,,,26145804000.000000,15718580000.000000,2942278000.000000,85963000.000000,18746821000.000000
12M 2013,37888934000.000000,,378190394000.000000,,-299264400000.000000,-10316305000.000000,-6816399000.000000,-25856463000.000000,,1952107000.000000,,,37888934000.000000,-16008499000.000000,-15948459000.000000,,289773000.000000,486364000.000000,,-836177000.000000,-16008499000.000000,-33562305000.000000,190073691000.000000,,,-223635996000.000000,,,,,-33562305000.000000,-11681870000.000000,18746821000.000000,1533288000.000000,8598239000.000000
12M 2014,9622985000.000000,,459663432000.000000,,-403489651000.000000,-8157747000.000000,-9281979000.000000,-29411394000.000000,,300324000.000000,,,9622985000.000000,-16094936000.000000,-12495670000.000000,,474615000.000000,,,-4073881000.000000,-16094936000.000000,21248987000.000000,220728780000.000000,,,-199479793000.000000,,,,,21248987000.000000,14777036000.000000,8598239000.000000,146789000.000000,23522064000.000000
12M 2015,-76732542000.000000,,520305158000.000000,,-541477669000.000000,-9662769000.000000,-14227032000.000000,-31670230000.000000,,,,,-76732542000.000000,-14541100000.000000,-11088959000.000000,,521711000.000000,,,-3973852000.000000,-14541100000.000000,81507680000.000000,275348855000.000000,,,-193841175000.000000,,,,,81507680000.000000,-9765962000.000000,23522063000.000000,1232297000.000000,14988398000.000000
12M 2016,114821748000.000000,,499411574000.000000,,-332520127000.000000,-4898179000.000000,-17610944000.000000,-29560576000.000000,,,,,114821748000.000000,-40672173000.000000,-40688907000.000000,,16734000.000000,,,,-40672173000.000000,-85230830000.000000,80136910000.000000,,,-165367740000.000000,,,,,-85230830000.000000,-11081255000.000000,14988397000.000000,76402000.000000,3983544000.000000
12M 2017,85865101000.000000,,545738697000.000000,,-406674129000.000000,-1005112000.000000,-22370360000.000000,-31971813000.000000,,2147818000.000000,,,85865101000.000000,-3640363000.000000,-3813090000.000000,,172727000.000000,,,,-3640363000.000000,-78479480000.000000,548947509000.000000,,,-627077451000.000000,,,,-349538000.000000,-78479480000.000000,3745258000.000000,3983543000.000000,54072000.000000,7782873000.000000
12M 2018,31387996000.000000,,568096443000.000000,,-482997321000.000000,-8338542000.000000,-14058261000.000000,-35220778000.000000,,3906455000.000000,,,31387996000.000000,-1314364000.000000,-7818909000.000000,,4545000.000000,6500000000.000000,,,-1314364000.000000,-29240852000.000000,1462591654000.000000,,-1484258895000.000000,-6810811000.000000,,-332333000.000000,,-430467000.000000,-29240852000.000000,832780000.000000,7782872000.000000,488066000.000000,9103718000.000000
12M 2019,10927791000.000000,,656955456000.000000,,-577983243000.000000,-18614426000.000000,-13167729000.000000,-36262267000.000000,,,,,10927791000.000000,-18993873000.000000,-5913125000.000000,-7063364000.000000,,,-6017384000.000000,,-18993873000.000000,27382348000.000000,468857203000.000000,25000000000.000000,-464160458000.000000,-5871807000.000000,5822067000.000000,-1768206000.000000,,-496451000.000000,27382348000.000000,19316266000.000000,9103719000.000000,-1034194000.000000,27385791000.000000
12M 2020,5784321000.000000,,863901951000.000000,,-784722975000.000000,-8193767000.000000,-20779149000.000000,-44421739000.000000,,,,,5784321000.000000,-68123051000.000000,-56435224000.000000,,346909000.000000,,-12034736000.000000,,-68123051000.000000,74876347000.000000,699311609000.000000,15000000000.000000,-631217729000.000000,-5528465000.000000,,-2604357000.000000,,-84711000.000000,74876347000.000000,12537617000.000000,27385791000.000000,549480000.000000,40472888000.000000
