Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,387354222000.000000,-299748018000.000000,87606204000.000000,-49577951000.000000,-48204871000.000000,,,-1373080000.000000,-49577951000.000000,38028253000.000000,-4216942000.000000,,-4216942000.000000,,,-4216942000.000000,33811311000.000000,-9823476000.000000,,,,-9823476000.000000,23987835000.000000,,23987835000.000000,23987835000.000000,23987835000.000000,,23987835000.000000,23987835000.000000,23987835000.000000,,23987835000.000000
12M 2012,384145388000.000000,-302808979000.000000,81336409000.000000,-50083112000.000000,-50886930000.000000,,,803818000.000000,-50083112000.000000,31253297000.000000,-5492682000.000000,,-5492682000.000000,,,-5492682000.000000,25760615000.000000,-8804575000.000000,,,,-8804575000.000000,16956040000.000000,7875000.000000,16963915000.000000,16956040000.000000,16956040000.000000,,16956040000.000000,16963915000.000000,16963915000.000000,,16963915000.000000
12M 2013,392315526000.000000,-306038282000.000000,86277244000.000000,-46338297000.000000,-50364498000.000000,,,4026201000.000000,-46338297000.000000,39938947000.000000,-7271993000.000000,,-7271993000.000000,,,-7271993000.000000,32666954000.000000,-16672659000.000000,,,,-16672659000.000000,15994295000.000000,29177196000.000000,45171491000.000000,15994295000.000000,15994295000.000000,,15994295000.000000,45171491000.000000,45171491000.000000,,45171491000.000000
12M 2014,472834591000.000000,-376489241000.000000,96345350000.000000,-56518277000.000000,-59186991000.000000,,,2668714000.000000,-56518277000.000000,39827073000.000000,-9969083000.000000,,-9969083000.000000,,,-9969083000.000000,29857990000.000000,-15401730000.000000,,,,-15401730000.000000,14456260000.000000,4545000.000000,14460805000.000000,14456260000.000000,14456260000.000000,,14456260000.000000,14460805000.000000,14460805000.000000,,14460805000.000000
12M 2015,531573325000.000000,-417139227000.000000,114434098000.000000,-78912858000.000000,-80478270000.000000,,,1565412000.000000,-78912858000.000000,35521240000.000000,-14806577000.000000,,-14806577000.000000,,,-14806577000.000000,20714663000.000000,-5209875000.000000,,,,-5209875000.000000,15504788000.000000,544835000.000000,16049623000.000000,15504788000.000000,15504788000.000000,,15504788000.000000,16049623000.000000,16049623000.000000,,16049623000.000000
12M 2016,500539668000.000000,-410835586000.000000,89704082000.000000,-69778012000.000000,-67412749000.000000,,,-2365263000.000000,-69778012000.000000,19926070000.000000,-18237708000.000000,,-18237708000.000000,,,-18237708000.000000,1688362000.000000,10851227000.000000,,,,10851227000.000000,12539589000.000000,50917745000.000000,63457334000.000000,12539589000.000000,12539589000.000000,,12539589000.000000,63457334000.000000,63457334000.000000,,63457334000.000000
12M 2017,521481727000.000000,-407409419000.000000,114072308000.000000,-72719258000.000000,-73649611000.000000,,,930353000.000000,-72719258000.000000,41353050000.000000,-22383842000.000000,,-22383842000.000000,,,-22383842000.000000,18969208000.000000,-1270641000.000000,,,,-1270641000.000000,17698567000.000000,-4246301000.000000,13452266000.000000,17698567000.000000,17698567000.000000,,17698567000.000000,13452266000.000000,13452266000.000000,,13452266000.000000
12M 2018,600986872000.000000,-458091261000.000000,142895611000.000000,-77979876000.000000,-83109088000.000000,,,5129212000.000000,-77979876000.000000,64915735000.000000,-14069972000.000000,,-14069972000.000000,,,-14069972000.000000,50845763000.000000,-12110671000.000000,,,,-12110671000.000000,38735092000.000000,23547025000.000000,62282117000.000000,38735092000.000000,38735092000.000000,,38735092000.000000,62282117000.000000,62282117000.000000,,62282117000.000000
12M 2019,684464392000.000000,-511519472000.000000,172944920000.000000,-102209851000.000000,-102044774000.000000,,,-165077000.000000,-102209851000.000000,70735069000.000000,-13705410000.000000,,-13705410000.000000,,,-13705410000.000000,57029659000.000000,-14200531000.000000,,,,-14200531000.000000,42829128000.000000,3419000.000000,42832547000.000000,42829128000.000000,42829128000.000000,,42829128000.000000,42832547000.000000,42832547000.000000,,42832547000.000000
12M 2020,890996866000.000000,-699831445000.000000,191165421000.000000,-109320769000.000000,-111840300000.000000,,,2519531000.000000,-109320769000.000000,81844652000.000000,-20816785000.000000,,-20816785000.000000,,,-20816785000.000000,61027867000.000000,-16875622000.000000,-4972701000.000000,-11902921000.000000,,-16875622000.000000,44152245000.000000,42590767000.000000,86743012000.000000,44152245000.000000,44152245000.000000,,44152245000.000000,86743012000.000000,86743012000.000000,,86743012000.000000
