Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.93,35.49,0.93,35.49,30 B,878 B,908 B,799 B,211 B
12M 2009,1.47,31.37,1.47,31.37,2 B,858 B,860 B,852 B,76 B
12M 2010,4.54,72.44,4.54,72.44,3 B,850 B,853 B,653 B,520 B
12M 2011,2.90,70.64,2.90,70.64,27 B,715 B,743 B,431 B,239 B
12M 2012,2.51,73.42,-13.68,-13.45,53 B,705 B,758 B,435 B,204 B
12M 2013,2.55,100.10,12.01,21.24,81 B,657 B,737 B,225 B,776 B
12M 2014,1.77,113.36,6.35,31.64,145 B,"1,253 B","1,398 B",757 B,905 B
12M 2015,0.61,121.40,2.41,30.76,205 B,"1,076 B","1,280 B",643 B,851 B
12M 2016,0.98,132.93,4.96,26.22,217 B,"2,153 B","2,370 B","1,746 B",958 B
12M 2017,1.74,123.24,13.13,16.38,262 B,"2,163 B","2,425 B","1,788 B",801 B
12M 2018,1.49,138.44,3.62,56.95,236 B,824 B,"1,059 B",396 B,661 B
12M 2019,1.50,146.96,15.38,14.30,89 B,"1,271 B","1,360 B",770 B,332 B
12M 2020,1.53,146.65,-4.93,-45.46,169 B,"1,840 B","2,009 B","1,643 B",144 B
12M 2021,0.78,146.66,-2.21,-51.55,405 B,"2,456 B","2,860 B","1,874 B",665 B
12M 2022,0.80,150.81,-1.55,-78.15,"1,111 B","5,528 B","6,638 B","6,115 B",(986 B)
12M 2023,1.17,203.02,1.25,191.14,56 B,457 B,512 B,264 B,322 B
12M 2024,1.07,221.67,1.13,209.85,66 B,404 B,469 B,255 B,323 B
