Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Sewa Pembiayaan,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Tak Berwujud,Hak Pengusahaan Jalan Tol,Goodwill,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Liabilitas Derivatif,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Dari Pihak Berelasi,Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Pinjaman Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Pinjaman Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Usaha,Liabilitas Pajak Tangguhan,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,108803990135.000000,,,108803990135.000000,,83641473315.000000,,,83641473315.000000,42508739698.000000,,,46004686049.000000,280958889197.000000,,,,5955635989.000000,,1047637137695.000000,,,,18409137101.000000,2657389740.000000,1074659300525.000000,1355618189722.000000,,,69933463990.000000,,,,19276276211.000000,16910903519.000000,36187179730.000000,,349710676.000000,485977197.000000,1639149773.000000,,,29684897210.000000,,,29684897210.000000,1586549404.000000,69933463990.000000,882602214121.000000,,,872155768251.000000,439606682.000000,,872595374933.000000,,2334926684.000000,5501440000.000000,2170472504.000000,882602214121.000000,952535678111.000000,,354500000015.000000,6659372521.000000,-16215694345.000000,,,-16215694345.000000,43584460981.000000,14554372439.000000,403082511611.000000,1355618189722.000000,10128571429.000000
12M 2009,,,7928964864.000000,,,7928964864.000000,22000000000.000000,35569266276.000000,,,35569266276.000000,3154101046.000000,,,20925807171.000000,89578139357.000000,,,,24145741695.000000,,1101204005891.000000,,,,17422933328.000000,182260002.000000,1142954940916.000000,1232533080273.000000,,,13753268153.000000,,,,2740841213.000000,934533818.000000,3675375031.000000,,691194504.000000,2635912495.000000,3155263033.000000,,,2123148142.000000,,,2123148142.000000,1472374948.000000,13753268153.000000,860176750536.000000,,,851637120608.000000,439606683.000000,,852076727291.000000,,,5501440000.000000,2598583245.000000,860176750536.000000,873930018689.000000,,354500000015.000000,6659372521.000000,-58006994357.000000,,,-58006994357.000000,40896310966.000000,14554372439.000000,358603061584.000000,1232533080273.000000,10128571429.000000
12M 2010,,,199707146484.000000,,,199707146484.000000,25000000000.000000,6744877191.000000,6744877191.000000,,6744877191.000000,3302647603.000000,,,322060733174.000000,556815404452.000000,,,,42147057115.000000,203324337772.000000,1090131851555.000000,,,,16436729555.000000,182260000.000000,1352222235997.000000,1909037640449.000000,,,37126080501.000000,,,,4277532289.000000,852010755.000000,5129543044.000000,,22136659585.000000,2953150231.000000,2998879300.000000,,,112516324.000000,2414814809.000000,,2527331133.000000,1380517208.000000,37126080501.000000,853350305057.000000,,30197271.000000,849163972461.000000,,,849194169732.000000,,,900000000.000000,3256135325.000000,853350305057.000000,890476385558.000000,,947855000015.000000,157930066303.000000,-92486882114.000000,,,-92486882114.000000,37697724586.000000,-32434653899.000000,1018561254891.000000,1909037640449.000000,13540785715.000000
12M 2011,,,311717614273.000000,,,311717614273.000000,,9683702391.000000,9683702391.000000,,9683702391.000000,8001440144.000000,,,20957494169.000000,350360250977.000000,,,,40882025872.000000,232740973861.000000,1194180331161.000000,,,,15450525782.000000,1535673076.000000,1484789529752.000000,1835149780729.000000,,,111239396284.000000,,,,29822500467.000000,706970000.000000,30529470467.000000,,47985343560.000000,881942404.000000,3291978827.000000,,,26405353195.000000,888945129.000000,,27294298324.000000,1256362702.000000,111239396284.000000,719909886148.000000,,2263089999.000000,712160358434.000000,,,714423448433.000000,,215189599.000000,900000000.000000,4371248116.000000,719909886148.000000,831149282432.000000,,958331683575.000000,160624070647.000000,-119574431749.000000,,,-119574431749.000000,36919369723.000000,-32300193899.000000,1004000498297.000000,1835149780729.000000,13690452623.000000
12M 2012,,,322810253027.000000,,,322810253027.000000,,1376942500.000000,1376942500.000000,,1376942500.000000,12523710114.000000,35649562583.000000,,87498153314.000000,459858621538.000000,,,,51357512529.000000,299229498784.000000,17903603604.000000,1189636820129.000000,,,,1541673077.000000,1559669108123.000000,2019527729661.000000,,,255417599678.000000,,,,189620578.000000,,189620578.000000,,183478972049.000000,3344921316.000000,12559697108.000000,,,51696609216.000000,1338098516.000000,,53034707732.000000,2809680895.000000,255417599678.000000,715915829722.000000,,2153502655.000000,701861363970.000000,,,704014866625.000000,,4185577766.000000,900000000.000000,6815385331.000000,715915829722.000000,971333429400.000000,,958614787095.000000,160696868695.000000,-76201872527.000000,,,-76201872527.000000,42691397147.000000,-37606880149.000000,1048194300261.000000,2019527729661.000000,13694496599.000000
12M 2013,,,512543267279.000000,,,512543267279.000000,47451441994.000000,2409513505.000000,2326793841.000000,82719664.000000,2409513505.000000,24776407756.000000,46684343935.000000,,262381651953.000000,896246626422.000000,,,,67127392022.000000,322457532118.000000,35769060147.000000,1193308203347.000000,,8147474456.000000,,56525469950.000000,1683335132040.000000,2579581758462.000000,,,120130919506.000000,,,,5469167697.000000,463769385.000000,5932937082.000000,,2593949753.000000,5707407509.000000,17983203982.000000,,,79732250369.000000,1049588428.000000,,80781838797.000000,7131582383.000000,120130919506.000000,703046680406.000000,,1141340841.000000,655545949152.000000,,,656687289993.000000,,30379840128.000000,,15979550285.000000,703046680406.000000,823177599912.000000,,1066497031565.000000,258296264704.000000,-16099307578.000000,,,-16099307578.000000,231275125512.000000,216435044347.000000,1756404158550.000000,2579581758462.000000,15235671880.000000
12M 2014,,,640543439046.000000,,,640543439046.000000,147358026197.000000,64670302761.000000,64586972149.000000,83330612.000000,64670302761.000000,23921984977.000000,46197180704.000000,4717616802.000000,355258261934.000000,1282666812421.000000,,,,61047512491.000000,326616600264.000000,120066714671.000000,1138067778099.000000,,106905197052.000000,881946292439.000000,157580091934.000000,2792230186950.000000,4074896999371.000000,,,377865840557.000000,,,,15746172878.000000,,15746172878.000000,,174769552190.000000,13763814941.000000,23391323136.000000,,,1335048789.000000,143574665671.000000,,144909714460.000000,5285262952.000000,377865840557.000000,1331758243996.000000,,992802402.000000,1251715091115.000000,,,1252707893517.000000,,44099755945.000000,,34950594534.000000,1331758243996.000000,1709624084553.000000,,1066497031565.000000,156034464617.000000,76024066478.000000,,,76024066478.000000,638205243551.000000,428512108607.000000,2365272914818.000000,4074896999371.000000,15235671880.000000
12M 2015,,,637430396984.000000,,,637430396984.000000,149532726324.000000,97356655339.000000,97270080216.000000,86575123.000000,97356655339.000000,53687867919.000000,274319058.000000,11529567775.000000,457846121689.000000,1407657655088.000000,,,51750017599.000000,71720850127.000000,345317170299.000000,122662024967.000000,1186961250661.000000,,193973980124.000000,1245790823332.000000,214360544697.000000,3432536661806.000000,4840194316894.000000,,,556830240373.000000,,,,37547182641.000000,,37547182641.000000,,278833648339.000000,16911687647.000000,15451286158.000000,,,861250780.000000,203672499800.000000,,204533750580.000000,3552685008.000000,556830240373.000000,1678874565199.000000,,1100148389.000000,1074850465733.000000,,455400000000.000000,1531350614122.000000,,84299225109.000000,,63224725968.000000,1678874565199.000000,2235704805572.000000,,1066497031565.000000,155638281853.000000,204955715903.000000,,,204955715903.000000,754832383346.000000,422566098655.000000,2604489511322.000000,4840194316894.000000,15235671880.000000
12M 2016,,,624321538450.000000,,,624321538450.000000,150022603650.000000,75986984916.000000,75986984916.000000,,75986984916.000000,58259296291.000000,49391105959.000000,13078650892.000000,440325522148.000000,1411385702306.000000,,,,86085358843.000000,358743630299.000000,201144275649.000000,1330553030663.000000,,295260416285.000000,1591479705489.000000,247033169454.000000,4110299586682.000000,5521685288988.000000,,,453350585324.000000,,35000000000.000000,,43661723838.000000,,43661723838.000000,,137401185022.000000,21318282023.000000,29426047328.000000,,,3292827026.000000,178737482876.000000,,182030309902.000000,4513037211.000000,453350585324.000000,2376340569804.000000,,2117219253.000000,2151157691699.000000,,,2153274910952.000000,3138411906.000000,118824164631.000000,,101103082315.000000,2376340569804.000000,2829691155128.000000,,1066497031565.000000,155638281853.000000,353276105325.000000,,,353276105325.000000,666711634772.000000,449871080345.000000,2691994133860.000000,5521685288988.000000,15235671880.000000
12M 2017,,,637198283701.000000,,,637198283701.000000,,99869319817.000000,99417395931.000000,451923886.000000,99869319817.000000,67919797520.000000,58846802805.000000,19972760012.000000,378581331992.000000,1262388295847.000000,,,,75682986782.000000,406116929798.000000,1677604415746.000000,1332794848962.000000,,295260416285.000000,,270448741178.000000,4057908338751.000000,5320296634598.000000,,,461885960072.000000,,,,26034854633.000000,,26034854633.000000,,57302794671.000000,81487068272.000000,21358836034.000000,,,2508945329.000000,259826019513.000000,,262334964842.000000,13367441620.000000,461885960072.000000,2323188186517.000000,,3004508135.000000,2159900071715.000000,,,2162904579850.000000,,47794901521.000000,,112488705146.000000,2323188186517.000000,2785074146589.000000,,1066497031565.000000,155638281853.000000,241620250180.000000,,,241620250180.000000,657598701081.000000,413868223330.000000,2535222488009.000000,5320296634598.000000,15235671880.000000
