Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Lainnya,Pembayaran Kepada Karyawan,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Investasi Jangka Pendek,Perolehan Investasi Jangka Panjang,Hasil Dari Penjualan Investasi Jangka Panjang,Penurunan (Kenaikan) Puitang Lain-Lain,Penurunan (Kenaikan) Puitang Berelasi,Perolehan Aset Tetap,Hasil Dari Penjualan Aset Tetap,Pembayaran Atas Pembelian Saham Entitas Anak Kepada Kepentingan Nonpengendali,Penambahan Aset Tidak Berwujud,Penurunan (Kenaikan) Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Sehubungan Dengan Penawaran Umum Perdana,Pembayaran Biaya Emisi Saham Penawaran Umum Perdana,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Liabilitas Pembiayaan Konsumen,Penerimaan Atas Penginkatan Modal Saham Entitas Anak,Perubahan Pada Deposito Berjangka Yang Dibatasi Penggunaanya,Pembayaran Dividen,Pembayaran Bunga,Pembayaran Atas Pembelian Saham Entitas Anak Kepada Kepentingan Non-Pengendali,Penerimaan Atas Tambahan Modal Disetor Entitas Anak Dari Kepentingan Non-Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,28921363208.000000,141715881952.000000,-49987745431.000000,-7495342133.000000,-55311431180.000000,,,28921363208.000000,-16593322554.000000,,-3912247850.000000,,,-15694372.000000,-11106200679.000000,317720407.000000,,-1876900060.000000,,-16593322554.000000,-8381765935.000000,,,115667225277.000000,-120332084695.000000,6664498.000000,,,-1327064903.000000,-487696815.000000,-1471536188.000000,898500000.000000,,,-1335773109.000000,,,-8381765935.000000,3946274719.000000,10042396326.000000,13988671045.000000
12M 2021,25942489189.000000,158681304902.000000,-49965390591.000000,-16291396523.000000,-66482028599.000000,,,25942489189.000000,-15425646330.000000,,-4741500000.000000,1530997850.000000,,-3286914330.000000,-9109112601.000000,561882751.000000,,-381000000.000000,,-15425646330.000000,-2717402573.000000,,,122271894370.000000,-119753432278.000000,,-6664498.000000,,-336250435.000000,-1455331146.000000,-2145825066.000000,,,,-1291793520.000000,,,-2717402573.000000,7799440286.000000,13988671045.000000,21788111331.000000
12M 2022,29017835045.000000,183090404574.000000,-58822456582.000000,-4053759566.000000,-85623121800.000000,,-5573231581.000000,29017835045.000000,-33539984818.000000,-2000000000.000000,-3299500000.000000,,,-9910007115.000000,-19110438834.000000,671728661.000000,,,108232470.000000,-33539984818.000000,-4516378092.000000,,,146263237465.000000,-143139649823.000000,,,,-96262661.000000,-3875685787.000000,-2417987118.000000,,,,-1250030168.000000,,,-4516378092.000000,-9038527865.000000,21788111331.000000,12749583466.000000
12M 2023,8787205095.000000,225064321359.000000,-58472698715.000000,-25497350989.000000,-123458351491.000000,,-8848715069.000000,8787205095.000000,-6113847128.000000,,,1032518318.000000,,9212615817.000000,-17514701576.000000,1201621578.000000,,,-45901265.000000,-6113847128.000000,-6880322239.000000,,,248236704241.000000,-237705192623.000000,,,3000000000.000000,-348739300.000000,-1635365937.000000,-3143800395.000000,,,-13000000000.000000,-1368928225.000000,-942000000.000000,27000000.000000,-6880322239.000000,-4206964272.000000,12749583466.000000,8542619194.000000
12M 2024,21546663904.000000,298599417650.000000,-78539054263.000000,-19568341931.000000,-172677764812.000000,79023383.000000,-6346616123.000000,21546663904.000000,-56017762289.000000,-9877412000.000000,-11633300000.000000,,,4000000000.000000,-38982360463.000000,490659856.000000,,,-15349682.000000,-56017762289.000000,39433213909.000000,76125000000.000000,-5885000000.000000,359873249310.000000,-371886363439.000000,,,,-1468439511.000000,-2627395182.000000,-3126784780.000000,,-5000000000.000000,-5454000000.000000,-1247052489.000000,,130000000.000000,39433213909.000000,4962115524.000000,8542619194.000000,13504734718.000000
