Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,669905664071.000000,-554357668462.000000,115547995609.000000,-38514705852.000000,,-40385205520.000000,,1870499668.000000,-38514705852.000000,77033289757.000000,-4702574018.000000,-87905839.000000,2300335071.000000,-6915003250.000000,,-4702574018.000000,72330715739.000000,-20097169922.000000,52233545817.000000,436610512.000000,52670156329.000000,52233545817.000000,52249081862.000000,-15536045.000000,52233545817.000000,52670156329.000000,52685692374.000000,-15536045.000000,52670156329.000000
12M 2013,1014502030170.000000,-806633642814.000000,207868387356.000000,-61469028490.000000,,-54766895370.000000,,-6702133120.000000,-61469028490.000000,146399358866.000000,-16361196988.000000,-678586152.000000,2249702902.000000,-17932313738.000000,,-16361196988.000000,130038161878.000000,-30822819487.000000,99215342391.000000,1087580146.000000,100302922537.000000,99215342391.000000,99357721104.000000,-142378713.000000,99215342391.000000,100302922537.000000,100445301250.000000,-142378713.000000,100302922537.000000
12M 2014,1350907881688.000000,-1101968757705.000000,248939123983.000000,-72224608982.000000,,-72229108964.000000,,4499982.000000,-72224608982.000000,176714515001.000000,-32286796396.000000,-2186993979.000000,1753952211.000000,-31853754628.000000,,-32286796396.000000,144427718605.000000,-40627580305.000000,103800138300.000000,-1506315.000000,103798631985.000000,103800138300.000000,104689676893.000000,-889538593.000000,103800138300.000000,103798631985.000000,104688170578.000000,-889538593.000000,103798631985.000000
12M 2015,1356868000000.000000,-1132494000000.000000,224374000000.000000,-93458000000.000000,-1201000000.000000,-92257000000.000000,,,-93458000000.000000,130916000000.000000,-46903000000.000000,-739000000.000000,2167000000.000000,-52331000000.000000,4000000000.000000,-46903000000.000000,84013000000.000000,-41791000000.000000,42222000000.000000,3164000000.000000,45386000000.000000,42222000000.000000,41918000000.000000,304000000.000000,42222000000.000000,45386000000.000000,45082000000.000000,304000000.000000,45386000000.000000
12M 2016,1794002000000.000000,-1514363000000.000000,279639000000.000000,-154672000000.000000,-1955000000.000000,-95588000000.000000,-57129000000.000000,,-154672000000.000000,124967000000.000000,-56826000000.000000,3391000000.000000,15218000000.000000,-68283000000.000000,-7152000000.000000,-56826000000.000000,68141000000.000000,-586000000.000000,67555000000.000000,-3195000000.000000,64360000000.000000,67555000000.000000,68329000000.000000,-774000000.000000,67555000000.000000,64360000000.000000,65134000000.000000,-774000000.000000,64360000000.000000
12M 2017,3026989000000.000000,-2561089000000.000000,465900000000.000000,-247302000000.000000,-4999000000.000000,-150179000000.000000,-92124000000.000000,,-247302000000.000000,218598000000.000000,-61823000000.000000,6810000000.000000,7686000000.000000,-82393000000.000000,6074000000.000000,-61823000000.000000,156775000000.000000,-2984000000.000000,153791000000.000000,-4089000000.000000,149702000000.000000,153791000000.000000,154245000000.000000,-454000000.000000,153791000000.000000,149702000000.000000,150139000000.000000,-437000000.000000,149702000000.000000
12M 2018,3725296000000.000000,-3026009000000.000000,699287000000.000000,-343352000000.000000,-8063000000.000000,-193456000000.000000,-141833000000.000000,,-343352000000.000000,355935000000.000000,-331709000000.000000,360000000.000000,23926000000.000000,-362213000000.000000,6218000000.000000,-331709000000.000000,24226000000.000000,-2807000000.000000,21419000000.000000,-13318000000.000000,8101000000.000000,21419000000.000000,18285000000.000000,3134000000.000000,21419000000.000000,8101000000.000000,4829000000.000000,3272000000.000000,8101000000.000000
12M 2019,3947173000000.000000,-4046981000000.000000,-99808000000.000000,-450888000000.000000,-143255000000.000000,-187312000000.000000,-120321000000.000000,,-450888000000.000000,-550696000000.000000,-576834000000.000000,,37168000000.000000,-619635000000.000000,5633000000.000000,-576834000000.000000,-1127530000000.000000,-4319000000.000000,-1131849000000.000000,-4968000000.000000,-1136817000000.000000,-1131849000000.000000,-1136236000000.000000,4387000000.000000,-1131849000000.000000,-1136817000000.000000,-1141384000000.000000,4567000000.000000,-1136817000000.000000
12M 2020,1204429000000.000000,-1500270000000.000000,-295841000000.000000,-826796000000.000000,-631450000000.000000,-154742000000.000000,-40604000000.000000,,-826796000000.000000,-1122637000000.000000,-219642000000.000000,,53432000000.000000,-285705000000.000000,12631000000.000000,-219642000000.000000,-1342279000000.000000,2200000000.000000,-1340079000000.000000,3073000000.000000,-1337006000000.000000,-1340079000000.000000,-1323209000000.000000,-16870000000.000000,-1340079000000.000000,-1337006000000.000000,-1319512000000.000000,-17494000000.000000,-1337006000000.000000
12M 2021,1494671000000.000000,-1642358000000.000000,-147687000000.000000,-512727000000.000000,-333332000000.000000,-133252000000.000000,-46143000000.000000,,-512727000000.000000,-660414000000.000000,-38537000000.000000,,78696000000.000000,-79306000000.000000,-37927000000.000000,-38537000000.000000,-698951000000.000000,5585000000.000000,-693366000000.000000,6668000000.000000,-686698000000.000000,-693366000000.000000,-695549000000.000000,2183000000.000000,-693366000000.000000,-686698000000.000000,-689271000000.000000,2573000000.000000,-686698000000.000000
