Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Piutang Retensi,Pihak Berelasi,Pihak Ketiga,Total Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Pihak Berelasi,Pihak Ketiga,Total Tagihan Bruto Kepada Pemberi Kerja,Aset Dalam Pelaksanaan,Pihak Berelasi,Pihak Ketiga,Total Aset Dalam Pelaksanaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Piutang Retensi,Pihak Berelasi,Pihak Ketiga,Total Piutang Retensi,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Bank Jangka Pendek,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pemegang Saham,Utang Sewa Pembiayaan,Pihak Berelasi,Pihak Ketiga,Total Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pemegang Saham,Utang Sewa Pembiayaan,Pihak Berelasi,Pihak Ketiga,Total Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,64965044869.000000,86692093592.000000,,86692093592.000000,86692093592.000000,516670055.000000,32282407.000000,484387648.000000,516670055.000000,,48016498382.000000,,,48016498382.000000,195554948751.000000,,,195554948751.000000,135685746302.000000,,,135685746302.000000,76348926166.000000,607779928117.000000,,1392094161.000000,134582169142.000000,,,,,,11016859943.000000,146991123246.000000,754771051363.000000,,,527977576009.000000,,118646282617.000000,4062339180.000000,122708621797.000000,,,27107215576.000000,,27107215576.000000,3461628959.000000,6181537541.000000,,93821924097.000000,,410666670.000000,,,410666670.000000,,94232590767.000000,,274285981369.000000,527977576009.000000,8582161884.000000,,5039544675.000000,,,,,,,5039544675.000000,3542617209.000000,8582161884.000000,536559737893.000000,,40000000000.000000,,180289298656.000000,,,180289298656.000000,274500955.000000,-2352486141.000000,218211313470.000000,754771051363.000000,40000.000000
12M 2013,,,48718694286.000000,136628158478.000000,,136628158478.000000,136628158478.000000,386600000.000000,,386600000.000000,386600000.000000,,76956710115.000000,,,76956710115.000000,396595329863.000000,,,396595329863.000000,237777965500.000000,,,237777965500.000000,164359389902.000000,1061422848144.000000,,713508009.000000,220839892291.000000,,,,,,15381954101.000000,236935354401.000000,1298358202545.000000,,,715313548255.000000,,207085219226.000000,3391855470.000000,210477074696.000000,,,16453333591.000000,1746539840.000000,18199873431.000000,12977248058.000000,30885029393.000000,,85418263338.000000,,,,,,,85418263338.000000,,357356059339.000000,715313548255.000000,22602092128.000000,,16885953417.000000,,,,,,,16885953417.000000,5716138711.000000,22602092128.000000,737915640383.000000,,50000000000.000000,231796491155.000000,279647019760.000000,,,279647019760.000000,263957242.000000,-1264905995.000000,560442562162.000000,1298358202545.000000,500000000.000000
12M 2014,,,49574733061.000000,82192858267.000000,369890300.000000,81822967967.000000,82192858267.000000,12817491827.000000,10340166827.000000,2477325000.000000,12817491827.000000,11688193230.000000,127084391434.000000,22417594.000000,127061973840.000000,127084391434.000000,465360922692.000000,2324416445.000000,463036506247.000000,465360922692.000000,297577669148.000000,,,297577669148.000000,168468789521.000000,1214765049180.000000,,931514030.000000,242007363967.000000,,,,,,15945349683.000000,258884227680.000000,1473649276860.000000,,,772839655721.000000,,266058465060.000000,2527534774.000000,268585999834.000000,,,31110555726.000000,3094930078.000000,34205485804.000000,27227677025.000000,9320312966.000000,,182812748119.000000,,237903660.000000,,,237903660.000000,,183050651779.000000,,250449528313.000000,772839655721.000000,53473426992.000000,,44361673855.000000,,,,215915557.000000,215915557.000000,,44577589412.000000,8895837580.000000,53473426992.000000,826313082713.000000,,50000000000.000000,231796491155.000000,364586696653.000000,3000000000.000000,361586696653.000000,364586696653.000000,2219418649.000000,-1266412310.000000,647336194147.000000,1473649276860.000000,500000000.000000
12M 2015,,,60671000000.000000,186582000000.000000,3857000000.000000,182725000000.000000,186582000000.000000,90346000000.000000,873000000.000000,89473000000.000000,90346000000.000000,3470000000.000000,54923000000.000000,,54923000000.000000,54923000000.000000,683009000000.000000,29193000000.000000,653816000000.000000,683009000000.000000,312301000000.000000,11581000000.000000,300720000000.000000,312301000000.000000,199608000000.000000,1590910000000.000000,,5380000000.000000,310061000000.000000,,,,,,23147000000.000000,338588000000.000000,1929498000000.000000,,,1199387000000.000000,,333022000000.000000,4020000000.000000,337042000000.000000,,,36689000000.000000,,36689000000.000000,22364000000.000000,8951000000.000000,,,350000000000.000000,,,99000000.000000,99000000.000000,33954000000.000000,384053000000.000000,,410288000000.000000,1199387000000.000000,65252000000.000000,,,,,,62000000.000000,62000000.000000,56147000000.000000,56209000000.000000,9043000000.000000,65252000000.000000,1264639000000.000000,,50000000000.000000,231796000000.000000,383116000000.000000,3000000000.000000,380116000000.000000,383116000000.000000,948000000.000000,-1001000000.000000,664859000000.000000,1929498000000.000000,500000000.000000
12M 2016,,,139215000000.000000,164669000000.000000,11738000000.000000,152931000000.000000,164669000000.000000,127987000000.000000,3875000000.000000,124112000000.000000,127987000000.000000,2748000000.000000,47172000000.000000,3058000000.000000,44114000000.000000,47172000000.000000,1033685000000.000000,103630000000.000000,930055000000.000000,1033685000000.000000,368061000000.000000,24713000000.000000,343348000000.000000,368061000000.000000,208843000000.000000,2092380000000.000000,,20098000000.000000,370306000000.000000,,,,,,20387000000.000000,410791000000.000000,2503171000000.000000,,,1165334000000.000000,,313591000000.000000,5631000000.000000,319222000000.000000,255000000000.000000,,27443000000.000000,,27443000000.000000,30552000000.000000,34507000000.000000,,,,,1419000000.000000,,1419000000.000000,35714000000.000000,37133000000.000000,,461477000000.000000,1165334000000.000000,36612000000.000000,,,,,148000000.000000,,148000000.000000,20327000000.000000,20475000000.000000,16137000000.000000,36612000000.000000,1201946000000.000000,,70000000000.000000,808252000000.000000,423812000000.000000,10000000000.000000,413812000000.000000,423812000000.000000,174000000.000000,-1013000000.000000,1301225000000.000000,2503171000000.000000,700000000.000000
12M 2017,,,215119000000.000000,309618000000.000000,3276000000.000000,306342000000.000000,309618000000.000000,61394000000.000000,2670000000.000000,58724000000.000000,61394000000.000000,4883000000.000000,142946000000.000000,1190000000.000000,141756000000.000000,142946000000.000000,2743750000000.000000,101241000000.000000,2642509000000.000000,2743750000000.000000,344763000000.000000,,344763000000.000000,344763000000.000000,895092000000.000000,4717565000000.000000,,27598000000.000000,486798000000.000000,,,,,32885000000.000000,41633000000.000000,588914000000.000000,5306479000000.000000,,,3706890000000.000000,,929181000000.000000,10639000000.000000,939820000000.000000,1092179000000.000000,,34886000000.000000,34110000000.000000,68996000000.000000,93976000000.000000,390613000000.000000,,,600000000000.000000,,817000000.000000,63000000.000000,880000000.000000,39846000000.000000,640726000000.000000,,480580000000.000000,3706890000000.000000,162462000000.000000,,,100000000000.000000,,377000000.000000,,377000000.000000,38669000000.000000,139046000000.000000,23416000000.000000,162462000000.000000,3869352000000.000000,,70000000000.000000,808252000000.000000,533817000000.000000,14000000000.000000,519817000000.000000,533817000000.000000,26537000000.000000,-1479000000.000000,1437127000000.000000,5306479000000.000000,700000000.000000
12M 2018,,,222654000000.000000,265956000000.000000,5449000000.000000,260507000000.000000,265956000000.000000,52245000000.000000,,52245000000.000000,52245000000.000000,30770000000.000000,107540000000.000000,4123000000.000000,103417000000.000000,107540000000.000000,5228561000000.000000,249375000000.000000,4979186000000.000000,5228561000000.000000,930521000000.000000,3291000000.000000,927230000000.000000,930521000000.000000,1282005000000.000000,8120252000000.000000,,,755129000000.000000,,,,,32885000000.000000,28125000000.000000,816139000000.000000,8936391000000.000000,,,7403052000000.000000,,3163765000000.000000,9008000000.000000,3172773000000.000000,2656388000000.000000,,67132000000.000000,34852000000.000000,101984000000.000000,171203000000.000000,470346000000.000000,,,400000000000.000000,,626000000.000000,4492000000.000000,5118000000.000000,48113000000.000000,453231000000.000000,,377127000000.000000,7403052000000.000000,106546000000.000000,,,,,518000000.000000,10032000000.000000,10550000000.000000,63083000000.000000,73633000000.000000,32913000000.000000,106546000000.000000,7509598000000.000000,,70000000000.000000,808252000000.000000,497808000000.000000,14000000000.000000,483808000000.000000,497808000000.000000,53584000000.000000,-2851000000.000000,1426793000000.000000,8936391000000.000000,700000000.000000
12M 2019,,,181766000000.000000,547925000000.000000,798000000.000000,547127000000.000000,547925000000.000000,146538000000.000000,3846000000.000000,142692000000.000000,146538000000.000000,35739000000.000000,91243000000.000000,4549000000.000000,86694000000.000000,91243000000.000000,7291243000000.000000,106866000000.000000,7184377000000.000000,7291243000000.000000,226587000000.000000,629000000.000000,225958000000.000000,226587000000.000000,935791000000.000000,9456832000000.000000,,,745130000000.000000,174989000000.000000,10202000000.000000,164787000000.000000,174989000000.000000,32885000000.000000,36683000000.000000,989687000000.000000,10446519000000.000000,,,9994920000000.000000,,4821449000000.000000,13827000000.000000,4835276000000.000000,817923000000.000000,,32881000000.000000,152164000000.000000,185045000000.000000,239127000000.000000,364687000000.000000,,,3203000000000.000000,,532000000.000000,4988000000.000000,5520000000.000000,74272000000.000000,3282792000000.000000,,270070000000.000000,9994920000000.000000,165123000000.000000,,,,,452000000.000000,5046000000.000000,5498000000.000000,104117000000.000000,109615000000.000000,55508000000.000000,165123000000.000000,10160043000000.000000,,70000000000.000000,808252000000.000000,-646936000000.000000,14000000000.000000,-660936000000.000000,-646936000000.000000,58151000000.000000,-2991000000.000000,286476000000.000000,10446519000000.000000,700000000.000000
12M 2020,,,73400000000.000000,515923000000.000000,22645000000.000000,493278000000.000000,515923000000.000000,109741000000.000000,762000000.000000,108979000000.000000,109741000000.000000,44983000000.000000,135916000000.000000,18685000000.000000,117231000000.000000,135916000000.000000,797068000000.000000,79141000000.000000,717927000000.000000,797068000000.000000,48693000000.000000,,,48693000000.000000,484640000000.000000,2210364000000.000000,,,657998000000.000000,114082000000.000000,5830000000.000000,108252000000.000000,114082000000.000000,32885000000.000000,39777000000.000000,844742000000.000000,3055106000000.000000,,,2620265000000.000000,,706081000000.000000,6030000000.000000,712111000000.000000,245000000000.000000,,30524000000.000000,201184000000.000000,231708000000.000000,34604000000.000000,353621000000.000000,,,727758000000.000000,,285000000.000000,5045000000.000000,5330000000.000000,52720000000.000000,785808000000.000000,,257413000000.000000,2620265000000.000000,110809000000.000000,,,,,167000000.000000,,167000000.000000,51397000000.000000,51564000000.000000,59245000000.000000,110809000000.000000,2731074000000.000000,,642516000000.000000,1731978000000.000000,-2096193000000.000000,14000000000.000000,-2110193000000.000000,-2096193000000.000000,48722000000.000000,-2991000000.000000,324032000000.000000,3055106000000.000000,6425160000.000000
12M 2021,,,471657000000.000000,467708000000.000000,35941000000.000000,431767000000.000000,467708000000.000000,58747000000.000000,1417000000.000000,57330000000.000000,58747000000.000000,36129000000.000000,85623000000.000000,19877000000.000000,65746000000.000000,85623000000.000000,386875000000.000000,50630000000.000000,336245000000.000000,386875000000.000000,59377000000.000000,,59377000000.000000,59377000000.000000,242253000000.000000,1808369000000.000000,,,543775000000.000000,55834000000.000000,,55834000000.000000,55834000000.000000,32885000000.000000,37850000000.000000,670344000000.000000,2478713000000.000000,,,1288711000000.000000,,497979000000.000000,3552000000.000000,501531000000.000000,,,18680000000.000000,13857000000.000000,32537000000.000000,39461000000.000000,459476000000.000000,,,,,167000000.000000,,167000000.000000,29237000000.000000,29404000000.000000,,226302000000.000000,1288711000000.000000,74271000000.000000,,,,,5000000.000000,,5000000.000000,22160000000.000000,22165000000.000000,52106000000.000000,74271000000.000000,1362982000000.000000,,1267516000000.000000,2605625000000.000000,-2786845000000.000000,14000000000.000000,-2800845000000.000000,-2786845000000.000000,30945000000.000000,-1510000000.000000,1115731000000.000000,2478713000000.000000,12675160000.000000
