Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.90,395.02,1.90,395.02,,,,(99 B),527 B
12M 2009,2.98,505.99,2.98,505.99,,,,(396 B),703 B
12M 2010,4.91,600.66,4.91,600.66,,,,(366 B),752 B
12M 2011,5.83,703.58,5.83,703.58,,,,(210 B),680 B
12M 2012,8.78,93.36,8.78,93.36,36 B,14 B,50 B,(220 B),"1,011 B"
12M 2013,5.31,111.05,5.31,111.05,79 B,7 B,86 B,(76 B),"1,308 B"
12M 2014,5.71,137.43,5.71,137.43,50 B,1 B,51 B,(340 B),"1,744 B"
12M 2015,5.38,153.24,5.38,153.24,54 B,5 B,59 B,(562 B),"2,055 B"
12M 2016,4.69,178.05,4.69,178.05,52 B,7 B,59 B,(645 B),"2,433 B"
12M 2017,5.64,204.83,5.64,204.83,38 B,21 B,59 B,(843 B),"2,880 B"
12M 2018,6.12,243.35,6.12,243.35,172 B,22 B,194 B,(605 B),"3,127 B"
12M 2019,5.50,271.82,5.50,271.82,110 B,16 B,126 B,"(1,129 B)","3,586 B"
12M 2020,5.52,310.60,5.52,310.60,97 B,9 B,106 B,"(2,114 B)","4,190 B"
12M 2021,3.96,323.41,3.96,323.41,82 B,5 B,87 B,"(2,457 B)","4,470 B"
12M 2022,1.44,343.43,1.44,343.43,49 B,5 B,54 B,"(2,079 B)","4,693 B"
12M 2023,2.01,358.59,2.01,358.59,82 B,6 B,87 B,"(2,232 B)","4,937 B"
12M 2024,2.09,378.26,2.09,378.26,95 B,4 B,99 B,"(1,777 B)","5,076 B"
