Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Keuangan Lainnya,Utang Dari Pihak Berelasi,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,98688475049.000000,198306554826.000000,7694667896.000000,1632104133.000000,6062563763.000000,7694667896.000000,13447264951.000000,7755683674.000000,5691581277.000000,13447264951.000000,197983568202.000000,103163679293.000000,619284210217.000000,,38701421253.000000,82783661078.000000,3487316504.000000,,46019921746.000000,170992320581.000000,790276530798.000000,,,91853081129.000000,,,3310104501.000000,48770046462.000000,52080150963.000000,,1558336431.000000,5344360609.000000,6902697040.000000,,,6802219788.000000,22147412334.000000,,,,3920601004.000000,91853081129.000000,20965800000.000000,,,,,20965800000.000000,20965800000.000000,112818881129.000000,,171500000000.000000,353904221948.000000,186134612722.000000,6000000000.000000,180134612722.000000,186134612722.000000,,-34081185000.000000,677457649670.000000,790276530799.000000,1715000000.000000
12M 2009,,,395771699900.000000,73104424492.000000,8446966591.000000,2174675206.000000,6272291385.000000,8446966591.000000,5518616519.000000,,5518616519.000000,5518616519.000000,95569334714.000000,197361124963.000000,775772167179.000000,,37397342403.000000,105122416471.000000,6476510358.000000,,45787506976.000000,194783776208.000000,970555943387.000000,,,73186201328.000000,,,4443641228.000000,25064949974.000000,29508591202.000000,,,10955907778.000000,10955907778.000000,,,7531265169.000000,20943003821.000000,,,,4247433358.000000,73186201328.000000,29600511000.000000,,,,,29600511000.000000,29600511000.000000,102786712328.000000,,171500000000.000000,368122496948.000000,328145736436.000000,19034000000.000000,309111736436.000000,328145736436.000000,997674.000000,,867769231058.000000,970555943386.000000,1715000000.000000
12M 2010,,,366377982335.000000,34180383840.000000,10694565088.000000,2205865865.000000,8488699223.000000,10694565088.000000,10288814290.000000,,10288814290.000000,10288814290.000000,135198472443.000000,305450244149.000000,862190462145.000000,,34811782958.000000,226465336605.000000,8567078805.000000,,59298818746.000000,329143017114.000000,1191333479259.000000,,,110310085744.000000,,,24286330277.000000,47175477892.000000,71461808169.000000,,102269486.000000,12706985415.000000,12809254901.000000,,,8764141048.000000,11635252389.000000,,,,5639629237.000000,110310085744.000000,36436865000.000000,,,,,36436865000.000000,36436865000.000000,146746950744.000000,,171500000000.000000,368122496948.000000,490275422926.000000,34812000000.000000,455463422926.000000,490275422926.000000,14448762108.000000,239846533.000000,1044586528515.000000,1191333479259.000000,1715000000.000000
12M 2011,,,210453518599.000000,19609962480.000000,31505432002.000000,9311702435.000000,22193729567.000000,31505432002.000000,20888667233.000000,,20888667233.000000,20888667233.000000,290356324286.000000,274053074985.000000,846866979585.000000,,40589066621.000000,361381461343.000000,22881631826.000000,,180036237109.000000,604888396899.000000,1451755376484.000000,,,166523657827.000000,,,832859903.000000,37405822199.000000,38238682102.000000,,1279574939.000000,24709073719.000000,25988648658.000000,,,9643639028.000000,37839406792.000000,,,,54813281247.000000,166523657827.000000,53357980000.000000,,,,,53357980000.000000,53357980000.000000,219881637827.000000,,171500000000.000000,368122496948.000000,666784575503.000000,52597133000.000000,614187442503.000000,666784575503.000000,25226869009.000000,239797199.000000,1231873738659.000000,1451755376486.000000,1715000000.000000
12M 2012,,,270049635909.000000,,30945783560.000000,6293426450.000000,24652357110.000000,30945783560.000000,,,,,619804268196.000000,298020881590.000000,1218820569255.000000,,37337441102.000000,445064392919.000000,31234621944.000000,,184457624993.000000,698094080958.000000,1916914650213.000000,,,208254982747.000000,15449074376.000000,,1140531809.000000,47525983717.000000,48666515526.000000,,,,,13827412420.000000,968164215.000000,12182037781.000000,29341692586.000000,,6111111111.000000,6111111111.000000,81708974732.000000,208254982747.000000,90658628292.000000,,13888888889.000000,13888888889.000000,34533403.000000,76735206000.000000,90658628292.000000,298913611039.000000,,171500000000.000000,368122496948.000000,1061205679650.000000,81109795512.000000,980095884138.000000,1061205679650.000000,16933065377.000000,239797199.000000,1618001039174.000000,1916914650213.000000,17150000000.000000
12M 2013,,,161758998760.000000,,24978832549.000000,4512305647.000000,20466526902.000000,24978832549.000000,,,,,1112546445586.000000,447901135078.000000,1747185411973.000000,,33207244247.000000,445597536347.000000,46743565105.000000,,206184826666.000000,731733172365.000000,2478918584338.000000,,,439275331629.000000,21432941244.000000,,116528970710.000000,78919446012.000000,195448416722.000000,,,,,47635857105.000000,2908905997.000000,16783914374.000000,36331253057.000000,,6666666667.000000,6666666667.000000,112067376463.000000,439275331629.000000,124144814617.000000,,7222222217.000000,7222222217.000000,34533400.000000,116888059000.000000,124144814617.000000,563420146246.000000,,171500000000.000000,368122496948.000000,1399191168467.000000,123994713034.000000,1275196455433.000000,1399191168467.000000,11064315478.000000,-34379542801.000000,1915498438092.000000,2478918584338.000000,17150000000.000000
12M 2014,,,391452438398.000000,,19782166768.000000,5772962598.000000,14009204170.000000,19782166768.000000,,,,,1295681754349.000000,464168214697.000000,2171084574212.000000,,33117693456.000000,463020871447.000000,59149683146.000000,,220975838963.000000,776264087012.000000,2947348661224.000000,,,426629831904.000000,19487011212.000000,,40497771135.000000,66505191358.000000,107002962493.000000,,,,,19683780828.000000,4622634778.000000,20322911634.000000,31211040634.000000,,6666666667.000000,6666666667.000000,217632823658.000000,426629831904.000000,158570583950.000000,,555555550.000000,555555550.000000,34533400.000000,157980495000.000000,158570583950.000000,585200415854.000000,,171500000000.000000,368122496948.000000,1851716847974.000000,173994713034.000000,1677722134940.000000,1851716847974.000000,5188443249.000000,-34379542801.000000,2362148245370.000000,2947348661224.000000,17150000000.000000
12M 2015,,,621846414979.000000,,16146467209.000000,4998125693.000000,11148341516.000000,16146467209.000000,,,,,1522348116750.000000,307053841858.000000,2467394840796.000000,,27745659787.000000,457127128671.000000,74668779217.000000,,240613265530.000000,800154833205.000000,3267549674001.000000,,,412288840768.000000,22497405596.000000,,31744928874.000000,95622110674.000000,127367039548.000000,,,,,21368786416.000000,10062400081.000000,27660777632.000000,40684042817.000000,,555555540.000000,555555540.000000,162092833138.000000,412288840768.000000,226435316775.000000,,,,4943549775.000000,221491767000.000000,226435316775.000000,638724157543.000000,,171500000000.000000,368122496948.000000,2142268717848.000000,227994713034.000000,1914274004814.000000,2142268717848.000000,780186865.000000,-53845885201.000000,2628825516460.000000,3267549674003.000000,17150000000.000000
12M 2016,,,703935050166.000000,,28142798043.000000,4469686870.000000,23673111173.000000,28142798043.000000,,,,,1590127218809.000000,499864677460.000000,2822069744478.000000,,6388568935.000000,588764731189.000000,93371383334.000000,,220507239955.000000,909031923413.000000,3731101667891.000000,,,388653022672.000000,5339714500.000000,,2480274274.000000,105041372631.000000,107521646905.000000,,,,,32183946096.000000,14615237754.000000,24475763182.000000,29462478034.000000,,,,175054236201.000000,388653022672.000000,293720950423.000000,,,,6531474423.000000,287189476000.000000,293720950423.000000,682373973095.000000,,171500000000.000000,368122496948.000000,2567845297860.000000,285994713034.000000,2281850584826.000000,2567845297860.000000,-4894214811.000000,-53845885201.000000,3048727694796.000000,3731101667891.000000,17150000000.000000
12M 2017,,,902227973886.000000,,89837145428.000000,47136653365.000000,42700492063.000000,89837145428.000000,,,,,1849188643329.000000,517018539669.000000,3358272302312.000000,,10435264373.000000,359229296682.000000,125047650022.000000,346147375087.000000,229708662003.000000,1070568248167.000000,4428840550479.000000,,,478208556747.000000,,,43496855805.000000,125212823036.000000,168709678841.000000,,,,,35233840167.000000,2868752126.000000,32275986067.000000,57186513672.000000,,,,181933785874.000000,478208556747.000000,440210145942.000000,,,,20628247942.000000,419581898000.000000,440210145942.000000,918418702689.000000,,171500000000.000000,369147496948.000000,3025975078106.000000,356594713034.000000,2669380365072.000000,3025975078106.000000,-2354842063.000000,-53845885201.000000,3510421847790.000000,4428840550479.000000,17150000000.000000
