Period,Total Pendapatan,Penjualan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Bunga,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1222169967590.000000,1209457191672.000000,12712775918.000000,1222169967590.000000,-719448619067.000000,502721348523.000000,-338244157122.000000,,-242464363566.000000,-95779793556.000000,-338244157122.000000,,-338244157122.000000,164477191401.000000,18980497972.000000,6517480171.000000,17327203000.000000,-135305464.000000,,,-13557051956.000000,8828172221.000000,18980497972.000000,183457689373.000000,-52814939502.000000,-50629122500.000000,-2185817002.000000,-52814939502.000000,130642749871.000000,,130642749871.000000,,,,130642749871.000000,130642749871.000000,130642749871.000000,,130642749871.000000,,,,
12M 2009,1358774766612.000000,1350227826696.000000,8546939916.000000,1358774766612.000000,-806337378080.000000,552437388532.000000,-374236486212.000000,,-261591623506.000000,-112644862706.000000,-374236486212.000000,,-374236486212.000000,178200902320.000000,28129385691.000000,10573633590.000000,20733365948.000000,-2139553.000000,2896088.000000,,-13064033562.000000,9885663180.000000,28129385691.000000,206330288011.000000,-51887645226.000000,-54876839080.000000,2989193854.000000,-51887645226.000000,154442642785.000000,2329.000000,154442645114.000000,,,,154442645114.000000,154442645114.000000,154442642785.000000,2329.000000,154442645114.000000,,,,
12M 2010,1641121796637.000000,1628438357211.000000,12683439426.000000,1641121796637.000000,-932518981447.000000,708602815190.000000,-490710090027.000000,,-342328343829.000000,-148381746198.000000,-490710090027.000000,,-490710090027.000000,217892725163.000000,11274720850.000000,-4706558912.000000,16973749370.000000,,,,-14953559840.000000,13961090232.000000,11274720850.000000,229167446013.000000,-54628498552.000000,-56719067000.000000,2090568448.000000,-54628498552.000000,174538947461.000000,3312389029.000000,177851336490.000000,,,,177851336490.000000,177851336490.000000,174538947461.000000,3312389029.000000,177851336490.000000,,,,
12M 2011,2426438248817.000000,2406033973944.000000,20404274873.000000,2426438248817.000000,-1290263614602.000000,1136174634215.000000,-773075147070.000000,,-544916700421.000000,-228158446649.000000,-773075147070.000000,,-773075147070.000000,363099487145.000000,7766180228.000000,-2214383123.000000,9999600980.000000,,109488251.000000,,-20715420156.000000,20586894276.000000,7766180228.000000,370865667373.000000,-91360935354.000000,-99004704000.000000,7643768646.000000,-91360935354.000000,279504732019.000000,,279504732019.000000,-49334.000000,-49334.000000,-49334.000000,279504682685.000000,279504732018.000000,285126674452.000000,-5621942434.000000,279504732018.000000,279504682684.000000,285126625118.000000,-5621942434.000000,279504682684.000000
12M 2012,3223291022272.000000,3193282818586.000000,30008203686.000000,3223291022272.000000,-1671714778515.000000,1551576243757.000000,-989086060647.000000,-1036399009352.000000,,,-1036399009352.000000,47312948705.000000,-989086060647.000000,562490183110.000000,-25178087830.000000,,,,,,-25178087830.000000,,-25178087830.000000,537312095280.000000,-108462919763.000000,-116815909881.000000,8352990118.000000,-108462919763.000000,428849175517.000000,,428849175517.000000,,,,428849175517.000000,428849175516.000000,437142979147.000000,-8293803631.000000,428849175516.000000,428849175516.000000,437142979147.000000,-8293803631.000000,428849175516.000000
12M 2013,3895446376165.000000,3850300588204.000000,45145787961.000000,3895446376165.000000,-1961897730178.000000,1933548645987.000000,-1282360005245.000000,-1368663061686.000000,,,-1368663061686.000000,86303056441.000000,-1282360005245.000000,651188640742.000000,-28194694965.000000,,,,,,-28194694965.000000,,-28194694965.000000,622993945777.000000,-119989706858.000000,-135498650019.000000,15508943161.000000,-119989706858.000000,503004238919.000000,,503004238919.000000,,,,503004238919.000000,503004238919.000000,508872988817.000000,-5868749898.000000,503004238919.000000,503004238919.000000,508872988817.000000,-5868749898.000000,503004238919.000000
12M 2014,4541473969017.000000,4492197911790.000000,49276057227.000000,4541473969017.000000,-2347889539199.000000,2193584429818.000000,-1477289819602.000000,-1542837709287.000000,,,-1542837709287.000000,65547889685.000000,-1477289819602.000000,716294610216.000000,-34416198560.000000,,,,,,-34416198560.000000,,-34416198560.000000,681878411656.000000,-132985646378.000000,-145391764419.000000,12406118041.000000,-132985646378.000000,548892765278.000000,,548892765278.000000,,,,548892765278.000000,548892765278.000000,554768637507.000000,-5875872229.000000,548892765278.000000,548892765278.000000,554768637507.000000,-5875872229.000000,548892765278.000000
12M 2015,4742525934225.000000,4694947302382.000000,47578631843.000000,4742525934225.000000,-2488809039678.000000,2253716894547.000000,-1484789662248.000000,-1565365231930.000000,,,-1565365231930.000000,80575569682.000000,-1484789662248.000000,768927232299.000000,-32315721968.000000,,,,,,-32315721968.000000,,-32315721968.000000,736611510331.000000,-151738046343.000000,-158563154913.000000,6825108570.000000,-151738046343.000000,584873463988.000000,,584873463988.000000,6953866500.000000,6953866500.000000,6953866500.000000,591827330488.000000,584873463989.000000,588324832959.000000,-3451368970.000000,584873463989.000000,591827330489.000000,595064223524.000000,-3236893035.000000,591827330489.000000
12M 2016,4935902893025.000000,4884064456253.000000,51838436772.000000,4935902893025.000000,-2584146388181.000000,2351756504844.000000,-1471167026047.000000,-1621838145709.000000,,,-1621838145709.000000,150671119662.000000,-1471167026047.000000,880589478797.000000,-17461917312.000000,,,,,-2882779010.000000,-14579138302.000000,,-17461917312.000000,863127561485.000000,-156977479209.000000,-167884936326.000000,10907457117.000000,-156977479209.000000,706150082276.000000,,706150082276.000000,-23385441000.000000,-23385441000.000000,-23385441000.000000,682764641276.000000,706150082276.000000,710580264384.000000,-4430182108.000000,706150082276.000000,682764641276.000000,688439042952.000000,-5674401676.000000,682764641276.000000
12M 2017,5938576225065.000000,5877966660390.000000,60609564675.000000,5938576225065.000000,-3103860086251.000000,2834716138814.000000,-1866358359992.000000,-1965431936688.000000,,,-1965431936688.000000,99073576696.000000,-1866358359992.000000,968357778822.000000,-8377431439.000000,,,,,-3376280622.000000,-5001150817.000000,,-8377431439.000000,959980347383.000000,-179293532722.000000,-198006006660.000000,18712473938.000000,-179293532722.000000,780686814661.000000,,780686814661.000000,-38891378250.000000,,-38891378250.000000,741795436411.000000,780686814661.000000,777727071793.000000,2959742868.000000,780686814661.000000,741795436411.000000,739256063663.000000,2539372748.000000,741795436411.000000
