Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Lainnya,Pembayaran Kepada Karyawan,Pembayaran Pajak,Pengampunan Pajak,Restitusi Pajak,Pembayaran Bunga,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Investasi Jangka Pendek,Penempatan Investasi Jangka Pendek,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Penambahan Properti Investasi,Hasil Penjualan Aset Tetap,Pembayaran Perolehan Tambahan Kepemilikan Entitas Anak,Setoran Modal Kepentingan Non-Pengendali,Penyertaan Modal Kepentingan Non-Pengendali,Pengembalian Modal Kepada Entitas Non-Pengendali,Setoran Modal Ke Dalam Entitas Asosiasi,Penambahan Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Tunai,Penerima Setoran Modal Dari Pemegang Saham Minoritas Di Entitas Anak,Pembelian Kembali Modal Saham,Penerimaan Dari Penjualan Saham Yang Dibeli Kembali,Pembayaran Ke Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Pembayaran Liabilitas Sewa,Pembayaran Utang Bank,Penerimaan Utang Bank,Saham Treasuri,Peneriman Pinjaman Dari Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,129455421795.000000,1297147426104.000000,-1000360430278.000000,-128152734335.000000,-56370737232.000000,,,-135305464.000000,17327203000.000000,129455421795.000000,-92485968974.000000,36590906196.000000,-70727605639.000000,-58349269531.000000,,,,,,,,,,-92485968974.000000,-38091025432.000000,-5985350000.000000,,-34081185000.000000,,-218889338864.000000,220864848432.000000,,,,,,-38091025432.000000,-1121572611.000000,162528235.000000,99647519425.000000,98688475049.000000
12M 2009,185995702759.000000,1356973284775.000000,-993555068349.000000,-141075204353.000000,-57078535709.000000,,,-2139553.000000,20733365948.000000,185995702759.000000,72293742805.000000,309036848011.000000,-183834717677.000000,-52915587529.000000,,,7200000.000000,,,,,,,72293742805.000000,42397353264.000000,-12431521400.000000,,-26153090000.000000,74452550000.000000,,6529414664.000000,,,,,,42397353264.000000,300686798828.000000,-3603573978.000000,98688475049.000000,395771699899.000000
12M 2010,109300679849.000000,1636874150919.000000,-1285747715883.000000,-192727028858.000000,-66072475699.000000,,,,16973749370.000000,109300679849.000000,-120821380846.000000,143901048927.000000,-104977008275.000000,-159745421498.000000,,,,,,,,,,-120821380846.000000,-15721650000.000000,-15721650000.000000,,,,,,,,,,,-15721650000.000000,-27242350997.000000,-2151366567.000000,395771699900.000000,366377982336.000000
12M 2011,81793084945.000000,2404446790993.000000,-1933436388226.000000,-305311284638.000000,-93905634164.000000,,,,9999600980.000000,81793084945.000000,-171518737505.000000,68360767680.000000,-53790346320.000000,-186201708865.000000,,,112550000.000000,,,,,,,-171518737505.000000,-71212388803.000000,-88605168751.000000,16400000000.000000,,,-6046354744.000000,7039134692.000000,,,,,,-71212388803.000000,-160938041363.000000,5013577626.000000,366377982335.000000,210453518598.000000
12M 2012,190153864166.000000,3347167447050.000000,-2474433686370.000000,-442715790357.000000,-244079158534.000000,,,-2293654659.000000,6508707036.000000,190153864166.000000,-118189431627.000000,39219924960.000000,-19609962480.000000,-137932485016.000000,,,133090909.000000,,,,,,,-118189431627.000000,-7239458939.000000,-42721875000.000000,,,,-18564948421.000000,18598290106.000000,,,,,35449074376.000000,-7239458939.000000,64724973600.000000,-5128856290.000000,210453518599.000000,270049635909.000000
12M 2013,181339787145.000000,4055301731862.000000,-3039444241161.000000,-530140216973.000000,-308705326798.000000,,,-3541237909.000000,7869078124.000000,181339787145.000000,-83789081618.000000,,,-83796258701.000000,,,7177083.000000,,,,,,,-83789081618.000000,-199684403775.000000,-170887500000.000000,,,,-13240491725.000000,13122335259.000000,,,,-34662614177.000000,5983866868.000000,-199684403775.000000,-102133698248.000000,-6156938901.000000,270049635909.000000,161758998760.000000
12M 2014,435162018647.000000,5091420360069.000000,-3789762485709.000000,-551710525821.000000,-316430975928.000000,,,-3777931440.000000,5423577476.000000,435162018647.000000,-96527945669.000000,,,-96924263863.000000,,,396318194.000000,,,,,,,-96527945669.000000,-110947956916.000000,-102242958000.000000,,,,-15512621861.000000,15420219644.000000,,-8612596699.000000,,,,-110947956916.000000,227686116062.000000,2007323576.000000,161758998760.000000,391452438398.000000
12M 2015,648831005468.000000,5371117882753.000000,-3790140317617.000000,-673580277500.000000,-264655170162.000000,,,-3060445433.000000,9149333427.000000,648831005468.000000,-123586347656.000000,,,-130293432327.000000,,,6707084671.000000,,,,,,,-123586347656.000000,-293931714237.000000,-272647888000.000000,,,,-34879096625.000000,36717885086.000000,,-6666666672.000000,,-19466342400.000000,3010394374.000000,-293931714237.000000,231312943575.000000,-918966994.000000,391452438398.000000,621846414979.000000
12M 2016,491972036030.000000,5626594903329.000000,-4101370028622.000000,-771693300230.000000,-295757055354.000000,,13973480519.000000,-1942544338.000000,22166580726.000000,491972036030.000000,-127422153954.000000,,,-276998881208.000000,,,154076727254.000000,,,,,-4500000000.000000,,-127422153954.000000,-281283570287.000000,-262862462940.000000,,,,-33585558118.000000,32877697407.000000,,-28414570602.000000,,,10701323966.000000,-281283570287.000000,83266311789.000000,-1177676602.000000,621846414979.000000,703935050166.000000
12M 2017,690355938041.000000,6666720181357.000000,-4737696489289.000000,-924974026876.000000,-350730594652.000000,-51250000.000000,3913621012.000000,-110549912.000000,33285046401.000000,690355938041.000000,-187331134628.000000,,,-152617867788.000000,,-37384858965.000000,2671592125.000000,,,,,,,-187331134628.000000,-302259178983.000000,-281126283417.000000,,,,-66288419008.000000,50495237942.000000,,-33128050052.000000,,,27788335552.000000,-302259178983.000000,200765624430.000000,-2472700710.000000,703935050166.000000,902227973886.000000
12M 2018,280549714304.000000,8353758749212.000000,-6563790848642.000000,-1135957153421.000000,-405782420161.000000,,3721125614.000000,-714503007.000000,29314764709.000000,280549714304.000000,-183916897980.000000,,,-162382687394.000000,,-26232510768.000000,4698300182.000000,,,,,,,-183916897980.000000,-198587523725.000000,-389343686991.000000,,,,-80033556087.000000,85801096248.000000,,,115080973572.000000,69907649533.000000,,-198587523725.000000,-101954707401.000000,-1751121909.000000,902227973886.000000,798522144576.000000
