Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Others,Total Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Liabilitas Keuangan Lainnya,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,24956000000.000000,838225000000.000000,838225000000.000000,838225000000.000000,29283000000.000000,11037000000.000000,18246000000.000000,29283000000.000000,20510000000.000000,20366000000.000000,144000000.000000,20510000000.000000,,26375000000.000000,939349000000.000000,,18423000000.000000,9595000000.000000,8828000000.000000,18423000000.000000,19521000000.000000,,35045000000.000000,,,3015000000.000000,69878000000.000000,145882000000.000000,1085231000000.000000,,,48602000000.000000,1785000000.000000,,23782000000.000000,593000000.000000,24375000000.000000,,202000000.000000,1299000000.000000,1501000000.000000,9242000000.000000,,5808000000.000000,,,2088000000.000000,2088000000.000000,3803000000.000000,48602000000.000000,17631000000.000000,,,4223000000.000000,4223000000.000000,13408000000.000000,17631000000.000000,66233000000.000000,,1447175000000.000000,1346488000000.000000,-1906194000000.000000,35725000000.000000,95804000000.000000,1018998000000.000000,1085231000000.000000,1170432803.000000
12M 2009,,,28390000000.000000,691996000000.000000,691996000000.000000,691996000000.000000,19013000000.000000,12746000000.000000,6267000000.000000,19013000000.000000,5004000000.000000,4000000.000000,5000000000.000000,5004000000.000000,,9865000000.000000,754268000000.000000,,10110000000.000000,2095000000.000000,8015000000.000000,10110000000.000000,17585000000.000000,,55327000000.000000,,,7534000000.000000,112395000000.000000,202951000000.000000,957219000000.000000,,,73707000000.000000,3453000000.000000,,23916000000.000000,1574000000.000000,25490000000.000000,,176000000.000000,1706000000.000000,1882000000.000000,26560000000.000000,,10492000000.000000,,,2355000000.000000,2355000000.000000,3475000000.000000,73707000000.000000,16496000000.000000,,,2239000000.000000,2239000000.000000,14257000000.000000,16496000000.000000,90203000000.000000,,1519201000000.000000,1372045000000.000000,-2024209000000.000000,,-22000000.000000,867015000000.000000,957218000000.000000,1170432803.000000
12M 2010,,,57928000000.000000,1031261000000.000000,1031261000000.000000,1031261000000.000000,29403000000.000000,22777000000.000000,6626000000.000000,29403000000.000000,75306000000.000000,72965000000.000000,2341000000.000000,75306000000.000000,,12069000000.000000,1205967000000.000000,,,,,,19296000000.000000,3487000000.000000,40395000000.000000,80879000000.000000,9319000000.000000,1137000000.000000,3490000000.000000,158003000000.000000,1363970000000.000000,,,75617000000.000000,2896000000.000000,,16546000000.000000,1377000000.000000,17923000000.000000,,176000000.000000,5458000000.000000,5634000000.000000,19979000000.000000,,23651000000.000000,,,2239000000.000000,2239000000.000000,3295000000.000000,75617000000.000000,12919000000.000000,,,,,12919000000.000000,12919000000.000000,88536000000.000000,,1519201000000.000000,1372045000000.000000,-1697938000000.000000,,82123000000.000000,1275431000000.000000,1363967000000.000000,1170432803.000000
12M 2011,,,96938000000.000000,865607000000.000000,865607000000.000000,865607000000.000000,37914000000.000000,30804000000.000000,7110000000.000000,37914000000.000000,1700000000.000000,,1700000000.000000,1700000000.000000,,12473000000.000000,1014632000000.000000,,,,,,19693000000.000000,3487000000.000000,41744000000.000000,80879000000.000000,11983000000.000000,2015000000.000000,3283000000.000000,163084000000.000000,1177716000000.000000,,,81136000000.000000,1979000000.000000,,17714000000.000000,4493000000.000000,22207000000.000000,,176000000.000000,4340000000.000000,4516000000.000000,27303000000.000000,,22824000000.000000,,,,,2307000000.000000,81136000000.000000,21874000000.000000,,,,,21874000000.000000,21874000000.000000,103010000000.000000,,1519201000000.000000,1372045000000.000000,-1902888000000.000000,,86346000000.000000,1074704000000.000000,1177714000000.000000,1170432803.000000
12M 2012,,,174844000000.000000,,,,40368000000.000000,4811000000.000000,35557000000.000000,40368000000.000000,,,,,,1218931000000.000000,1434143000000.000000,,,,,,22944000000.000000,3487000000.000000,34052000000.000000,,80879000000.000000,9954000000.000000,4972000000.000000,156288000000.000000,1590431000000.000000,,,65830000000.000000,1983000000.000000,,12754000000.000000,4651000000.000000,17405000000.000000,,,,,22978000000.000000,5253000000.000000,16898000000.000000,,,,,1313000000.000000,65830000000.000000,19271000000.000000,,,,,19271000000.000000,19271000000.000000,85101000000.000000,,1519201000000.000000,1372045000000.000000,-1610883000000.000000,,224967000000.000000,1505330000000.000000,1590431000000.000000,1170432803.000000
12M 2013,,,101762000000.000000,,,,41927000000.000000,5831000000.000000,36096000000.000000,41927000000.000000,,,,,,1572262000000.000000,1715951000000.000000,,,,,,32463000000.000000,3487000000.000000,23826000000.000000,,80879000000.000000,10231000000.000000,3838000000.000000,154724000000.000000,1870675000000.000000,,,59138000000.000000,2353000000.000000,,11292000000.000000,1477000000.000000,12769000000.000000,,,,,19628000000.000000,6829000000.000000,16441000000.000000,,,,,1118000000.000000,59138000000.000000,22414000000.000000,,,,,22414000000.000000,22414000000.000000,81552000000.000000,,1519201000000.000000,1372045000000.000000,-1331375000000.000000,,229252000000.000000,1789123000000.000000,1870675000000.000000,1170432803.000000
12M 2014,,,539085000000.000000,,,,35001000000.000000,5547000000.000000,29454000000.000000,35001000000.000000,,,,,,1749725000000.000000,2323811000000.000000,,,,,,34103000000.000000,3487000000.000000,24466000000.000000,,80879000000.000000,10294000000.000000,14586000000.000000,167815000000.000000,2491626000000.000000,,,71148000000.000000,4902000000.000000,,19167000000.000000,1496000000.000000,20663000000.000000,,,,,20100000000.000000,1827000000.000000,22031000000.000000,,,,,1625000000.000000,71148000000.000000,26996000000.000000,,,,,26996000000.000000,26996000000.000000,98144000000.000000,,1519201000000.000000,1372045000000.000000,-804067000000.000000,,306300000000.000000,2393479000000.000000,2491623000000.000000,1170432803.000000
12M 2015,,,180836000000.000000,,,,21762000000.000000,6139000000.000000,15623000000.000000,21762000000.000000,,,,,,1760841000000.000000,1963439000000.000000,,,,,,42793000000.000000,328236000000.000000,15782000000.000000,,80879000000.000000,7526000000.000000,4494000000.000000,479710000000.000000,2443149000000.000000,,,66996000000.000000,3918000000.000000,,15616000000.000000,1671000000.000000,17287000000.000000,,,,,18995000000.000000,7817000000.000000,12107000000.000000,,4095000000.000000,,4095000000.000000,2777000000.000000,66996000000.000000,276494000000.000000,,255883000000.000000,,255883000000.000000,20611000000.000000,276494000000.000000,343490000000.000000,,1519201000000.000000,1372045000000.000000,-1111080000000.000000,5000000.000000,319489000000.000000,2099660000000.000000,2443150000000.000000,1170432803.000000
12M 2016,,,47520000000.000000,,,,26064000000.000000,3274000000.000000,22790000000.000000,26064000000.000000,,,,,,1435248000000.000000,1508832000000.000000,,,,,,49651000000.000000,319924000000.000000,14936000000.000000,,204108000000.000000,5851000000.000000,4463000000.000000,598933000000.000000,2107765000000.000000,,,89983000000.000000,5413000000.000000,,19940000000.000000,,19940000000.000000,,,,,24420000000.000000,9810000000.000000,7045000000.000000,,20376000000.000000,,20376000000.000000,2979000000.000000,89983000000.000000,238334000000.000000,,219226000000.000000,,219226000000.000000,19108000000.000000,238334000000.000000,328317000000.000000,,1519201000000.000000,1372045000000.000000,-1329181000000.000000,7000000.000000,217376000000.000000,1779448000000.000000,2107765000000.000000,1170432803.000000
12M 2017,,,22489000000.000000,,,,27256000000.000000,6764000000.000000,20492000000.000000,27256000000.000000,,,,,,1001234000000.000000,1050979000000.000000,,,,,,56442000000.000000,311612000000.000000,14728000000.000000,,204108000000.000000,7232000000.000000,4463000000.000000,598585000000.000000,1649564000000.000000,,,87890000000.000000,3577000000.000000,,13464000000.000000,2274000000.000000,15738000000.000000,,,,,22178000000.000000,9284000000.000000,8329000000.000000,,20942000000.000000,,20942000000.000000,7842000000.000000,87890000000.000000,225572000000.000000,,199604000000.000000,,199604000000.000000,25968000000.000000,225572000000.000000,313462000000.000000,,1519201000000.000000,1372045000000.000000,-1677079000000.000000,7000000.000000,121928000000.000000,1336102000000.000000,1649564000000.000000,1170432803.000000
