Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Bunga,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Bunga,Pengembalian Lebih Bayar Pajak,Pembayaran Pajak,Penerimaan Tagihan Pajak Penghasilan,Penerimaan (Pembayaran) Kegiatan Usaha Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Investasi,Penerimaan Dari Dividen,Perolehan / Penjualan Aset Tetap,Perolehan Aset Tetap,Penjualan Aset Tetap,Total Perolehan / Penjualan Aset Tetap,Pembayaran Untuk Perolehan Kepemilikan Pada Entitas Asosiasi,Pembayaran Untuk Investasi,Penerimaan Dari Pelepasan Kepemilikan Pada Entitas Asosiasi,Penempatan Dana Yang Dibatasi Penggunaannya,Pembelian Investasi Jangka Pendek,Penjualan Investasi Jangka Pendek,Penjualan Atas Hak Memesan Efek Terlebih Dahulu,Penerimaan Pendapatan Bunga,Pembelian Obligasi,Penambahan Properti Investasi,Penerimaan Dari Penjualan Properti Investasi,Penerimaan Sewa Properti Investasi,Uang Muka Investasi,Penerimaan Dari Penjualan Entitas Anak,Pendapatan Sewa Properti,Akuisisi Perusahaan Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank,Pembayaran Bunga,Pembayaran Pinjaman Bank,Pembayaran Beban Bunga,Pembayaran Beban Keuangan,Pemberian Pinjaman Kepada Pihak Berelasi,Penerimaan Dari Penawaran Umum Terbatas V,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Saldo Awal Kas Dan Bank Entitas Anak Yang Baru Diakuisisi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-5403000000.000000,46386000000.000000,,-29311000000.000000,,,,,,-22478000000.000000,-5403000000.000000,-91159000000.000000,,7384000000.000000,,-399000000.000000,130000000.000000,-269000000.000000,,,,,,,,11926000000.000000,,,,,,,,-110200000000.000000,-91159000000.000000,,,,,,,,,,-96562000000.000000,,121518000000.000000,24956000000.000000
12M 2009,-53999000000.000000,97472000000.000000,,-89494000000.000000,,,,,,-61977000000.000000,-53999000000.000000,-43922000000.000000,,9870000000.000000,,-27998000000.000000,,-27998000000.000000,,,,,,57849000000.000000,,6825000000.000000,,,,,,,,-90468000000.000000,-43922000000.000000,101355000000.000000,1734000000.000000,,-496000000.000000,,,,100117000000.000000,101355000000.000000,3434000000.000000,,24956000000.000000,28390000000.000000
12M 2010,-100106000000.000000,67643000000.000000,,-72840000000.000000,,,,,,-94909000000.000000,-100106000000.000000,131072000000.000000,,127429000000.000000,-3279000000.000000,,,-3279000000.000000,,,,,-30787000000.000000,33122000000.000000,,4587000000.000000,,,,,,,,,131072000000.000000,-1426000000.000000,23444000000.000000,-870000000.000000,-24000000000.000000,,,,,-1426000000.000000,29540000000.000000,,28390000000.000000,57930000000.000000
12M 2011,-91608000000.000000,92150000000.000000,,-68443000000.000000,,,,,,-115315000000.000000,-91608000000.000000,132054000000.000000,,150162000000.000000,,-29062000000.000000,2650000000.000000,-26412000000.000000,,,,,-30015000000.000000,,21187000000.000000,17132000000.000000,,,,,,,,,132054000000.000000,-1437000000.000000,50652000000.000000,,-51569000000.000000,-520000000.000000,,,,-1437000000.000000,39009000000.000000,,57928000000.000000,96937000000.000000
12M 2012,-90119000000.000000,90096000000.000000,783000000.000000,-107368000000.000000,-70598000000.000000,-230000000.000000,5469000000.000000,-8271000000.000000,,,-90119000000.000000,168021000000.000000,152289000000.000000,15342000000.000000,,-5631000000.000000,,-5631000000.000000,,,,,,,,6021000000.000000,,,,,,,,,168021000000.000000,4000000.000000,36225000000.000000,,-36221000000.000000,,,,,4000000.000000,77906000000.000000,,96938000000.000000,174844000000.000000
12M 2013,-69877000000.000000,95808000000.000000,5369000000.000000,,-88685000000.000000,-67155000000.000000,-511000000.000000,,,-14703000000.000000,-69877000000.000000,-3575000000.000000,,70234000000.000000,,-2008000000.000000,,-2008000000.000000,,,,,-81159000000.000000,8899000000.000000,,459000000.000000,,,,,,,,,-3575000000.000000,370000000.000000,86175000000.000000,,-85805000000.000000,,,,,370000000.000000,-73082000000.000000,,174844000000.000000,101762000000.000000
12M 2014,-96565000000.000000,90984000000.000000,26685000000.000000,,-138732000000.000000,-71139000000.000000,-776000000.000000,,,-3587000000.000000,-96565000000.000000,531339000000.000000,,74861000000.000000,,-9206000000.000000,,-9206000000.000000,,,,,-113349000000.000000,589033000000.000000,,,-10000000000.000000,,,,,,,,531339000000.000000,2549000000.000000,60774000000.000000,,-58225000000.000000,,,,,2549000000.000000,437323000000.000000,,101762000000.000000,539085000000.000000
12M 2015,-84693000000.000000,105102000000.000000,32964000000.000000,,-113515000000.000000,-74790000000.000000,-23391000000.000000,,,-11063000000.000000,-84693000000.000000,-478316000000.000000,,27339000000.000000,,-459000000.000000,,-459000000.000000,,,,,-723320000000.000000,535552000000.000000,,,,-267477000000.000000,,18582000000.000000,-68533000000.000000,,,,-478316000000.000000,204760000000.000000,333319000000.000000,,-74559000000.000000,,,-54000000000.000000,,204760000000.000000,-358249000000.000000,,539085000000.000000,180836000000.000000
12M 2016,-36345000000.000000,92526000000.000000,19542000000.000000,,-46219000000.000000,-56163000000.000000,-33127000000.000000,,,-12904000000.000000,-36345000000.000000,-80923000000.000000,,13477000000.000000,,-3917000000.000000,,-3917000000.000000,,,,,-773794000000.000000,659784000000.000000,,,,,,23527000000.000000,,,,,-80923000000.000000,-19234000000.000000,32481000000.000000,,-51715000000.000000,,,,,-19234000000.000000,-136502000000.000000,3186000000.000000,180836000000.000000,47520000000.000000
12M 2017,-57556000000.000000,101858000000.000000,1028000000.000000,,-64221000000.000000,-57213000000.000000,-30735000000.000000,,,-8273000000.000000,-57556000000.000000,53768000000.000000,,22540000000.000000,,-3994000000.000000,,-3994000000.000000,,,,,-270266000000.000000,280967000000.000000,,,,,,24521000000.000000,,,,,53768000000.000000,-21243000000.000000,25161000000.000000,,-46404000000.000000,,,,,-21243000000.000000,-25031000000.000000,,47520000000.000000,22489000000.000000
