Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Atas Perubahan Nilai Aset Keuangan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba Pra Akuisisi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,31365000000.000000,-27138000000.000000,4227000000.000000,-32582000000.000000,,,-32521000000.000000,,-61000000.000000,-32582000000.000000,-28355000000.000000,40733000000.000000,13088000000.000000,157000000.000000,8758000000.000000,,,18730000000.000000,40733000000.000000,12378000000.000000,,,,,12378000000.000000,,,12378000000.000000,,,,,,12378000000.000000,12378000000.000000,,12378000000.000000,,,,
12M 2009,81133000000.000000,-72652000000.000000,8481000000.000000,-145075000000.000000,,-39152000000.000000,-103775000000.000000,,-2148000000.000000,-145075000000.000000,-136594000000.000000,5345000000.000000,7238000000.000000,1860000000.000000,4815000000.000000,,,-8568000000.000000,5345000000.000000,-131249000000.000000,3236000000.000000,-1087000000.000000,4323000000.000000,3236000000.000000,-128013000000.000000,10000000000.000000,,-118013000000.000000,,,,,,-118013000000.000000,-128013000000.000000,10000000000.000000,-118013000000.000000,,,,
12M 2010,72402000000.000000,-64907000000.000000,7495000000.000000,-114057000000.000000,,-28225000000.000000,-87762000000.000000,,1930000000.000000,-114057000000.000000,-106562000000.000000,471722000000.000000,4113000000.000000,471000000.000000,6511000000.000000,,,460627000000.000000,471722000000.000000,365160000000.000000,-38888000000.000000,-40673000000.000000,1785000000.000000,-38888000000.000000,326272000000.000000,,,326272000000.000000,,,,,,326272000000.000000,326272000000.000000,,326272000000.000000,,,,
12M 2011,100262000000.000000,-87028000000.000000,13234000000.000000,-125629000000.000000,,-42312000000.000000,-83092000000.000000,,-225000000.000000,-125629000000.000000,-112395000000.000000,-68307000000.000000,16696000000.000000,99000000.000000,6897000000.000000,,,-91999000000.000000,-68307000000.000000,-180702000000.000000,-24249000000.000000,-26913000000.000000,2664000000.000000,-24249000000.000000,-204951000000.000000,,,-204951000000.000000,4223000000.000000,,4223000000.000000,4223000000.000000,-200728000000.000000,-204950000000.000000,-204950000000.000000,,-204950000000.000000,-200727000000.000000,-200727000000.000000,,-200727000000.000000
12M 2012,92940000000.000000,-72942000000.000000,19998000000.000000,259001000000.000000,-114689000000.000000,,,,373690000000.000000,259001000000.000000,278999000000.000000,9598000000.000000,,,9751000000.000000,,-153000000.000000,,9598000000.000000,288597000000.000000,3407000000.000000,,,3407000000.000000,292004000000.000000,,,292004000000.000000,138621000000.000000,,138621000000.000000,138621000000.000000,430625000000.000000,292004000000.000000,292004000000.000000,,292004000000.000000,430625000000.000000,430625000000.000000,,430625000000.000000
12M 2013,94540000000.000000,-59416000000.000000,35124000000.000000,239749000000.000000,-113493000000.000000,,,,353242000000.000000,239749000000.000000,274873000000.000000,16238000000.000000,,,16519000000.000000,,-281000000.000000,,16238000000.000000,291111000000.000000,-11602000000.000000,,,-11602000000.000000,279509000000.000000,,,279509000000.000000,4284000000.000000,,4284000000.000000,4284000000.000000,283793000000.000000,279509000000.000000,279509000000.000000,,279509000000.000000,283793000000.000000,283793000000.000000,,283793000000.000000
12M 2014,93679000000.000000,-51993000000.000000,41686000000.000000,490989000000.000000,-123952000000.000000,,,,614941000000.000000,490989000000.000000,532675000000.000000,11173000000.000000,,,11683000000.000000,,-510000000.000000,,11173000000.000000,543848000000.000000,-16537000000.000000,,,-16537000000.000000,527311000000.000000,,,527311000000.000000,77048000000.000000,,77048000000.000000,77048000000.000000,604359000000.000000,527308000000.000000,527308000000.000000,,527308000000.000000,604356000000.000000,604356000000.000000,,604356000000.000000
12M 2015,98059000000.000000,-46796000000.000000,51263000000.000000,-347645000000.000000,-128293000000.000000,,,,-219352000000.000000,-347645000000.000000,-296382000000.000000,-6116000000.000000,,,17275000000.000000,,-23391000000.000000,,-6116000000.000000,-302498000000.000000,-4585000000.000000,,,-4585000000.000000,-307083000000.000000,,,-307083000000.000000,14541000000.000000,,14541000000.000000,14541000000.000000,-292542000000.000000,-307083000000.000000,-307085000000.000000,2000000.000000,-307083000000.000000,-292542000000.000000,-292544000000.000000,2000000.000000,-292542000000.000000
12M 2016,86161000000.000000,-44032000000.000000,42129000000.000000,-235936000000.000000,-81005000000.000000,,,,-154931000000.000000,-235936000000.000000,-193807000000.000000,-11792000000.000000,,,20858000000.000000,,-32650000000.000000,,-11792000000.000000,-205599000000.000000,-7425000000.000000,,,-7425000000.000000,-213024000000.000000,,,-213024000000.000000,-107188000000.000000,,-107188000000.000000,-107188000000.000000,-320212000000.000000,-213024000000.000000,-213026000000.000000,2000000.000000,-213024000000.000000,-320212000000.000000,-320214000000.000000,2000000.000000,-320212000000.000000
12M 2017,90689000000.000000,-42679000000.000000,48010000000.000000,-59719000000.000000,-80677000000.000000,,,,20958000000.000000,-59719000000.000000,-11709000000.000000,-331667000000.000000,,,23291000000.000000,,-29520000000.000000,-325438000000.000000,-331667000000.000000,-343376000000.000000,-1347000000.000000,,,-1347000000.000000,-344723000000.000000,,,-344723000000.000000,-98623000000.000000,,,-98623000000.000000,-443346000000.000000,-344723000000.000000,-344723000000.000000,,-344723000000.000000,-443346000000.000000,-443346000000.000000,,-443346000000.000000
