Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,19.33,19.33,0.01,1.1,0.0,0.0,-0.02,0.01,0.07
12M 2009,10.23,10.23,0.01,1.1,0.0,0.0,-0.02,0.01,0.1
12M 2010,15.95,15.95,0.0,1.07,0.0,0.0,-0.04,0.0,0.07
12M 2011,12.51,12.51,0.0,1.1,0.0,0.0,-0.09,0.0,0.1
12M 2012,21.79,21.79,0.0,1.06,0.0,0.0,-0.11,0.0,0.06
12M 2013,29.02,29.02,0.01,1.05,0.0,0.0,-0.05,0.0,0.05
12M 2014,32.66,32.66,0.0,1.04,0.0,0.0,-0.22,0.0,0.04
12M 2015,29.31,29.31,0.13,1.16,0.0,0.0,0.04,0.11,0.16
12M 2016,16.77,16.77,0.14,1.18,0.0,0.0,0.12,0.12,0.18
12M 2017,11.96,11.96,0.17,1.23,0.0,0.0,0.16,0.14,0.23
12M 2018,3.79,3.79,0.22,1.3,0.0,0.0,0.2,0.17,0.3
12M 2019,4.49,4.49,0.24,1.27,0.0,0.0,0.2,0.19,0.26
12M 2020,4.33,4.33,0.25,1.27,0.0,0.0,0.23,0.2,0.27
12M 2021,65.25,65.25,0.01,1.01,0.0,0.0,-0.26,0.01,0.01
12M 2022,65.59,65.59,0.0,1.01,0.0,0.0,-0.06,0.0,0.01
12M 2023,18.01,18.01,0.0,1.04,0.0,0.0,-0.09,0.0,0.04
12M 2024,80.14,80.14,0.0,1.01,0.0,0.0,-0.22,0.0,0.01
