Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Investasi Jangka Panjang,Aset Tetap,Properti Investasi,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Lain Jangka Panjang,Liabilitas Derivatif,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,8208804967.000000,18476045924.000000,7874618718.000000,,,7874618718.000000,917454833.000000,510989716.000000,406465117.000000,917454833.000000,518566172.000000,4291383439.000000,40286874053.000000,,,,,,5055049505.000000,,18700157361.000000,,19423690633.000000,,1161132861.000000,9621890462.000000,53961920822.000000,94248794875.000000,,,12134902822.000000,,,9675415516.000000,,9675415516.000000,,393886650.000000,,393886650.000000,685532719.000000,1139475673.000000,,,,,240592264.000000,,240592264.000000,,12134902822.000000,5235457740.000000,,,,,,,,308351364.000000,,,308351364.000000,,4927106376.000000,5235457740.000000,17370360562.000000,,57511250000.000000,1170864614.000000,15628940882.000000,,,15628940882.000000,6182620152.000000,-3615241338.000000,76878434310.000000,94248794872.000000,575112500.000000
12M 2009,,,16288464940.000000,23713909003.000000,10021402838.000000,,,10021402838.000000,1130628913.000000,502816200.000000,627812713.000000,1130628913.000000,533241710.000000,4394567595.000000,56082214999.000000,,,,,,5058187776.000000,,13855068150.000000,,18036284159.000000,,1456115902.000000,8066713801.000000,46472369788.000000,102554584787.000000,,,9959059370.000000,,,7051117829.000000,,7051117829.000000,,712500046.000000,,712500046.000000,1015672543.000000,1103513485.000000,,,,,76255467.000000,,76255467.000000,,9959059370.000000,3963564802.000000,,,,,,,,208483701.000000,,,208483701.000000,,3755081101.000000,3963564802.000000,13922624172.000000,,57511250000.000000,1170864614.000000,27258326338.000000,,,27258326338.000000,5314130361.000000,-2622610698.000000,88631960615.000000,102554584787.000000,575112500.000000
12M 2010,,,43607882428.000000,8854731845.000000,160018672821.000000,159998741553.000000,19931268.000000,160018672821.000000,1993502073.000000,1988215892.000000,5286181.000000,1993502073.000000,59733389615.000000,11663446019.000000,285871624801.000000,,230138645.000000,,230138645.000000,230138645.000000,5042533297.000000,150000000.000000,10319605678.000000,,16648877685.000000,,1976928440.000000,7319915992.000000,41687999737.000000,327559624538.000000,,,231301953471.000000,,,218176752295.000000,830501688.000000,219007253983.000000,,1380418889.000000,,1380418889.000000,8848417107.000000,1985018139.000000,,,,,76255477.000000,,76255477.000000,4589876.000000,231301953471.000000,4582623282.000000,,,,,,,,,,,,11737386.000000,4570885896.000000,4582623282.000000,235884576753.000000,,57511250000.000000,1170864614.000000,29702397543.000000,1450000000.000000,28252397543.000000,29702397543.000000,6141289361.000000,-2850753733.000000,91675047785.000000,327559624538.000000,575112500.000000
12M 2011,,,28243479874.000000,12825409558.000000,11006852533.000000,9969401718.000000,1037450815.000000,11006852533.000000,1081138525.000000,142545000.000000,938593525.000000,1081138525.000000,245601709.000000,12112510168.000000,65514992367.000000,,152533245.000000,,152533245.000000,152533245.000000,5040856245.000000,150000000.000000,9388408009.000000,,15436970258.000000,,2609588486.000000,7122834796.000000,39901191039.000000,105416183406.000000,,,9081309238.000000,,,5201152209.000000,741074101.000000,5942226310.000000,,562176800.000000,,562176800.000000,1394374934.000000,1177983592.000000,,,,,,,,4547602.000000,9081309238.000000,6019013046.000000,,,,,,,,,,,,11737386.000000,6007275660.000000,6019013046.000000,15100322284.000000,,57511250000.000000,1170864614.000000,30653915683.000000,1500000000.000000,29153915683.000000,30653915683.000000,3662085323.000000,-2682254501.000000,90315861119.000000,105416183403.000000,575112500.000000
12M 2012,,,11340255247.000000,,7302203810.000000,6071284369.000000,1230919441.000000,7302203810.000000,628819336.000000,505111750.000000,123707586.000000,628819336.000000,223193404.000000,38954193537.000000,58448665334.000000,,187505876.000000,106468400.000000,81037476.000000,187505876.000000,5009943213.000000,150000000.000000,13149594387.000000,,12574926675.000000,,2130254198.000000,15701076247.000000,48903300596.000000,107351965930.000000,,,17060726000.000000,,,4885864315.000000,1175535350.000000,6061399665.000000,,1224988661.000000,520663990.000000,1745652651.000000,5763850784.000000,1515903452.000000,,,,,,,,1973919448.000000,17060726000.000000,7594130005.000000,,,,,,,,,,,,,7594130005.000000,7594130005.000000,24654856005.000000,,57511250000.000000,1170864614.000000,24680804478.000000,1500000000.000000,23180804478.000000,24680804478.000000,2322886285.000000,-2988695452.000000,82697109925.000000,107351965930.000000,575112500.000000
12M 2013,,,29839051349.000000,,15288742435.000000,15288742435.000000,,15288742435.000000,1486795209.000000,1486795209.000000,,1486795209.000000,90846823.000000,69517134457.000000,116222570273.000000,,,,,,4894996419.000000,,459231674089.000000,,,140430780331.000000,15157906554.000000,96542841206.000000,716258198599.000000,832480768872.000000,,,71453395500.000000,,,46242617171.000000,204979649.000000,46447596820.000000,,1706889042.000000,,1706889042.000000,2847424060.000000,5705004272.000000,,,,784404937.000000,,12643526612.000000,13427931549.000000,1318549757.000000,71453395500.000000,28992319405.000000,,,,,,,,882462830.000000,,15588205897.000000,16470668727.000000,2222949858.000000,10298700820.000000,28992319405.000000,100445714905.000000,,742463450000.000000,-5281058276.000000,-4983923199.000000,1500000000.000000,-6483923199.000000,-4983923199.000000,174053143.000000,-337467701.000000,732035053967.000000,832480768872.000000,7424634500.000000
12M 2014,,,37919458220.000000,,11125714911.000000,11125714911.000000,,11125714911.000000,7143323488.000000,7143323488.000000,,7143323488.000000,,34323419336.000000,90511915955.000000,,,,,,,,569176298605.000000,,,138326388178.000000,18510327641.000000,110617081612.000000,836630096036.000000,927142011991.000000,,,168957495908.000000,,,26337184609.000000,,26337184609.000000,,3621532238.000000,101111111111.000000,104732643349.000000,5318407336.000000,5242497623.000000,,,3836317360.000000,760678746.000000,,22599651143.000000,27196647249.000000,130115742.000000,168957495908.000000,69646502785.000000,,,,,,,52013463418.000000,121775245.000000,,10939788793.000000,63075027456.000000,2044558599.000000,4526916730.000000,69646502785.000000,238603998693.000000,,742463450000.000000,-5708511726.000000,-48216924976.000000,1500000000.000000,-49716924976.000000,-48216924976.000000,,,688538013298.000000,927142011991.000000,7424634500.000000
12M 2015,,,346922378517.000000,,20660687388.000000,20660687388.000000,,20660687388.000000,2463739714.000000,2463739714.000000,,2463739714.000000,,29554751107.000000,399601556726.000000,,,,,,,,9000877359.000000,584071833770.000000,,137758386234.000000,23074446238.000000,139505565950.000000,893411109551.000000,1293012666277.000000,,,85515656270.000000,,,28827436384.000000,,28827436384.000000,,1103333225.000000,,1103333225.000000,4137769598.000000,545412116.000000,,,20186252041.000000,121772788.000000,,25462328613.000000,45770353442.000000,5131351505.000000,85515656270.000000,129901341852.000000,,,,,,,117541723291.000000,,,5649696010.000000,123191419301.000000,1692438795.000000,5017483756.000000,129901341852.000000,215416998122.000000,,1039448830000.000000,139219349381.000000,-102089097385.000000,1500000000.000000,-103589097385.000000,-102089097385.000000,,1016586159.000000,1077595668155.000000,1293012666277.000000,10394488300.000000
12M 2016,,,150662792217.000000,,22957422705.000000,22957422705.000000,,22957422705.000000,9555534282.000000,9555534282.000000,,9555534282.000000,,31117380294.000000,214293129498.000000,,,,,,,,7256591696.000000,749128095078.000000,,137131249890.000000,24975227085.000000,182145256802.000000,1100636420551.000000,1314929550049.000000,,,149005855074.000000,,,92230160392.000000,,92230160392.000000,,11473614940.000000,,11473614940.000000,9853451434.000000,851668196.000000,,,1433432181.000000,,,28067569411.000000,29501001592.000000,5095958520.000000,149005855074.000000,128468386748.000000,,,,,,,119509857586.000000,,,532848574.000000,120042706160.000000,1608496538.000000,6817184050.000000,128468386748.000000,277474241822.000000,,1039448830000.000000,129009070901.000000,-131899882518.000000,1500000000.000000,-133399882518.000000,-131899882518.000000,,897289844.000000,1037455308227.000000,1314929550049.000000,10394488300.000000
12M 2017,,,367819000000.000000,,208895000000.000000,208895000000.000000,,208895000000.000000,19022000000.000000,19022000000.000000,,19022000000.000000,16584000000.000000,153129000000.000000,765449000000.000000,,,,,,,,2294741000000.000000,,,904516000000.000000,52019000000.000000,478110000000.000000,3729386000000.000000,4494835000000.000000,,,737171000000.000000,94953000000.000000,,348661000000.000000,,348661000000.000000,,26048000000.000000,,26048000000.000000,50121000000.000000,34283000000.000000,,,,212000000.000000,,161622000000.000000,161834000000.000000,21271000000.000000,737171000000.000000,789549000000.000000,,,,,27564000000.000000,,622015000000.000000,,,15528000000.000000,637543000000.000000,98396000000.000000,26046000000.000000,789549000000.000000,1526720000000.000000,,3118346000000.000000,129009000000.000000,-250947000000.000000,1500000000.000000,-252447000000.000000,-250947000000.000000,,-28293000000.000000,2968115000000.000000,4494835000000.000000,31183464900.000000
