Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penyusutan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Penyesuaian Proforma,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,79665803263.000000,-40962518967.000000,38703284296.000000,-36936919375.000000,-4273710074.000000,-23917280291.000000,-8602487214.000000,-143441796.000000,-36936919375.000000,1766364921.000000,-16310459268.000000,502543601.000000,-466937369.000000,,-817392176.000000,-10532867.000000,-15518140457.000000,-16310459268.000000,-14544094347.000000,-4416604028.000000,,,,-4416604028.000000,-18960698375.000000,,,2661436636.000000,-16299261739.000000,,,-16299261739.000000,-18960698375.000000,2661436636.000000,-16299261739.000000,,,,
12M 2009,66174492019.000000,-35058837421.000000,31115654598.000000,-32450558761.000000,-2839464944.000000,-21458470638.000000,-7611727324.000000,-540895855.000000,-32450558761.000000,-1334904163.000000,12368960087.000000,909271626.000000,-353150347.000000,,-1173038847.000000,3138272.000000,12982739383.000000,12368960087.000000,11034055924.000000,-273160275.000000,,,,-273160275.000000,10760895649.000000,,,868489792.000000,11629385441.000000,,,11629385441.000000,10760895649.000000,868489792.000000,11629385441.000000,,,,
12M 2010,289152563332.000000,-244500859954.000000,44651703378.000000,-45077103718.000000,-8200292541.000000,-36876811177.000000,,,-45077103718.000000,-425400340.000000,4335211582.000000,1053802662.000000,-215954919.000000,,-659910052.000000,-15654479.000000,4172928370.000000,4335211582.000000,3909811242.000000,-276200538.000000,,,,-276200538.000000,3633610704.000000,,,522841001.000000,4156451705.000000,,,4156451705.000000,3633610704.000000,522841001.000000,4156451705.000000,,,,
12M 2011,60866132518.000000,-26584640328.000000,34281492190.000000,-33748434036.000000,-3014571030.000000,-30733863006.000000,,,-33748434036.000000,533058154.000000,517399173.000000,1205404629.000000,-213876439.000000,393064593.000000,212791769.000000,-1677054.000000,-1078308325.000000,517399173.000000,1050457327.000000,390455908.000000,,,,390455908.000000,1440913235.000000,-1452647209.000000,,,-11733974.000000,168499232.000000,156765258.000000,-11733974.000000,1522311642.000000,-1534045616.000000,-11733974.000000,156765257.000000,1690810873.000000,-1534045616.000000,156765257.000000
12M 2012,55117992886.000000,-27171629714.000000,27946363172.000000,-36998600442.000000,-2997719737.000000,-35479735100.000000,,1478854395.000000,-36998600442.000000,-9052237270.000000,2512141606.000000,2780017967.000000,-236963329.000000,,,-30913032.000000,,2512141606.000000,-6540095664.000000,-772214587.000000,,,,-772214587.000000,-7312310251.000000,,,,-7312310251.000000,-306440951.000000,-7618751202.000000,-7312310251.000000,-5973111213.000000,-1339199038.000000,-7312310251.000000,-7618751202.000000,-6279552164.000000,-1339199038.000000,-7618751202.000000
12M 2013,88366917391.000000,-57169275429.000000,31197641962.000000,-71663664232.000000,-4354778816.000000,-58803070830.000000,,-8505814586.000000,-71663664232.000000,-40466022270.000000,5714820657.000000,6147308991.000000,-322315183.000000,,,-110173151.000000,,5714820657.000000,-34751201613.000000,3365094244.000000,,,,3365094244.000000,-31386107369.000000,,,,-31386107369.000000,1191533301.000000,-30194574068.000000,-31386107369.000000,-29237274227.000000,-2148833142.000000,-31386107369.000000,-30194574068.000000,-28045740926.000000,-2148833142.000000,-30194574068.000000
12M 2014,75330678966.000000,-62027858691.000000,13302820275.000000,-37370695656.000000,-1843988044.000000,-34284070430.000000,,-1242637182.000000,-37370695656.000000,-24067875381.000000,-21017321839.000000,2612052241.000000,-23629374080.000000,,,,,-21017321839.000000,-45085197220.000000,4137196646.000000,,,,4137196646.000000,-40948000574.000000,-2712454653.000000,,,-43660455227.000000,337467701.000000,-43322987526.000000,-43660455227.000000,-43660455227.000000,,-43660455227.000000,-43322987526.000000,-43322987526.000000,,-43322987526.000000
12M 2015,104989916942.000000,-85203085205.000000,19786831737.000000,-56199614902.000000,-1022035685.000000,-55775682364.000000,,598103147.000000,-56199614902.000000,-36412783165.000000,-22074579783.000000,10539453201.000000,-30793103782.000000,,,,-1820929202.000000,-22074579783.000000,-58487362948.000000,5095122975.000000,,,,5095122975.000000,-53392239973.000000,,,,-53392239973.000000,614333865.000000,-52777906108.000000,-53392239973.000000,-53392239973.000000,,-53392239973.000000,-52777906108.000000,-52777906108.000000,,-52777906108.000000
12M 2016,140668401759.000000,-113228483494.000000,27439918265.000000,-47698558190.000000,-886152053.000000,-47690085644.000000,,877679507.000000,-47698558190.000000,-20258639925.000000,-11317589078.000000,11113868982.000000,-20211315921.000000,,,,-2220142139.000000,-11317589078.000000,-31576229003.000000,1765443870.000000,,,,1765443870.000000,-29810785133.000000,,,,-29810785133.000000,-119296315.000000,-29930081448.000000,-29810785133.000000,-29810785133.000000,,-29810785133.000000,-29930081448.000000,-29930081448.000000,,-29930081448.000000
12M 2017,707974000000.000000,-553601000000.000000,154373000000.000000,-174390000000.000000,-14639000000.000000,-160519000000.000000,,768000000.000000,-174390000000.000000,-20017000000.000000,-93467000000.000000,5621000000.000000,-99088000000.000000,,,,,-93467000000.000000,-113484000000.000000,-5563000000.000000,,,,-5563000000.000000,-119047000000.000000,,,,-119047000000.000000,-29191000000.000000,-148238000000.000000,-119047000000.000000,-119047000000.000000,,-119047000000.000000,-148238000000.000000,-148238000000.000000,,-148238000000.000000
