Period,Arus Kas Dari Aktivitas Operasi,Penambahan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Beban Usaha,Keuntungan (Kerugian) Investasi Jangka Pendek,Pembayaran Kepada Karyawan,Penerimaan Pengembalian Restitusi Pajak Ppn,Penerimaan Pajak Penghasilan,Pambayaran Pajak Penghasilan,Pembayaran Beban Bunga,Penerimaan Pendapatan Bunga,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Operasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penambahan Properti Investasi,Penerimaan Dari Pengembalian Aset,Hasil Pelepasan Entitas Anak,Pembayaran Atas Akuisisi,Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Penambahan Investasi Jangka Pendek,Penurunan Investasi Jangka Pendek,Pembayaran Sewa Guna Usaha,Pembayaran Sewa Jangka Panjang,Penambahan Aset Tidak Berwujud,Hasil Penjualan Aset Tidak Berwujud,Investasi Jangka Panjang,Penerimaan Atas Divestasi Saham,Penambahan Aset Keuangan Lancar Lainnya,Hasil Pelepasan Operasi Yang Dihentikan,Penarikan Aset Keuangan Lancar Lainnya,Penambahan Uang Jaminan,Perolehan Entitas Anak,Pembelian Fasilitas Pinjaman Kepada Pihak Ketiga,Penyertaan Investasi Pada Surat Berharga,Pembayaran Perjanjian Topa,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Pemegang Saham,Penerimaan Dari Pemegang Saham,Pembayaran Biaya Emisi Saham,Pembayaran Setoran Modal Saham,Pembayaran Dividen,Penambahan Utang Bank,Pembayaran Utang Bank,Pembayaran Biaya Transaksi Utang Bank,Pembayaran Utang Pihak Ketiga,Pembayaran Biaya Pelaksanaan Put,Penambahan Modal Disetor Melalui Put,Penambahan Modal Disetor Melalui Put Ii,Penambahan Modal Disetor Melalui Put Iii,Penerimaan Bersih Atas Penjualan Saham Treasuri,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Sewa Jangka Panjang,Kenaikan (Pembayaran) Piutang Hubungan Istimewa,Penurunan Investasi Dalam Perusahaan Asosiasi,Penempatan Dana Yang Dibatasi Penggunaannya,Pembayaran Beban Keuangan,Penambahan Utang Afiliasi,Penyelesaian Transaksi Derivatif,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Saldo Cerukan,Kas Dan Setara Kas Akhir Periode
12M 2008,-171025062.000000,75878248930.000000,-33545892862.000000,-28301773183.000000,-13664749271.000000,,,,-1039402277.000000,,502543601.000000,,-171025062.000000,-12572188414.000000,-1553861343.000000,,,,,,,25910538341.000000,,548943628.000000,,,,-30000000000.000000,,,,,-7477809040.000000,,,,,-12572188414.000000,10532866.000000,,,,,,,,,,,,,,,,,,10532866.000000,,,,,,10532866.000000,-12732680610.000000,,20941485575.000000,,8208804965.000000
12M 2009,14290210386.000000,63486812044.000000,-37914171608.000000,-24270749348.000000,12683153177.000000,,,,-604105505.000000,,909271626.000000,,14290210386.000000,-6207412139.000000,-1851344596.000000,,,,,,,-5237863079.000000,,-264204461.000000,,,,,,,,,1145999997.000000,,,,,-6207412139.000000,-3138272.000000,,,,,,,,,,,,,,,,,,-3138272.000000,,,,,,-3138272.000000,8079659975.000000,,8208804965.000000,,16288464940.000000
12M 2010,13069495109.000000,137767686864.000000,-99173341432.000000,-12353529197.000000,,-13924240077.000000,,,-300883712.000000,,1053802663.000000,,13069495109.000000,14256416188.000000,-2424024157.000000,47521200.000000,,,,,,,16782919145.000000,,,,,-150000000.000000,,,,,,,,,,14256416188.000000,-1920864201.000000,,,,,-1712380500.000000,,,,,,,,,,-208483701.000000,,,,,,,,,-1920864201.000000,25405047096.000000,,18198245456.000000,,43603292552.000000
12M 2011,551475264.000000,61374685872.000000,-34457279637.000000,-13059682496.000000,,-14202718821.000000,,,-308934283.000000,,1205404629.000000,,551475264.000000,-5561820149.000000,-3139690801.000000,398591504.000000,,,,,,,-4648274275.000000,,,,,,1650000000.000000,,,,177553423.000000,,,,,-5561820149.000000,-647048977.000000,,,,,-570793500.000000,,,,,,,,,,-76255477.000000,,,,,,,,,-647048977.000000,-5657393862.000000,,33896326134.000000,,28238932272.000000
12M 2012,4373719098.000000,56850684099.000000,-28648279464.000000,-10331727597.000000,,-15790273682.000000,,,-249738903.000000,,2543054645.000000,,4373719098.000000,-21455176914.000000,-10057414757.000000,250950000.000000,,,,,,,,,,,,,,-12137332482.000000,,,488620325.000000,,,,,-21455176914.000000,,,,,,,,,,,,,,,,,,,,,,,,,,-17081457816.000000,177663234.000000,28238932272.000000,,11335137690.000000
12M 2013,-36518991487.000000,80265373346.000000,-82956498160.000000,-8013101245.000000,,-27173102524.000000,,,-4036938682.000000,,5395275778.000000,,-36518991487.000000,-623860390336.000000,-245329659082.000000,260295455.000000,,,,,-383618978114.000000,,,,,,,,,5111298589.000000,,,-283347184.000000,,,,,-623860390336.000000,678704483618.000000,,,1032241000.000000,,-828034492.000000,,,,,,684952200000.000000,,,-6451922890.000000,,,,,,,,,,678704483618.000000,18325101795.000000,178811864.000000,11335137690.000000,,29839051349.000000
12M 2014,-17020144863.000000,67623767754.000000,-17787732876.000000,-39897944324.000000,,-17272905672.000000,13389367864.000000,,-2484719654.000000,-22512762268.000000,1922784313.000000,,-17020144863.000000,-131393270344.000000,-175625839249.000000,9651345637.000000,,,-391045875.000000,,,,,,,-257914415.000000,,,,15195653895.000000,20034529663.000000,,,,,,,-131393270344.000000,156490682571.000000,100000000000.000000,,,,,57275096347.000000,,,,,,,,,,-784413776.000000,,,,,,,,156490682571.000000,8077267364.000000,3139507.000000,29839051349.000000,,37919458220.000000
12M 2015,-11151543890.000000,91870548038.000000,-33386294539.000000,-38207321361.000000,,-20263212319.000000,15703558159.000000,,-2513857493.000000,-31638826330.000000,7283861955.000000,,-11151543890.000000,-102476584672.000000,-31655435655.000000,46800000.000000,-73576272708.000000,,,,,,,,,-196145684.000000,,,,3609814375.000000,,,-705345000.000000,,,,,-102476584672.000000,422627463543.000000,-100000000000.000000,,-3564828893.000000,,,92724903639.000000,-11250000000.000000,,,,,445478070000.000000,,,,-760681203.000000,,,,,,,,422627463543.000000,308999334981.000000,3585316.000000,37919458220.000000,,346922378517.000000
12M 2016,331118400.000000,145562713890.000000,-50910459950.000000,-57400893556.000000,,-24599245731.000000,,,-2727587931.000000,-19983025576.000000,10389617254.000000,,331118400.000000,-175628145864.000000,-448516878.000000,2500000.000000,-174990959737.000000,,,,,,,,,-190809249.000000,,,,,,,-360000.000000,,,,,-175628145864.000000,-20961200744.000000,,,-2991778480.000000,,,136517350524.000000,-138750000000.000000,-15615000000.000000,,,,,,,,-121772788.000000,,,,,,,,-20961200744.000000,-196258228208.000000,-1358092.000000,346922378517.000000,,150662792217.000000
12M 2017,-188972000000.000000,560133000000.000000,-278590000000.000000,-257650000000.000000,,-92627000000.000000,,,-61021000000.000000,-83272000000.000000,24055000000.000000,,-188972000000.000000,-318826000000.000000,-263778000000.000000,753000000.000000,,,,,-51102000000.000000,,,,,-630000000.000000,,-4030000000.000000,,,,4000000000.000000,-4039000000.000000,,,,,-318826000000.000000,724847000000.000000,,,-7218000000.000000,,,546122000000.000000,-120943000000.000000,-33979000000.000000,-1737934000000.000000,,,,2078897000000.000000,,,-98000000.000000,,,,,,,,724847000000.000000,217049000000.000000,107000000.000000,150663000000.000000,,367819000000.000000
