Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,8.04 B,7.64,0.00,0.00,89.00 B,1.78%,5.70%,4.90%,
12M 2020,8.04 B,1.07,266.36,3.51,34.08 B,0.21%,0.80%,0.78%,
12M 2021,8.04 B,0.51,760.78,4.44,11.09 B,0.08%,0.39%,0.15%,
12M 2022,13.82 B,-11.24,-20.64,4.14,(190.00 B),-3.45%,-4.89%,-4.15%,
12M 2023,18.38 B,9.68,33.06,5.96,203.70 B,4.06%,5.40%,4.33%,
12M 2024,18.38 B,11.70,16.32,2.86,286.82 B,4.42%,6.44%,5.96%,
