Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi",Pembayaran Bunga,Pembayaran Beban Tenaga Kerja,Pembayaran Beban Umum Dan Adminstrasi,Penerimaan Pendapatan Operasional Lainnya,Pembayaran Beban Non-Operasional,Pembayaran Pajak Penghasilan,Penurunan (Kenaikan) Aset Operasi,Penempatan Pada Bank Indonesia Dan Bank Lain,Kredit Yang Diberikan,Efek-Efek Yang Diukur Pada Nilai Wajar Melalui Laba Rugi,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Aset Lain-Lain,Total Penurunan (Kenaikan) Aset Operasi,Kenaikan (Penurunan) Liabilitas Operasi,Simpanan,Simpanan Dari Bank Lain,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Beban Yang Masih Harus Dibayar Dan Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembelian Aset Tak Berwujud,Penempatan Efek Tersedia Untuk Dijual,Penempatan Efek Dimiliki Hingga Jatuh Tempo,Pencairan Efek Tersedia Untuk Dijual,Pencairan Efek Dimiliki Hingga Jatuh Tempo,Hasil Penjualan Aset Tetap,Hasil Realisasi Aset Takberwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Pembayaran Liabilitas Sewa,Penambahan Dari Modal Saham Dan Tambahan Modal Disetor,Dana Setoran Modal,Pembayaran Biaya Emisi Efek Ekuitas,Pembelian Saham Treasuri,Pembayaran Dividen,Pinjaman Yang Diterima,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,614821755000.000000,611484503000.000000,-149425213000.000000,-116221885000.000000,-60398571000.000000,127514856000.000000,-3201107000.000000,-35959782000.000000,,-5000000000.000000,-922354168000.000000,,,-14413748000.000000,-941767916000.000000,,734838166000.000000,440736333000.000000,,7222371000.000000,1182796870000.000000,614821755000.000000,-17079991000.000000,-7149591000.000000,-110400000.000000,-15000000000.000000,,5100000000.000000,,80000000.000000,,-17079991000.000000,314838929000.000000,314838929000.000000,,,,,,,,,314838929000.000000,912580693000.000000,345982705000.000000,,345982705000.000000,1258563398000.000000
12M 2020,745702430000.000000,672571716000.000000,-187119561000.000000,-141874377000.000000,-101283160000.000000,173471901000.000000,-3175659000.000000,-26495643000.000000,,5000000000.000000,-83863342000.000000,,-190336780000.000000,4468916000.000000,-264731206000.000000,,463673319000.000000,175008156000.000000,,-14343056000.000000,624338419000.000000,745702430000.000000,-254379995000.000000,-4651049000.000000,,-324988946000.000000,,75260000000.000000,,,,-254379995000.000000,-30694082000.000000,,,,,,,-30694082000.000000,,,-30694082000.000000,460628353000.000000,1258563398000.000000,,1258563398000.000000,1719191751000.000000
12M 2021,485695810000.000000,658871221000.000000,-223134681000.000000,-163889662000.000000,-159793623000.000000,202243677000.000000,-6228024000.000000,-490635000.000000,,,-919753917000.000000,,107472056000.000000,-149135706000.000000,-961417567000.000000,,884762869000.000000,206851288000.000000,,47920947000.000000,1139535104000.000000,485695810000.000000,-312237758000.000000,-1981905000.000000,-5058590000.000000,-389917263000.000000,,84720000000.000000,,,,-312237758000.000000,-3232280000.000000,,-3232280000.000000,,,,,,,,-3232280000.000000,170225772000.000000,1719191751000.000000,,1719191751000.000000,1889417523000.000000
12M 2022,-2707467208000.000000,786289836000.000000,-124617791000.000000,-198035987000.000000,-333016727000.000000,266400513000.000000,-983044000.000000,,,,-498434151000.000000,,82864724000.000000,124333540000.000000,-291235887000.000000,,-2173292383000.000000,-580493274000.000000,,-58482464000.000000,-2812268121000.000000,-2707467208000.000000,11091833000.000000,-2280359000.000000,-308070000.000000,,,13680262000.000000,,,,11091833000.000000,2264823202000.000000,,-3947449000.000000,1000852056000.000000,1277002373000.000000,-9083778000.000000,,,,,2264823202000.000000,-431552173000.000000,1889417523000.000000,,1889417523000.000000,1457865350000.000000
12M 2023,-292926000000.000000,1172116000000.000000,-66007000000.000000,-239556000000.000000,-193336000000.000000,396156000000.000000,-440000000.000000,,,,-886999000000.000000,,-154281000000.000000,-21841000000.000000,-1063121000000.000000,,-297364000000.000000,-41147000000.000000,,39773000000.000000,-298738000000.000000,-292926000000.000000,-16657000000.000000,-3036000000.000000,-661000000.000000,,-47193000000.000000,,,34233000000.000000,,-16657000000.000000,-68161000000.000000,,-5205000000.000000,,,-1148000000.000000,-61808000000.000000,,,,-68161000000.000000,-377744000000.000000,1457866000000.000000,,1457866000000.000000,1080122000000.000000
12M 2024,632974000000.000000,1226359000000.000000,-65486000000.000000,-243126000000.000000,-297996000000.000000,510805000000.000000,-520000000.000000,-78649000000.000000,,,-1034524000000.000000,29271000000.000000,154281000000.000000,-15240000000.000000,-866212000000.000000,,375441000000.000000,43015000000.000000,,29343000000.000000,447799000000.000000,632974000000.000000,-572801000000.000000,-2494000000.000000,-393000000.000000,-3340000000.000000,-566996000000.000000,258000000.000000,,164000000.000000,,-572801000000.000000,-172121000000.000000,,-2204000000.000000,,,,-41961000000.000000,-127956000000.000000,,,-172121000000.000000,-111948000000.000000,1080122000000.000000,,1080122000000.000000,968174000000.000000
