Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Biaya Pengupasan Tanah Yang Ditangguhkan,Properti Pertambangan,Aset Eksplorasi Dan Evaluasi,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Utang Jangka Panjang Dari Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,5275981975.000000,420252789.000000,420252789.000000,,420252789.000000,1042102570.000000,295576199.000000,746526371.000000,1042102570.000000,1086414801.000000,827542599.000000,8652294734.000000,,,173329712525.000000,1451575696.000000,,,,,1315050000.000000,,211793520.000000,176308131741.000000,184960426475.000000,,,25038026196.000000,,1031964386.000000,1031964386.000000,,824284915.000000,,824284915.000000,1358207968.000000,927269738.000000,,20896299189.000000,,,,,,,25038026196.000000,2132021165.000000,,,,,,,,,2132021165.000000,2132021165.000000,27170047361.000000,,10000000000.000000,,-28358547265.000000,,,-28358547265.000000,33476210953.000000,142672715426.000000,157790379114.000000,184960426475.000000,80000000.000000
12M 2012,,,156006157426.000000,,,,,9736833735.000000,9736833735.000000,,9736833735.000000,74560323.000000,203483504.000000,166021034988.000000,,,187383811389.000000,2438532428.000000,,,,118645905278.000000,1315050000.000000,,4374960730.000000,314158259825.000000,480179294813.000000,,,32560588031.000000,,,,,29274040263.000000,,29274040263.000000,1115328620.000000,992310000.000000,,883878512.000000,,,295030636.000000,,295030636.000000,,32560588031.000000,1605092317.000000,,,,,519869718.000000,,519869718.000000,,1085222599.000000,1605092317.000000,34165680348.000000,,112500000000.000000,301823688089.000000,677667755.000000,,,677667755.000000,33824326267.000000,-2812067646.000000,446013614465.000000,480179294813.000000,900000000.000000
12M 2013,,,167525579616.000000,,,,,2531356149.000000,2531356149.000000,,2531356149.000000,12989509030.000000,244551673.000000,183290996468.000000,,,211804544785.000000,40255376922.000000,,,,180621779008.000000,1315050000.000000,,9362584447.000000,443359335162.000000,626650331630.000000,,,38943695521.000000,,,,,28487240208.000000,,28487240208.000000,1514985940.000000,1268766357.000000,,937280132.000000,,,397493072.000000,6337929812.000000,6735422884.000000,,38943695521.000000,123478702898.000000,,,,,290085232.000000,121201809118.000000,121491894350.000000,103580964.000000,1883227584.000000,123478702898.000000,162422398419.000000,,112500000000.000000,299011620443.000000,17496348711.000000,,,17496348711.000000,35219964057.000000,,464227933211.000000,626650331630.000000,900000000.000000
12M 2014,,,126496469854.000000,5963620800.000000,,,5963620800.000000,1970214855.000000,1970214855.000000,,1970214855.000000,26085504185.000000,147507965.000000,160663317659.000000,,,216835879027.000000,50504497199.000000,,,,274710494729.000000,1315050000.000000,,20945147006.000000,564311067961.000000,724974385620.000000,,,133157267853.000000,,,,,27941340561.000000,,27941340561.000000,180506394.000000,3154379300.000000,,954033877.000000,,,282804470.000000,100644203251.000000,100927007721.000000,,133157267853.000000,133629781985.000000,,,,,7280968.000000,130677451170.000000,130684732138.000000,,2945049847.000000,133629781985.000000,266787049838.000000,,393750000000.000000,17761620443.000000,14213904356.000000,,,14213904356.000000,32124406002.000000,337404981.000000,458187335782.000000,724974385620.000000,900000000.000000
12M 2015,,,107965535421.000000,4746824286.000000,,,4746824286.000000,339614537.000000,339614537.000000,,339614537.000000,13973124987.000000,183066335.000000,127208165566.000000,,,217649135991.000000,42712288771.000000,,,,303114289102.000000,1315050000.000000,,20786184028.000000,585576947892.000000,712785113458.000000,,,167590602690.000000,,486055411.000000,486055411.000000,,30612398057.000000,,30612398057.000000,149667437.000000,3942583955.000000,,980433116.000000,,,7280968.000000,131412183746.000000,131419464714.000000,,167590602690.000000,146083187772.000000,,,,,,143689064447.000000,143689064447.000000,,2394123325.000000,146083187772.000000,313673790462.000000,,393750000000.000000,17761620443.000000,-35952037215.000000,,,-35952037215.000000,21976194979.000000,1575544789.000000,399111322996.000000,712785113458.000000,3150000000.000000
12M 2016,,,15681962762.000000,1017357765.000000,,,1017357765.000000,1677876027.000000,1677876027.000000,,1677876027.000000,2982997461.000000,309840762.000000,21670034777.000000,,,235805701072.000000,36596553524.000000,,,,322815669806.000000,1315050000.000000,,18539331380.000000,615072305782.000000,636742340559.000000,,,81577226463.000000,,997555147.000000,997555147.000000,,29063171861.000000,,29063171861.000000,205260325.000000,5497706677.000000,,4323984757.000000,,,,41489547696.000000,41489547696.000000,,81577226463.000000,173972462533.000000,,,,,,170881303518.000000,170881303518.000000,,3091159015.000000,173972462533.000000,255549688996.000000,,393750000000.000000,17761620443.000000,-52388771731.000000,,,-52388771731.000000,20188872159.000000,1880930692.000000,381192651563.000000,636742340559.000000,3150000000.000000
12M 2017,,,17429658292.000000,1086867975.000000,,,1086867975.000000,1670804543.000000,1670804543.000000,,1670804543.000000,2670842084.000000,2930462138.000000,25788635032.000000,,,297721724411.000000,60503697960.000000,,,,325108419979.000000,1315050000.000000,,15226387000.000000,699875279350.000000,725663914382.000000,,,120678159590.000000,,292873200.000000,292873200.000000,,31021307915.000000,,31021307915.000000,202204544.000000,3800304461.000000,,970533771.000000,,8939583165.000000,,60751352534.000000,69690935699.000000,14700000000.000000,120678159590.000000,185625505097.000000,,,,16858254542.000000,,163507179975.000000,180365434517.000000,,5260070580.000000,185625505097.000000,306303664687.000000,,393750000000.000000,17761620443.000000,-21329887107.000000,,,-21329887107.000000,27372018408.000000,1806497951.000000,419360249695.000000,725663914382.000000,3150000000.000000
12M 2018,,,45625197134.000000,1246653955.000000,,,1246653955.000000,1562031661.000000,1562031661.000000,,1562031661.000000,6239552365.000000,3077497566.000000,57750932681.000000,,,361359789168.000000,49223079535.000000,,150578003450.000000,199268289279.000000,,1315050000.000000,,12470793155.000000,774215004587.000000,831965937268.000000,,,175830166003.000000,,2982931873.000000,2982931873.000000,,31549722195.000000,,31549722195.000000,271642770.000000,21009355688.000000,,988435830.000000,,12621346972.000000,,88369230675.000000,100990577647.000000,18037500000.000000,175830166003.000000,166600804322.000000,,,,9582466613.000000,,150176725600.000000,159759192213.000000,,6841612109.000000,166600804322.000000,342430970325.000000,,393750000000.000000,17761620443.000000,55281113390.000000,,,55281113390.000000,-35190121699.000000,57932354809.000000,489534966943.000000,831965937268.000000,3150000000.000000
12M 2019,,,76062221817.000000,1074499060.000000,,,1074499060.000000,1785996579.000000,1785996579.000000,,1785996579.000000,3420848441.000000,3034626783.000000,85378192680.000000,,,352752253367.000000,32811327002.000000,,144073991933.000000,209126173294.000000,,1315050000.000000,,46056351487.000000,786135147083.000000,871513339763.000000,,,139763286351.000000,,4701345927.000000,4701345927.000000,,514928159.000000,,514928159.000000,191586103.000000,6064084475.000000,60028790445.000000,1010059379.000000,,8662979466.000000,,17582002197.000000,26244981663.000000,41007510200.000000,139763286351.000000,147304134111.000000,,,,9155729248.000000,,131527902355.000000,140683631603.000000,,6620502508.000000,147304134111.000000,287067420462.000000,,393750000000.000000,17761620443.000000,62106225046.000000,3500000000.000000,58606225046.000000,62106225046.000000,-5422678471.000000,116250752283.000000,584445919301.000000,871513339763.000000,3150000000.000000
12M 2020,,,65084702903.000000,8803211743.000000,,,8803211743.000000,348726710.000000,348726710.000000,,348726710.000000,15789266261.000000,3552038728.000000,93577946345.000000,,,367419003162.000000,16881405316.000000,,130704040840.000000,211109870089.000000,,1315050000.000000,,60778902388.000000,788208271795.000000,881786218140.000000,,,160127033037.000000,,23262717627.000000,23262717627.000000,,1790474200.000000,,1790474200.000000,251706714.000000,33604831948.000000,66596438026.000000,1087373655.000000,,4458459201.000000,,4833031666.000000,9291490867.000000,24242000000.000000,160127033037.000000,157101353302.000000,,,,8911390437.000000,,141525422840.000000,150436813277.000000,,6664540025.000000,157101353302.000000,317228386339.000000,,393750000000.000000,17761620443.000000,45577174706.000000,4000000000.000000,41577174706.000000,45577174706.000000,-12266415079.000000,119735451731.000000,564557831801.000000,881786218140.000000,3150000000.000000
