Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,,,,-13783365.000000,-13783365.000000,,-13783365.000000,-13783365.000000,9531527171.000000,9377219300.000000,155157306.000000,-6306020.000000,5456585.000000,,,,9531527171.000000,9517743806.000000,,,,,9517743806.000000,-1712632569.000000,7805111237.000000,-153992300.000000,-153992300.000000,-153992300.000000,7651118937.000000,7805111237.000000,4380643673.000000,3424467564.000000,7805111237.000000,7651118937.000000,4226651373.000000,3424467564.000000,7651118937.000000
12M 2012,,,,-6564468002.000000,-6564468002.000000,,-6564468002.000000,-6564468002.000000,22439379066.000000,16867263035.000000,4181649767.000000,-200975186.000000,-1363169090.000000,,,2954610540.000000,22439379066.000000,15874911064.000000,-755027860.000000,,,-755027860.000000,15119883204.000000,-817742136.000000,14302141068.000000,,,,14302141068.000000,14302141068.000000,16139062212.000000,-1836921144.000000,14302141068.000000,14302141068.000000,16139062212.000000,-1836921144.000000,14302141068.000000
12M 2013,,,,-9752766375.000000,-9752766375.000000,,-9752766375.000000,-9752766375.000000,30101425200.000000,29774658705.000000,4999134271.000000,,-1756040210.000000,,,-2916327566.000000,30101425200.000000,20348658825.000000,-1010850375.000000,,,-1010850375.000000,19337808450.000000,,19337808450.000000,,,,19337808450.000000,19337808450.000000,16818680956.000000,2519127494.000000,19337808450.000000,19337808450.000000,16818680956.000000,2519127494.000000,19337808450.000000
12M 2014,8932749050.000000,-5183080610.000000,3749668440.000000,-12742807240.000000,-12742807240.000000,,-12742807240.000000,-8993138800.000000,5491042589.000000,11646991767.000000,5525841521.000000,-5375334162.000000,-5547131055.000000,,,-759325482.000000,5491042589.000000,-3502096211.000000,,,,,-3502096211.000000,,-3502096211.000000,,,,-3502096211.000000,-3502096211.000000,-3282444355.000000,-219651856.000000,-3502096211.000000,-3502096211.000000,-3282444355.000000,-219651856.000000,-3502096211.000000
12M 2015,28770043945.000000,-28547578518.000000,222465427.000000,-22336922741.000000,-22336922741.000000,,-22336922741.000000,-22114457314.000000,-38464409792.000000,697277581.000000,4517553727.000000,-11471669260.000000,-18198752184.000000,,,-14008819656.000000,-38464409792.000000,-60578867106.000000,,,,,-60578867106.000000,,-60578867106.000000,1463854320.000000,1463854320.000000,1463854320.000000,-59115012786.000000,-60578867106.000000,-50165941571.000000,-10412925535.000000,-60578867106.000000,-59115012786.000000,-48927801763.000000,-10187211023.000000,-59115012786.000000
12M 2016,56064913975.000000,-51985933908.000000,4078980067.000000,-29555125431.000000,-29555125431.000000,,-29555125431.000000,-25476145364.000000,7195083633.000000,18106557613.000000,638093088.000000,-6723498189.000000,3200549199.000000,,,-8026618078.000000,7195083633.000000,-18281061731.000000,,,,,-18281061731.000000,,-18281061731.000000,362390298.000000,362390298.000000,362390298.000000,-17918671433.000000,-18281061731.000000,-16436734516.000000,-1844327215.000000,-18281061731.000000,-17918671433.000000,-16131348613.000000,-1787322820.000000,-17918671433.000000
12M 2017,57637418578.000000,-42604342597.000000,15033075981.000000,-32073857134.000000,-32073857134.000000,,-32073857134.000000,-17040781153.000000,57118782585.000000,71803548922.000000,551861467.000000,-12767690901.000000,-1246563293.000000,,,-1222373610.000000,57118782585.000000,40078001432.000000,,,,,40078001432.000000,,40078001432.000000,-84293300.000000,,-84293300.000000,39993708132.000000,40078001432.000000,31058884624.000000,9019116808.000000,40078001432.000000,39993708132.000000,30984451883.000000,9009256249.000000,39993708132.000000
12M 2018,190410914134.000000,-150441544468.000000,39969369666.000000,-32146009065.000000,-32146009065.000000,,-32146009065.000000,7823360601.000000,76761207090.000000,97843489085.000000,1235900404.000000,-15683510804.000000,-10804504707.000000,,,4169833112.000000,76761207090.000000,84584567691.000000,,,,,84584567691.000000,,84584567691.000000,683149557.000000,,683149557.000000,85267717248.000000,84584567691.000000,76611000497.000000,7973567194.000000,84584567691.000000,85267717248.000000,77237790341.000000,8029926907.000000,85267717248.000000
12M 2019,250264866368.000000,-212905151069.000000,37359715299.000000,-37457584046.000000,-37457584046.000000,,-37457584046.000000,-97868747.000000,6331885866.000000,7761363074.000000,2666611211.000000,-15451174094.000000,5318447764.000000,,,6036637911.000000,6331885866.000000,6234017119.000000,,,,,6234017119.000000,,6234017119.000000,-9868328518.000000,,-9868328518.000000,-3634311399.000000,6234017119.000000,6825111656.000000,-591094537.000000,6234017119.000000,-3634311399.000000,-3244095135.000000,-390216264.000000,-3634311399.000000
12M 2020,209445719950.000000,-196640722419.000000,12804997531.000000,-40945348468.000000,-40945348468.000000,,-40945348468.000000,-28140350937.000000,4753733054.000000,21206727917.000000,2456438703.000000,-13034562985.000000,-1577799835.000000,,,-4297070746.000000,4753733054.000000,-23386617883.000000,,,,,-23386617883.000000,,-23386617883.000000,3498530383.000000,,3498530383.000000,-19888087500.000000,-23386617883.000000,-16529050340.000000,-6857567543.000000,-23386617883.000000,-19888087500.000000,-13044350892.000000,-6843736608.000000,-19888087500.000000
