Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,14896605657.000000,-11781532059.000000,3115073598.000000,-2778819602.000000,-2778819602.000000,-2778819602.000000,336253996.000000,-51975670.000000,35429805.000000,-364630569.000000,277225094.000000,-51975670.000000,284278326.000000,-209765539.000000,-214399630.000000,4634091.000000,-209765539.000000,74512787.000000,3067129.000000,77579916.000000,74512787.000000,74512787.000000,,74512787.000000,77579916.000000,77579916.000000,,77579916.000000
12M 2021,16410814836.000000,-13375782238.000000,3035032598.000000,-2592563101.000000,-2592563101.000000,-2592563101.000000,442469497.000000,-277130586.000000,8789077.000000,-739573048.000000,453653385.000000,-277130586.000000,165338911.000000,-162295215.000000,-173382659.000000,11087444.000000,-162295215.000000,3043696.000000,-24767364.000000,-21723668.000000,3043696.000000,3043696.000000,,3043696.000000,-21723668.000000,-21723668.000000,,-21723668.000000
12M 2022,20933090413.000000,-15937669478.000000,4995420935.000000,-2909998387.000000,-2909998387.000000,-2909998387.000000,2085422548.000000,-344399935.000000,107961803.000000,-1061475801.000000,609114063.000000,-344399935.000000,1741022613.000000,-283283083.000000,-267342229.000000,-15940854.000000,-283283083.000000,1457739530.000000,15127655.000000,1472867185.000000,1457739530.000000,1457739530.000000,,1457739530.000000,1472867185.000000,1472867185.000000,,1472867185.000000
12M 2023,76847618135.000000,-69846236229.000000,7001381906.000000,-3908081396.000000,-3908081396.000000,-3908081396.000000,3093300510.000000,-469409629.000000,96121241.000000,-709232739.000000,143701869.000000,-469409629.000000,2623890881.000000,-653931336.000000,-662996180.000000,9064844.000000,-653931336.000000,1969959545.000000,-16549419.000000,1953410126.000000,1969959545.000000,1969959545.000000,,1969959545.000000,1953410126.000000,1953410126.000000,,1953410126.000000
12M 2024,35724253459.000000,-29980377820.000000,5743875639.000000,-3206576389.000000,-3206576389.000000,-3206576389.000000,2537299250.000000,-581144985.000000,3255023.000000,-693903872.000000,109503864.000000,-581144985.000000,1956154265.000000,-532741560.000000,-542514792.000000,9773232.000000,-532741560.000000,1423412705.000000,12452723.000000,1435865428.000000,1423412705.000000,1423412705.000000,,1423412705.000000,1435865428.000000,1435865428.000000,,1435865428.000000
