Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Beban Usaha",Penerimaan Penghasilan Keuangan,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penjualan Aset Hak Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Penerimaan Piutang Pihak Berelasi,Pembayaran Piutang Pihak Berelasi,Kenaikan (Penurunan) Piutang Pihak Berelasi,Penerimaan (Penurunan) Piutang Pemegang Saham,Kenaikan (Penurunan) Utang Pemegang Saham,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Utang Pembiayaan,Pembayaran Utang Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Peningkatan Modal Saham,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,1274130948.000000,16121069605.000000,-14309585417.000000,35429805.000000,-364630569.000000,-208152476.000000,1274130948.000000,-7036083699.000000,-7036083699.000000,,,-7036083699.000000,3698541353.000000,730000000.000000,-161264200.000000,392094772.000000,-106646814.000000,,,,4850000000.000000,-3309864627.000000,1700000000.000000,-91903205.000000,-303874573.000000,,,3698541353.000000,-2063411398.000000,2519879714.000000,456468316.000000
12M 2021,2084678271.000000,17124871461.000000,-14137595479.000000,8789077.000000,-739573048.000000,-171813740.000000,2084678271.000000,-2673441535.000000,-2673441535.000000,,,-2673441535.000000,704845853.000000,570069008.000000,-2645000000.000000,80926351.000000,-31564872.000000,,,,15978474606.000000,-12448650391.000000,,-588862105.000000,-210546744.000000,,,704845853.000000,116082589.000000,456468317.000000,572550906.000000
12M 2022,-133613535799.000000,5440187924.000000,-137886945942.000000,116654212.000000,-1061440801.000000,-221991192.000000,-133613535799.000000,642250000.000000,-3067750000.000000,2960000000.000000,750000000.000000,642250000.000000,147562082856.000000,,7972618430.000000,-1382556407.000000,,,,,,-279051924.000000,,1117061594.000000,-481643279.000000,15000000000.000000,125615654442.000000,147562082856.000000,14590797057.000000,572550906.000000,15163347963.000000
12M 2023,-11697934905.000000,85010926657.000000,-95786656558.000000,218682521.000000,-660540326.000000,-480347199.000000,-11697934905.000000,-524700000.000000,-524700000.000000,,,-524700000.000000,-950839349.000000,,,,,1833333330.000000,,,,-221117732.000000,,-2570638572.000000,,,7583625.000000,-950839349.000000,-13173474254.000000,15163347963.000000,1989873709.000000
12M 2024,1853212328.000000,37394548157.000000,-34176248395.000000,3255023.000000,-593391990.000000,-774950467.000000,1853212328.000000,-777502568.000000,-994502568.000000,217000000.000000,,-777502568.000000,-1440210134.000000,,,,,,,,,-296297672.000000,,-1147407712.000000,,,3495250.000000,-1440210134.000000,-364500374.000000,1989873709.000000,1625373335.000000
