Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2020,,,,,,,,,,,,,-92.84,,0.97
12M 2021,39.41,66.79,56.74,49.46,9.26,,5.46,,0.8,,0.58,,-56.88,,0.96
12M 2022,28.23,43.18,232.64,-161.23,12.93,,8.45,,1.04,,0.19,,0.14,,6.54
12M 2023,7.98,302.89,48.24,262.63,45.73,,1.21,,4.07,,0.41,,0.51,,21.0
12M 2024,26.55,1617.47,10.23,1633.79,13.75,,0.23,,2.02,,0.2,,0.23,,26.39
