Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,24837.60,0.00,0.00,,0.27%,1.20%,3.08%,0.92
12M 2021,0.00 B,1014.57,0.00,0.00,,0.01%,0.05%,2.01%,0.60
12M 2022,4.02 B,0.36,275.00,19.01,,0.74%,0.87%,2.18%,1.96
12M 2023,4.02 B,0.49,20.41,0.52,,1.11%,1.16%,1.82%,4.36
12M 2024,4.02 B,0.35,28.57,1.13,,0.80%,0.83%,1.48%,3.66
