Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak,Pembayaran Beban Bunga,Pembayaran Beban Usaha,Penerimaan Bunga,Penerimaan (Pembayaran) Kas Atas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penerimaan Pengembalian Uang Muka Perolehan Aset Tetap,Penerimaan Uang Muka Atas Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Pengembalian Uang Jaminan,Pembayaran Uang Jaminan,Pemberian Pinjaman Kepada Pihak Berelasi,Pengembalian Pinjaman Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank,Penerimaan Utang Bank,Penerimaan Utang Pihak Berelasi,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Penerimaan (Pembayaran) Liabilitas Sewa,Penerimaan Dari Penawaran Umum Saham Perdana,Penerimaan Dari Pelaksanaan Waran,Pembayaran Biaya Emisi Saham,Utang Pemegang Saham,Tambahan Modal Disetor,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,3982738514.000000,26421144071.000000,-17869517195.000000,-3180200810.000000,-1034323951.000000,-596309476.000000,,204266688.000000,37679187.000000,3982738514.000000,-3371960000.000000,,164687500.000000,-686647500.000000,,,,,,-2850000000.000000,,-3371960000.000000,3482242575.000000,-1517757425.000000,5000000000.000000,,,,,,,,,,,3482242575.000000,4087211439.000000,975343059.000000,5062554498.000000
12M 2018,481485734.000000,20567152968.000000,-14270686586.000000,-3790254389.000000,-431075668.000000,-1974467617.000000,,301429431.000000,79387595.000000,481485734.000000,-8751354606.000000,,84090625.000000,-10785445231.000000,,,,,,,1950000000.000000,-8751354606.000000,4471523212.000000,-2080976788.000000,7000000000.000000,,,,,,,,,,-447500000.000000,4471523212.000000,-3798345660.000000,5062554498.000000,1264208838.000000
12M 2019,-95355533.000000,18882209989.000000,-10840999842.000000,-4068553154.000000,-829582521.000000,-3263481425.000000,,10466927.000000,14584493.000000,-95355533.000000,745454545.000000,-5000000.000000,3000000.000000,-152545455.000000,,,,,,,900000000.000000,745454545.000000,832018547.000000,-13093231453.000000,7250000000.000000,6675250000.000000,,,,,,,,,,832018547.000000,1482117559.000000,1264208838.000000,2746326397.000000
12M 2020,-2726665613.000000,16944895603.000000,-13583777173.000000,-3195282475.000000,-1374518608.000000,-1554752412.000000,,2740991.000000,34028461.000000,-2726665613.000000,4126720358.000000,,880650000.000000,-1738929642.000000,,5000000000.000000,,,-15000000.000000,,,4126720358.000000,-3528207733.000000,-7002297375.000000,1000000000.000000,1100000000.000000,216160000.000000,,1157929642.000000,,,,,,,-3528207733.000000,-2236951725.000000,2746326397.000000,509374672.000000
12M 2021,-5596880069.000000,15673469402.000000,-16333307415.000000,-3689427427.000000,-304356143.000000,-765823044.000000,,23473324.000000,-200908766.000000,-5596880069.000000,2689252434.000000,-25244025000.000000,30500000000.000000,-20021824986.000000,17455102420.000000,,,,,,,2689252434.000000,12326478214.000000,-892857144.000000,,-7775250000.000000,,,-1157929642.000000,25000015000.000000,,-2847500000.000000,,,,12326478214.000000,9311489316.000000,509374673.000000,9820863989.000000
12M 2022,-2421994105.000000,13532540090.000000,-10386519821.000000,-4979564434.000000,-155186341.000000,-449264281.000000,,12888390.000000,3112292.000000,-2421994105.000000,-7877395212.000000,-4930000000.000000,5112500.000000,-2966257712.000000,,,,15000000.000000,-1250000.000000,,,-7877395212.000000,805185606.000000,-892857144.000000,,,,,,,1698042750.000000,,,,,805185606.000000,-9494203711.000000,9820863989.000000,326660278.000000
12M 2023,910808618.000000,15191379942.000000,-8462940600.000000,-4640359668.000000,-835741010.000000,-364360579.000000,,3000000.000000,19830533.000000,910808618.000000,-136739906.000000,,-58906250.000000,-10328633656.000000,10250000000.000000,,,800000.000000,,,,-136739906.000000,-892834644.000000,-892857144.000000,,,,,,,22500.000000,,,,,-892834644.000000,-118765932.000000,326660278.000000,207894346.000000
12M 2024,-16607573900.000000,17608105903.000000,-20811872207.000000,-7252458940.000000,-82378257.000000,-640962468.000000,-5434592634.000000,9838141.000000,-3253438.000000,-16607573900.000000,-1225135275.000000,,,-1125804275.000000,,,-79305000.000000,-20026000.000000,,,,-1225135275.000000,23369445571.000000,-892857129.000000,,,,,,,13812302700.000000,,10450000000.000000,,,23369445571.000000,5536736396.000000,207894346.000000,5744630742.000000
