Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,22814910907.000000,-11823942970.000000,10990967937.000000,-8453891467.000000,-1503504653.000000,-6950386814.000000,-8453891467.000000,2537076470.000000,-267363603.000000,37886802.000000,87000000.000000,-596309476.000000,204059071.000000,-267363603.000000,2269712867.000000,-434512959.000000,-844614092.000000,410101133.000000,-434512959.000000,1835199908.000000,,1835199908.000000,1835199908.000000,1835199908.000000,,1835199908.000000,1835199908.000000,1835199908.000000,,1835199908.000000
12M 2018,22945390128.000000,-10396633599.000000,12548756529.000000,-7669129399.000000,-1336071826.000000,-6333057573.000000,-7669129399.000000,4879627130.000000,-1519531841.000000,79191710.000000,74118750.000000,-1974467617.000000,301625316.000000,-1519531841.000000,3360095289.000000,-818166707.000000,-880819937.000000,62653230.000000,-818166707.000000,2541928582.000000,84952500.000000,2626881082.000000,2541928582.000000,2541928582.000000,,2541928582.000000,2626881082.000000,2626881082.000000,,2626881082.000000
12M 2019,20296021233.000000,-5953589360.000000,14342431873.000000,-7804743315.000000,-1283476804.000000,-6521266511.000000,-7804743315.000000,6537688558.000000,-3235430006.000000,13866285.000000,3000000.000000,-3263481425.000000,11185134.000000,-3235430006.000000,3302258552.000000,-780365137.000000,-798527290.000000,18162153.000000,-780365137.000000,2521893415.000000,-33016500.000000,2488876915.000000,2521893415.000000,2521893415.000000,,2521893415.000000,2488876915.000000,2488876915.000000,,2488876915.000000
12M 2020,13840169706.000000,-8996838650.000000,4843331056.000000,-7836842545.000000,-859631765.000000,-6977210780.000000,-7836842545.000000,-2993511489.000000,-1225935295.000000,34049983.000000,292047665.000000,-1554752412.000000,2719469.000000,-1225935295.000000,-4219446784.000000,864998316.000000,,864998316.000000,864998316.000000,-3354448468.000000,-299626860.000000,-3654075328.000000,-3354448468.000000,-3354448468.000000,,-3354448468.000000,-3654075328.000000,-3654075328.000000,,-3654075328.000000
12M 2021,9460381085.000000,-7356618727.000000,2103762358.000000,-12379746689.000000,-1012786350.000000,-11366960339.000000,-12379746689.000000,-10275984331.000000,26794866796.000000,-197926641.000000,27738125282.000000,-765823044.000000,20491199.000000,26794866796.000000,16518882465.000000,2794152082.000000,,2794152082.000000,2794152082.000000,19313034547.000000,278533320.000000,19591567867.000000,19313034547.000000,19313034547.000000,,19313034547.000000,19591567867.000000,19591567867.000000,,19591567867.000000
12M 2022,15642947889.000000,-12616198070.000000,3026749819.000000,-8459803050.000000,-1693823725.000000,-6765979325.000000,-8459803050.000000,-5433053231.000000,-424498258.000000,-83392703.000000,5112500.000000,-449264281.000000,103046226.000000,-424498258.000000,-5857551489.000000,1312835811.000000,,1312835811.000000,1312835811.000000,-4544715678.000000,96734325.000000,-4447981353.000000,-4544715678.000000,-4544715678.000000,,-4544715678.000000,-4447981353.000000,-4447981353.000000,,-4447981353.000000
12M 2023,11110830399.000000,-9244607576.000000,1866222823.000000,-7573338453.000000,-1503988022.000000,-6069350431.000000,-7573338453.000000,-5707115630.000000,866991411.000000,,,,,866991411.000000,-4840124219.000000,901344283.000000,,901344283.000000,901344283.000000,-3938779936.000000,,-3938779936.000000,-3938779936.000000,-3938779936.000000,,-3938779936.000000,-3938779936.000000,-3938779936.000000,,-3938779936.000000
12M 2024,21620176330.000000,-19723166550.000000,1897009780.000000,-12369680957.000000,-748479836.000000,-11621201121.000000,-12369680957.000000,-10472671177.000000,-632751046.000000,,,,,-632751046.000000,-11105422223.000000,2385967487.000000,,2385967487.000000,2385967487.000000,-8719454736.000000,-22771503.000000,-8742226239.000000,-8719454737.000000,-8719454737.000000,,-8719454737.000000,-8742266240.000000,-8742266240.000000,,-8742266240.000000
