Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pihak Berelasi,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Derivatif,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,75462135621.000000,14503260354.000000,3855469462.000000,2867462362.000000,988007100.000000,3855469462.000000,268742350356.000000,152719239757.000000,515282455550.000000,,33621440056.000000,670979920094.000000,,274121263336.000000,978722623486.000000,1494005079036.000000,,,609105198309.000000,146967236261.000000,,5556722000.000000,131687432586.000000,137244154586.000000,,116278670.000000,35770181669.000000,35886460339.000000,148725387453.000000,23688022826.000000,55981249724.000000,,54378902124.000000,6233784996.000000,,,60612687120.000000,,609105198309.000000,515203722774.000000,,219096082013.000000,7357489177.000000,,226453571190.000000,,288750151584.000000,515203722774.000000,1124308921083.000000,,241750000000.000000,,174996527703.000000,1150000000.000000,173846527703.000000,174996527703.000000,-47050369750.000000,369696157953.000000,1494005079036.000000,2417500000.000000
12M 2018,,,324193391264.000000,13701790745.000000,3421526125.000000,1994225111.000000,1427301014.000000,3421526125.000000,303899148962.000000,171832534843.000000,817048391939.000000,,21914966554.000000,859209019974.000000,,332014580509.000000,1213138567037.000000,2030186958976.000000,,,484763053420.000000,20000000000.000000,,5387873680.000000,138036800758.000000,143424674438.000000,,36316540.000000,43958440219.000000,43994756759.000000,154679020751.000000,,55408008577.000000,,60464889133.000000,6791703762.000000,,,67256592895.000000,,484763053420.000000,332848606510.000000,,58171331351.000000,598837375.000000,,58770168726.000000,,274078437784.000000,332848606510.000000,817611659930.000000,,302187500000.000000,581375000000.000000,348092288268.000000,1150000000.000000,346942288268.000000,348092288268.000000,-19079489222.000000,1212575299046.000000,2030186958976.000000,3021875000.000000
12M 2019,,,110416915659.000000,16306264637.000000,5897049172.000000,4668992257.000000,1228056915.000000,5897049172.000000,273118615445.000000,208891515620.000000,614630360533.000000,,15041587449.000000,1106612468319.000000,,372887492737.000000,1494541548505.000000,2109171909038.000000,,,466116313687.000000,,,5012318700.000000,131921094163.000000,136933412863.000000,,451736452.000000,33053065585.000000,33504802037.000000,186045139006.000000,,62603102161.000000,,42905514133.000000,596733612.000000,,,43502247745.000000,3527609875.000000,466116313687.000000,303180161011.000000,,15265817207.000000,,,15265817207.000000,,287914343804.000000,303180161011.000000,769296474698.000000,,302187500000.000000,581375000000.000000,461565112718.000000,1650000000.000000,459915112718.000000,461565112718.000000,-5252178378.000000,1339875434340.000000,2109171909038.000000,3021875000.000000
12M 2020,,,60699267302.000000,19436436828.000000,11979576306.000000,2179789524.000000,9799786782.000000,11979576306.000000,253106714599.000000,55138866076.000000,400360861111.000000,,12360673018.000000,1223722359475.000000,,594822444851.000000,1830905477344.000000,2231266338455.000000,,,481250468179.000000,99311976059.000000,,4070208000.000000,96490012168.000000,100560220168.000000,,972608883.000000,32761308165.000000,33733917048.000000,109948199401.000000,,39576900227.000000,,7964889144.000000,,,65877723502.000000,73842612646.000000,24276642630.000000,481250468179.000000,599648060157.000000,,235703732381.000000,,69871994779.000000,305575727160.000000,,294072332997.000000,599648060157.000000,1080898528336.000000,,302187500000.000000,581375000000.000000,278023547094.000000,2350000000.000000,275673547094.000000,278023547094.000000,-11218236975.000000,1150367810119.000000,2231266338455.000000,3021875000.000000
12M 2021,,,98937536480.000000,24074696541.000000,2903623386.000000,26271945.000000,2877351441.000000,2903623386.000000,247177234481.000000,68968564388.000000,442061655276.000000,,19851887893.000000,1201403782052.000000,,552327816591.000000,1773583486536.000000,2215645141812.000000,,,474684982680.000000,43213535390.000000,,5596463200.000000,113649886328.000000,119246349528.000000,,,46019920665.000000,46019920665.000000,149301389111.000000,,45815053095.000000,,24744434932.000000,,,43563938087.000000,68308373019.000000,2780361872.000000,474684982680.000000,575617184396.000000,,282556448174.000000,,44441223092.000000,326997671266.000000,,248619513130.000000,575617184396.000000,1050302167076.000000,,302187500000.000000,581375000000.000000,272793372533.000000,2350000000.000000,270443372533.000000,272793372533.000000,8987102203.000000,1165342974736.000000,2215645141812.000000,3021875000.000000
12M 2022,,,54698521474.000000,36509460308.000000,3225312180.000000,141525.000000,3225170655.000000,3225312180.000000,313650133536.000000,53718905338.000000,461802332836.000000,,,1298379413782.000000,55144038859.000000,694272698341.000000,2047796150982.000000,2509598483818.000000,,,757912011292.000000,258738766010.000000,,7516836900.000000,133151938713.000000,140668775613.000000,,47314000.000000,48903816444.000000,48951130444.000000,151486379093.000000,,47734971310.000000,,62500000000.000000,,,42066050426.000000,104566050426.000000,5765938396.000000,757912011292.000000,578765269148.000000,,365018020562.000000,,59248021990.000000,424266042552.000000,2678452517.000000,151820774079.000000,578765269148.000000,1336677280440.000000,,302187500000.000000,581375000000.000000,257056177264.000000,2850000000.000000,254206177264.000000,257056177264.000000,32302526114.000000,1172921203378.000000,2509598483818.000000,3021875000.000000
12M 2023,,,51019828560.000000,26050854936.000000,2030583737.000000,1058663.000000,2029525074.000000,2030583737.000000,265024870048.000000,47014089211.000000,391140226492.000000,,125296130.000000,1243800716424.000000,44426145407.000000,668000865343.000000,1956353023304.000000,2347493249796.000000,,,638343012994.000000,197339577803.000000,,4383870780.000000,96800139100.000000,101184009880.000000,,,44078146762.000000,44078146762.000000,115569936331.000000,,34148193979.000000,,90000000000.000000,,,47843608881.000000,137843608881.000000,8179539358.000000,638343012994.000000,632874213104.000000,,383749999999.000000,,79150108732.000000,462900108731.000000,,169974104373.000000,632874213104.000000,1271217226098.000000,,302187500000.000000,581375000000.000000,160831349981.000000,2850000000.000000,157981349981.000000,160831349981.000000,31882173717.000000,1076276023698.000000,2347493249796.000000,3021875000.000000
12M 2024,,,63212779846.000000,23478981107.000000,1753257092.000000,,1753257092.000000,1753257092.000000,213816480054.000000,47412360694.000000,349673858793.000000,,20735783178.000000,1086583233180.000000,43326261373.000000,635351901413.000000,1785997179144.000000,2135671037937.000000,,,627244508748.000000,86358610596.000000,,4913023400.000000,103454749161.000000,108367772561.000000,,,42100565795.000000,42100565795.000000,161959378695.000000,,38197365300.000000,,115000000062.000000,,,63113609605.000000,178113609667.000000,12147206134.000000,627244508748.000000,489843074083.000000,,261249999937.000000,,70526242824.000000,331776242761.000000,,158066831322.000000,489843074083.000000,1117087582831.000000,,302187500000.000000,581375000000.000000,87996227175.000000,2850000000.000000,85146227175.000000,87996227175.000000,47024727931.000000,1018583455106.000000,2135671037937.000000,3021875000.000000
