Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Untuk:,Pemasok,Jasa Konsultasi,Beban Usaha Lainnya,"Gaji, Upah Dan Tunjangan Lainnya",Iklan Dan Promosi,Perjalanan,Beban Pemeliharaan Dan Perbaikan,Total Pembayaran Kas Untuk:,Penerimaan Bunga,Pembayaran Bunga,(Pembayaran) Penerimaan Pajak,Pembayaran Lain-Lain,Penerimaan Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penerimaan Dividen Dari Entitas Asosiasi,Perolehan Aset Tetap,(Penempatan) Pencairan Investasi Jangka Pendek,Penerimaan (Penempatan) Surat Berharga,Hasil Penjualan Investasi Saham,Pembayaran Dividen,Penerimaan Dividen,Perolehan Investasi,Perolehan Properti Investasi,Perolehan Aset Sewa Pembiayaan,Penerimaan Bunga,Pembayaran Bunga Sewa Pembiayaan,Penurunan Aset Tetap,Penambahan Aset Tidak Berwujud,Uang Muka Yang Diberikan Ke Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,(Pelunasan) Penambahan Piutang Pihak Berelasi,Kenaikan Atas Hutang Sewa Pembiayaan,Penerimaan Deviden,Pembayaran Dividen,Penerimaan Piutang Lain-Lain Pihak Ketiga,Kenaikan Utang Pihak Berelasi,Kenaikan Investasi Pada Entitas Asosiasi,Pembayaran Atas Hutang Sewa Pembiayaan,Pembayaran Deviden,Pembayaran Bungan Pinjaman Dan Provisi,Penerimaan Pinjaman Bank,Kenaikan Utang Bank,Pembayaran Utang Bank,Penerimaan Wesel Tagih,Pelepasan Kepentingan Terhadap Entitas Anak Kepada Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-26309108075.000000,59967009402.000000,,-69698107939.000000,-1301242475.000000,,-6851622486.000000,-687821200.000000,-1021416350.000000,-1353184409.000000,-80913394859.000000,1639670582.000000,,-9499376355.000000,,2496983155.000000,,-26309108075.000000,-14068415220.000000,77000000.000000,,-145415220.000000,,-14000000000.000000,,,,,,,,,,,,-14068415220.000000,-3600000000.000000,,,,,,,,,,,,,-3600000000.000000,,,-3600000000.000000,-43977523295.000000,,64371316284.000000,20393792989.000000
12M 2009,1227655269.000000,56825164329.000000,,-47759993567.000000,-1301242475.000000,,-6851622486.000000,-687821200.000000,-1021416350.000000,-1353184409.000000,-58975280487.000000,2887230366.000000,,1496799816.000000,-1006258755.000000,,,1227655269.000000,-23600000.000000,,,-23600000.000000,,,,,,,,,,,,,,-23600000.000000,-3600000000.000000,,,,,,,,,,,,,-3600000000.000000,,,-3600000000.000000,-2395944731.000000,,20393792989.000000,17997848258.000000
12M 2010,18375198099.000000,55865299101.000000,,-23865277819.000000,,-4475034775.000000,-8243146412.000000,,,,-36583459006.000000,1810541131.000000,,-3844571277.000000,,1127388150.000000,,18375198099.000000,4845546408.000000,146000000.000000,,-1300453592.000000,6000000000.000000,,,,,,,,,,,,,4845546408.000000,-3300000000.000000,,,,,,,,,,,,,-3300000000.000000,,,-3300000000.000000,19920744507.000000,812097004.000000,17997848258.000000,38730689769.000000
12M 2011,4337681132.000000,63428164409.000000,,-36278738798.000000,,-11175860473.000000,-9319068753.000000,,,,-56773668024.000000,1883981522.000000,,-4821022738.000000,,620225963.000000,,4337681132.000000,-3023204879.000000,32000000.000000,,-1055204879.000000,-2000000000.000000,,,,,,,,,,,,,-3023204879.000000,-3637062687.000000,262937313.000000,,,,,,,,,,,,-3900000000.000000,,,-3637062687.000000,-2322586434.000000,99056913.000000,38730689769.000000,36507160248.000000
12M 2012,6624356960.000000,65707342276.000000,,-38118293043.000000,,-6216472544.000000,-11903860752.000000,,,,-56238626339.000000,1803248752.000000,-1451665514.000000,-4705105487.000000,,1509163272.000000,,6624356960.000000,3040977892.000000,100000000.000000,,-2059022108.000000,10000000000.000000,,,,,,,,,,,,-5000000000.000000,3040977892.000000,2435701244.000000,-415964268.000000,,,,5000000000.000000,,,,,,,,-2148334488.000000,,,2435701244.000000,12101036096.000000,528534806.000000,36507160248.000000,49136731150.000000
12M 2013,-7926543671.000000,79803542227.000000,,-58091761880.000000,,-8885445964.000000,-15269987545.000000,,,,-82247195389.000000,895973040.000000,-300000000.000000,-6333840149.000000,,254976600.000000,,-7926543671.000000,4247559849.000000,,,-752440151.000000,,,,,,,,,,,,,5000000000.000000,4247559849.000000,726564530.000000,726564530.000000,,,,,,,,,,,,,,,726564530.000000,-2952419292.000000,5717123150.000000,49136731150.000000,51901435008.000000
12M 2014,-19166579997.000000,66965458248.000000,,-63340146746.000000,,-5784632175.000000,-15961944772.000000,,,,-85086723693.000000,573985755.000000,,-2097716216.000000,,,478415909.000000,-19166579997.000000,-670812000.000000,,,-670812000.000000,,,,,,,,,,,,,,-670812000.000000,-24296374882.000000,723600118.000000,,,,,-19975000.000000,-25000000000.000000,,,,,,,,,-24296374882.000000,-44133766879.000000,49620248.000000,51901435008.000000,7817288377.000000
12M 2015,46282975488.000000,77807897020.000000,,-41760952789.000000,,-6463969839.000000,-28725551234.000000,,,,-76950473862.000000,518369408.000000,,-1899305674.000000,,46806488596.000000,,46282975488.000000,-80813088338.000000,,,-67428445539.000000,,-15000000000.000000,,,3041550001.000000,,,,,,,-1426192800.000000,,-80813088338.000000,82722546484.000000,-4063778265.000000,20114400000.000000,,,,104098003278.000000,-28000000000.000000,,,-9426078529.000000,,,,,,82722546484.000000,48192433634.000000,21322391.000000,7817288377.000000,56031044402.000000
12M 2016,-17348531716.000000,142086619381.000000,,-98820193230.000000,,-9386634882.000000,-59888842921.000000,,,,-168095671033.000000,491400455.000000,,8660821911.000000,,-491702430.000000,,-17348531716.000000,-88490524265.000000,73467386.000000,,-85097560859.000000,,-500000000.000000,,,,,,,,,,-2966430792.000000,,-88490524265.000000,140297314754.000000,-7653749686.000000,,,,,52139819794.000000,,-20108990163.000000,,-33424867202.000000,149345102011.000000,,,,,140297314754.000000,34458258773.000000,536187502.000000,56031044402.000000,91025490677.000000
12M 2017,-3669565549.000000,98841536090.000000,,-60513471120.000000,,,-17217950032.000000,,,,-77731421152.000000,,-8481352920.000000,-2934285318.000000,-13364042249.000000,,,-3669565549.000000,7671784910.000000,292500000.000000,,-1596865087.000000,,,,,8976149997.000000,,,,,,,,,7671784910.000000,-63897890666.000000,-191927557121.000000,,,,,,,,,,,,-37235194709.000000,15500000000.000000,149764861164.000000,-63897890666.000000,-59895671305.000000,43893360.000000,91025490677.000000,31173712732.000000
