Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Investasi Jangka Pendek,Pihak Berelasi,Pihak Ketiga,Total Investasi Jangka Pendek,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Utang Pembiayaan,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pajak,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,20393792989.000000,501162410.000000,19892630579.000000,20393792989.000000,14000000000.000000,14000000000.000000,,14000000000.000000,10671860289.000000,3351352448.000000,2786550000.000000,564802448.000000,3351352448.000000,72229306545.000000,6043145538.000000,126689457809.000000,,909280321.000000,1497713615.000000,,1378301797.000000,,,52465117682.000000,56250413415.000000,182939871224.000000,,,97360910078.000000,20623245440.000000,,40179185400.000000,11478809844.000000,51657995244.000000,,972920600.000000,1836854559.000000,2809775159.000000,21584744745.000000,,,21584744745.000000,,,,,654996589.000000,,30152901.000000,97360910078.000000,2925937000.000000,,,,,2925937000.000000,2925937000.000000,100286847078.000000,,10625000000.000000,60237500000.000000,-34095296955.000000,,,-34095296955.000000,49850000.000000,,45835971101.000000,82653024146.000000,182939871224.000000,21250000.000000
12M 2009,,,17997848258.000000,530328000.000000,17467520258.000000,17997848258.000000,14000000000.000000,14000000000.000000,,14000000000.000000,11930845866.000000,24349027319.000000,151200000.000000,24197827319.000000,24349027319.000000,24538069986.000000,2188489987.000000,95004281416.000000,,1123206551.000000,1893197620.000000,,711290210.000000,,,39177684141.000000,42905378522.000000,137909659938.000000,,,41850603263.000000,14422290750.000000,,,4724972282.000000,4724972282.000000,,,2129979559.000000,2129979559.000000,19507612269.000000,,,19507612269.000000,,,,,1039744778.000000,,26003625.000000,41850603263.000000,3245131000.000000,,,,,3245131000.000000,3245131000.000000,45095734263.000000,,10625000000.000000,60237500000.000000,-23884545426.000000,,,-23884545426.000000,,,45835971101.000000,92813925675.000000,137909659938.000000,21250000.000000
12M 2010,,,38730689769.000000,,,38730689769.000000,8000000000.000000,8000000000.000000,,8000000000.000000,15561673379.000000,9861464560.000000,,9861464560.000000,9861464560.000000,27453118876.000000,1567791777.000000,101174738361.000000,,1184249286.000000,4891696338.000000,35132961051.000000,1666705301.000000,,,6886816695.000000,49762428671.000000,150937167032.000000,,,40203320053.000000,10534453637.000000,,,6956114653.000000,6956114653.000000,,120000.000000,1844894560.000000,1845014560.000000,19199775271.000000,,,19199775271.000000,,,,,1641958307.000000,,26003625.000000,40203320053.000000,3797486000.000000,,,,,3797486000.000000,3797486000.000000,44000806053.000000,,10625000000.000000,60237500000.000000,-9762110122.000000,,,-9762110122.000000,,,45835971101.000000,106936360979.000000,150937167032.000000,21250000.000000
12M 2011,,,36507160248.000000,,,36507160248.000000,10000000000.000000,10000000000.000000,,10000000000.000000,15098998318.000000,10089497103.000000,,10089497103.000000,10089497103.000000,24924985092.000000,5033364869.000000,101654005630.000000,,1770948197.000000,5048032757.000000,39853092785.000000,2390594594.000000,,,6654792289.000000,55717460622.000000,157371466252.000000,,,34628303463.000000,6609762409.000000,,,4548978637.000000,4548978637.000000,,,1844894560.000000,1844894560.000000,19717141148.000000,,,19717141148.000000,,,,,1881523084.000000,,26003625.000000,34628303463.000000,4487398000.000000,,,,,4487398000.000000,4487398000.000000,39115701463.000000,,10625000000.000000,60237500000.000000,1557293688.000000,,,1557293688.000000,,,45835971101.000000,118255764789.000000,157371466252.000000,21250000.000000
12M 2012,,,49136731150.000000,,,49136731150.000000,,,,,18124176465.000000,100094069.000000,,100094069.000000,100094069.000000,26665573944.000000,1762492735.000000,95789068363.000000,,2841418178.000000,8229729205.000000,48898065566.000000,5648252931.000000,5496693750.000000,,5365600000.000000,76479759630.000000,172268827993.000000,,,32995214492.000000,4796051367.000000,,,6888295688.000000,6888295688.000000,,,,,20152232761.000000,,,20152232761.000000,,,,,1132631051.000000,,26003625.000000,32995214492.000000,4418000000.000000,,,,,4418000000.000000,4418000000.000000,37413214492.000000,,10625000000.000000,60237500000.000000,18157142400.000000,,,18157142400.000000,,,45835971101.000000,134855613501.000000,172268827993.000000,21250000.000000
12M 2013,,,51901435008.000000,,,51901435008.000000,,,,,15566376186.000000,236048810.000000,,236048810.000000,236048810.000000,46082485435.000000,3797584559.000000,117583929998.000000,,3104942302.000000,7834318913.000000,56230154960.000000,5634725301.000000,5496693750.000000,,506051000.000000,78806886226.000000,196390816224.000000,,,47334458367.000000,6045405390.000000,,,13827632283.000000,13827632283.000000,,,,,26783382027.000000,,,26783382027.000000,,,,,652035042.000000,,26003625.000000,47334458367.000000,5645748000.000000,,,,,5645748000.000000,5645748000.000000,52980206367.000000,,10625000000.000000,54495834748.000000,26712138756.000000,,,26712138756.000000,,,51577636353.000000,143410609857.000000,196390816224.000000,21250000.000000
12M 2014,,,7817288377.000000,,,7817288377.000000,,,,,18762929663.000000,922212539.000000,,922212539.000000,922212539.000000,53259970197.000000,4119847950.000000,84882248726.000000,,3363661069.000000,5367229419.000000,80564678985.000000,5536585377.000000,5496693749.000000,,384651000.000000,100713499599.000000,185595748325.000000,,,39239103933.000000,6169894417.000000,,,3848476760.000000,3848476760.000000,,19975000.000000,9997000.000000,29972000.000000,27455510321.000000,,,27455510321.000000,,,,,1709246810.000000,,26003625.000000,39239103933.000000,7076683000.000000,,,,,7076683000.000000,7076683000.000000,46315786933.000000,,10625000000.000000,54495834748.000000,22581490291.000000,,,22581490291.000000,,,51577636353.000000,139279961392.000000,185595748325.000000,21250000.000000
12M 2015,,,56031044402.000000,,,56031044402.000000,,,,,19097955832.000000,74721544.000000,,74721544.000000,74721544.000000,39606789768.000000,27765894550.000000,142576406096.000000,,11599799037.000000,3562555501.000000,87321672128.000000,69344314572.000000,5496693749.000000,1365466750.000000,2787877450.000000,181478379187.000000,324054785283.000000,,,180556111049.000000,6841936775.000000,,,8425207333.000000,8425207333.000000,,96282407171.000000,16802806383.000000,113085213554.000000,,36080107986.000000,745985134.000000,36826093120.000000,,,4062931968.000000,4062931968.000000,10935973174.000000,,378755125.000000,180556111049.000000,27007960032.000000,,16051468032.000000,,16051468032.000000,10956492000.000000,27007960032.000000,207564071081.000000,,10625000000.000000,54495834748.000000,3214040182.000000,,,3214040182.000000,-2048376831.000000,,50204216103.000000,116490714202.000000,324054785283.000000,21250000.000000
12M 2016,,,91025490677.000000,,,91025490677.000000,,,,,20211708795.000000,4450261742.000000,2724085879.000000,1726175863.000000,4450261742.000000,40987802787.000000,30378075565.000000,187053339566.000000,,35616974243.000000,2003737788.000000,102984723584.000000,136748543809.000000,5496693749.000000,3699004740.000000,4235288777.000000,290784966690.000000,477838306256.000000,,,259411514985.000000,6663882747.000000,,,23373233353.000000,23373233353.000000,,141957226969.000000,26379321760.000000,168336548729.000000,40581191428.000000,,2750716034.000000,40581191428.000000,,,,,18624395291.000000,,1832263437.000000,259411514985.000000,164081054848.000000,,5409837.000000,149345102011.000000,149350511848.000000,14730543000.000000,164081054848.000000,423492569833.000000,,10625000000.000000,54495834748.000000,-47664084439.000000,,,-47664084439.000000,-15207712023.000000,,49345982103.000000,51595020389.000000,475087590222.000000,21250000.000000
12M 2017,,,31173712687.000000,,,31173712687.000000,,,,,24170705935.000000,35152679920.000000,34779479920.000000,373200000.000000,35152679920.000000,39845465230.000000,3128233650.000000,133470797422.000000,,8949351060.000000,22834480399.000000,91451847157.000000,5603518132.000000,5496693750.000000,,309810410.000000,134645700908.000000,268116498330.000000,,,25635299203.000000,,,,14686126311.000000,14686126311.000000,,330227920.000000,36003625.000000,366231545.000000,8923947785.000000,,,8923947785.000000,,,126532456.000000,126532456.000000,1532461106.000000,,,25635299203.000000,11019366544.000000,,138667544.000000,,138667544.000000,10880699000.000000,11019366544.000000,36654665747.000000,,10625000000.000000,60237500000.000000,144313619012.000000,,,144313619012.000000,,,16285713571.000000,231461832583.000000,268116498330.000000,106250000.000000
12M 2018,,,60458218872.000000,,,60458218872.000000,,,,,23454699528.000000,2449501745.000000,2076301745.000000,373200000.000000,2449501745.000000,48251547358.000000,2964781139.000000,137578748642.000000,,8913207826.000000,765466470.000000,143519480271.000000,5010991451.000000,5496693750.000000,,311860408.000000,164017700176.000000,301596448818.000000,,,17360517147.000000,,,,13141267964.000000,13141267964.000000,,,,,3202222048.000000,,,3202222048.000000,,,138667546.000000,138667546.000000,878359589.000000,,,17360517147.000000,10665524000.000000,,,,,10665524000.000000,10665524000.000000,28026041147.000000,,10625000000.000000,60237500000.000000,177272193010.000000,,,177272193010.000000,7797254590.000000,,17638460071.000000,273570407671.000000,301596448818.000000,106250000.000000
12M 2019,,,79637832199.000000,,,79637832199.000000,,,,,23629312970.000000,2639013071.000000,2259318061.000000,379695010.000000,2639013071.000000,32088139948.000000,2621111708.000000,140615409896.000000,,8111443404.000000,733050000.000000,164670155852.000000,4934489419.000000,5496693750.000000,,354960408.000000,184300792833.000000,324916202729.000000,,,10782089367.000000,,,,7160566492.000000,7160566492.000000,,,,,2886235722.000000,,,2886235722.000000,,,,,735287153.000000,,,10782089367.000000,10835330000.000000,,,,,10835330000.000000,10835330000.000000,21617419367.000000,,10625000000.000000,60237500000.000000,207190792931.000000,,,207190792931.000000,7797174590.000000,,17448315841.000000,303298783362.000000,324916202729.000000,425000000.000000
12M 2020,,,97779892758.000000,,,97779892758.000000,,,,,27988292918.000000,605414376.000000,605414376.000000,,605414376.000000,23042603188.000000,2340991460.000000,151757194700.000000,,8079106461.000000,733050000.000000,167124076043.000000,4477922056.000000,5496693750.000000,,124350000.000000,186035198310.000000,337792393010.000000,,,16764338143.000000,,,,10295513698.000000,10295513698.000000,,,2680000.000000,2680000.000000,5102585697.000000,,,5102585697.000000,,,,,1363558748.000000,,,16764338143.000000,11064226000.000000,,,,,11064226000.000000,11064226000.000000,27828564143.000000,,10625000000.000000,60237500000.000000,213923351786.000000,,,213923351786.000000,7797094590.000000,,17380882491.000000,309963828867.000000,337792393010.000000,425000000.000000
12M 2021,,,45785308601.000000,,,45785308601.000000,,,,,29588994576.000000,1178632330.000000,1178632330.000000,,1178632330.000000,28118231892.000000,6386093087.000000,111057260486.000000,,8190035107.000000,733050000.000000,182543681857.000000,7656850652.000000,636693750.000000,,62500000.000000,199822811366.000000,310880071852.000000,,,15307172729.000000,,,,8328444138.000000,8328444138.000000,,127359370.000000,4525130.000000,131884500.000000,5950849856.000000,,,5950849856.000000,,,146919000.000000,146919000.000000,473142435.000000,,275932800.000000,15307172729.000000,11549522000.000000,,,,,11549522000.000000,11549522000.000000,26856694729.000000,,10625000000.000000,60237500000.000000,187606997915.000000,,,187606997915.000000,7797121257.000000,,17756757951.000000,284023377123.000000,310880071852.000000,425000000.000000
12M 2022,,,13626302964.000000,,,13626302964.000000,,,,,47772604236.000000,5777634082.000000,5777634082.000000,,5777634082.000000,61982744848.000000,3190956774.000000,132350242904.000000,,7863901173.000000,733050000.000000,188540679995.000000,7022071409.000000,636693750.000000,,296300000.000000,205092696327.000000,337442939231.000000,,,25505187892.000000,,,,18206548788.000000,18206548788.000000,,,202050000.000000,202050000.000000,5752483383.000000,,,5752483383.000000,,,,,1032796921.000000,,311308800.000000,25505187892.000000,7178187000.000000,,,,,7178187000.000000,7178187000.000000,32683374892.000000,,10625000000.000000,60237500000.000000,207905229821.000000,,,207905229821.000000,7797121257.000000,,18194713261.000000,304759564339.000000,337442939231.000000,425000000.000000
12M 2023,,,35393308445.000000,,,35393308445.000000,,,,,34383534765.000000,4860000000.000000,4860000000.000000,,4860000000.000000,59202576742.000000,1123884524.000000,134963304476.000000,,1875354897.000000,,194462070857.000000,6534652185.000000,2484553558.000000,,295100000.000000,205651731497.000000,340615035973.000000,,,15683739013.000000,,,,8698265840.000000,8698265840.000000,,,,,3813349476.000000,,,3813349476.000000,128267037.000000,,,,2697171860.000000,,346684800.000000,15683739013.000000,7268420000.000000,,,,,7268420000.000000,7268420000.000000,22952159013.000000,,10625000000.000000,60237500000.000000,220495743722.000000,600000000.000000,219895743722.000000,220495743722.000000,7797121257.000000,,18507511981.000000,317662876960.000000,340615035973.000000,425000000.000000
