Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,24693452477.000000,-15975146829.000000,8718305648.000000,-6511406911.000000,-6511406911.000000,-6511406911.000000,2206898737.000000,-1247656391.000000,913720.000000,,-1039677083.000000,-208893028.000000,-1247656391.000000,959242346.000000,-319169801.000000,,-317366681.000000,-1803120.000000,-319169801.000000,640072545.000000,-513702202.000000,126370343.000000,640072545.000000,640072543.000000,2.000000,640072545.000000,126370343.000000,126370341.000000,2.000000,126370343.000000
12M 2020,23985876762.000000,-14812196583.000000,9173680179.000000,-7838673362.000000,-7838673362.000000,-7838673362.000000,1335006817.000000,-863159596.000000,6835188.000000,,-869111779.000000,-883005.000000,-863159596.000000,471847221.000000,-264692482.000000,,-165277474.000000,-99415008.000000,-264692482.000000,207154739.000000,56024625.000000,263179364.000000,207154739.000000,207154710.000000,29.000000,207154739.000000,263179364.000000,263179335.000000,29.000000,263179364.000000
12M 2021,37446026309.000000,-23674627115.000000,13771399194.000000,-16170574706.000000,-16170574706.000000,-16170574706.000000,-2399175512.000000,-1475947173.000000,6227938.000000,,-1099891016.000000,-382284095.000000,-1475947173.000000,-3875122685.000000,789397873.000000,-124720543.000000,914118416.000000,,789397873.000000,-3085724812.000000,-197119969.000000,-3282844781.000000,-3085724812.000000,-3085724928.000000,116.000000,-3085724812.000000,-3282844781.000000,-3282844897.000000,116.000000,-3282844781.000000
12M 2022,47025953448.000000,-26559471215.000000,20466482233.000000,-18326806537.000000,-18326806537.000000,-18326806537.000000,2139675696.000000,-777034276.000000,4332382.000000,,-989732155.000000,208365497.000000,-777034276.000000,1362641420.000000,-518747886.000000,-137967161.000000,-380780725.000000,,-518747886.000000,843893534.000000,298573840.000000,1142467374.000000,843893534.000000,843893483.000000,51.000000,843893534.000000,1142467374.000000,1142467323.000000,51.000000,1142467374.000000
12M 2023,46642931257.000000,-23252487990.000000,23390443267.000000,-22586283752.000000,-22586283752.000000,-22586283752.000000,804159515.000000,-303606035.000000,20590214.000000,,-501443280.000000,177247031.000000,-303606035.000000,500553480.000000,-392060109.000000,-197186238.000000,-194873871.000000,,-392060109.000000,108493371.000000,418743647.000000,527237018.000000,108493371.000000,108493326.000000,45.000000,108493371.000000,527237018.000000,527236973.000000,45.000000,527237018.000000
12M 2024,50252347233.000000,-28912692600.000000,21339654633.000000,-22124360290.000000,-22124360290.000000,-22124360290.000000,-784705657.000000,4294818.000000,20580597.000000,,-508393554.000000,492107775.000000,4294818.000000,-780410839.000000,-129895768.000000,-240750633.000000,110854865.000000,,-129895768.000000,-910306607.000000,290953194.000000,-619353413.000000,-910306607.000000,-910306608.000000,1.000000,-910306607.000000,-619353413.000000,-619353414.000000,1.000000,-619353413.000000
