Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Karyawan,Penerimaan Lainnya,Pembayaran Lainnya,Pembayaran Pajak,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Hak Guna,Perolehan Aset Takberwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank,Pembayaran Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Penerimaan (Pembayaran) Piutang Lain-Lain,Tambahan Modal Disetor,Agio Waran,Agio Saham,Penerimaan (Pembayaran) Utang Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2019,-6736117826.000000,23335852439.000000,-20713669191.000000,-2325880773.000000,-5991923335.000000,913720.000000,-1803120.000000,,-1039607566.000000,-6736117826.000000,-5128733340.000000,-5254524221.000000,125790881.000000,,,-5128733340.000000,12013542305.000000,-3449997151.000000,-88864020.000000,,3175675960.000000,12400000000.000000,,,-23272484.000000,,12013542305.000000,148691139.000000,224178039.000000,,372869178.000000
12M 2020,-19675314397.000000,26711371983.000000,-37239784882.000000,-2089962165.000000,-6125307933.000000,6835188.000000,-165615009.000000,,-772851579.000000,-19675314397.000000,-12627229331.000000,-12297229331.000000,,,-330000000.000000,-12627229331.000000,38175679791.000000,1753178986.000000,-467150992.000000,,6750000.000000,,,36845000000.000000,37901797.000000,,38175679791.000000,5873136063.000000,372869178.000000,,6246005241.000000
12M 2021,12839530663.000000,37464341612.000000,-11075060874.000000,-6373704238.000000,-6053563772.000000,6227938.000000,-128043726.000000,,-1000666277.000000,12839530663.000000,-7781010530.000000,-2693189964.000000,,-5087820566.000000,,-7781010530.000000,-9510120331.000000,-7603561361.000000,-2287347243.000000,,3436060.000000,,357449900.000000,,19902313.000000,,-9510120331.000000,-4451600198.000000,6246005241.000000,,1794405043.000000
12M 2022,7849604884.000000,46212849006.000000,-22451088867.000000,-9461899134.000000,-5539490319.000000,29830102.000000,-137967161.000000,,-802628743.000000,7849604884.000000,-2857917821.000000,-2443459485.000000,,-414458336.000000,,-2857917821.000000,-2950869844.000000,-1196958127.000000,-1738191894.000000,,-3985693.000000,,,,-11734130.000000,,-2950869844.000000,2040817219.000000,1794405043.000000,,3835222262.000000
12M 2023,6614217611.000000,47286156104.000000,-20600564687.000000,-11179285813.000000,-8426230002.000000,2926143.000000,-197186238.000000,,-271597896.000000,6614217611.000000,-1860860539.000000,-1860860539.000000,,,,-1860860539.000000,-171670909.000000,1803787605.000000,-1992466310.000000,,-1300458.000000,,,,18308254.000000,,-171670909.000000,4581686163.000000,3835222262.000000,,8416908425.000000
12M 2024,285545560.000000,51035468204.000000,-28266436407.000000,-13027259166.000000,-9389900216.000000,72376103.000000,,,-138702958.000000,285545560.000000,-1442688473.000000,-1442688473.000000,,,,-1442688473.000000,-2698565612.000000,-1978894830.000000,-682117211.000000,,2324665.000000,,,,-39878236.000000,,-2698565612.000000,-3855708525.000000,8416908425.000000,,4561199900.000000
