Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,0.87,0.23,0.85,2.74,0.0,0.0,0.81,0.31,1.74
12M 2020,2.38,1.24,0.21,1.46,0.0,0.0,0.07,0.14,0.46
12M 2021,1.3,0.15,0.1,1.47,0.0,0.0,0.05,0.07,0.47
12M 2022,1.59,0.34,0.05,1.38,0.0,0.0,-0.04,0.03,0.38
12M 2023,1.96,0.58,0.07,1.41,0.0,0.0,-0.11,0.05,0.41
12M 2024,2.38,0.37,0.01,1.39,0.0,0.0,-0.09,0.01,0.39
