Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,14648304695.000000,16967579762.000000,915304876.000000,16052274886.000000,16967579762.000000,124253776.000000,16779930.000000,107473846.000000,124253776.000000,18803068927.000000,3972717105.000000,54515924265.000000,,,40214314807.000000,591419724.000000,,40805734531.000000,95321658796.000000,,,20248403596.000000,,1637708167.000000,9850560861.000000,11488269028.000000,,1262026959.000000,209154341.000000,1471181300.000000,5805226490.000000,1044421965.000000,,411372995.000000,411372995.000000,27931818.000000,20248403596.000000,2901488915.000000,,628960552.000000,628960552.000000,2272528363.000000,2901488915.000000,23149892511.000000,,14700000000.000000,,57716789055.000000,,57716789055.000000,57716789055.000000,,-245022770.000000,72171766285.000000,95321658796.000000,640000000.000000
12M 2020,,,62523488711.000000,19549957145.000000,612057015.000000,18937900130.000000,19549957145.000000,509037137.000000,77081200.000000,431955937.000000,509037137.000000,11768297739.000000,11453655992.000000,105804436724.000000,,,39002957396.000000,681042464.000000,,39683999860.000000,145488436584.000000,,,12267520931.000000,,713462249.000000,8553215282.000000,9266677531.000000,,42203100.000000,47492199.000000,89695299.000000,928536301.000000,1442299125.000000,,492585402.000000,492585402.000000,47727273.000000,12267520931.000000,3308742110.000000,,306245077.000000,306245077.000000,3002497033.000000,3308742110.000000,15576263041.000000,,80000000000.000000,30293972100.000000,19963007673.000000,2940000000.000000,17023007673.000000,19963007673.000000,,-344806230.000000,129912173543.000000,145488436584.000000,800000000.000000
12M 2021,,,25156329710.000000,31292824463.000000,511613379.000000,30781211084.000000,31292824463.000000,139492140.000000,,139492140.000000,139492140.000000,21763753178.000000,17754425550.000000,96106825041.000000,,,55975519325.000000,888336314.000000,65322083298.000000,122185938937.000000,218292763978.000000,,,32792773709.000000,,1720511183.000000,24930937501.000000,26651448684.000000,,,66073684.000000,66073684.000000,4368043187.000000,1273366903.000000,,425889023.000000,425889023.000000,7952228.000000,32792773709.000000,3914647028.000000,,216740995.000000,216740995.000000,3697906033.000000,3914647028.000000,36707420737.000000,,80000000000.000000,30293972100.000000,72202401211.000000,3440000000.000000,68762401211.000000,72202401211.000000,,-911030070.000000,181585343241.000000,218292763978.000000,800000000.000000
12M 2022,,,18963996188.000000,35581608317.000000,1215486839.000000,34366121478.000000,35581608317.000000,167520005.000000,,167520005.000000,167520005.000000,52822293324.000000,33493659334.000000,141029077168.000000,,,53106702151.000000,844707344.000000,38340930301.000000,92292339796.000000,233321416964.000000,,,44422605041.000000,,3801748760.000000,35444196293.000000,39245945053.000000,,376283762.000000,64310779.000000,440594541.000000,2488761085.000000,1826374231.000000,,408294623.000000,408294623.000000,12635508.000000,44422605041.000000,3824287199.000000,,458248166.000000,458248166.000000,3366039033.000000,3824287199.000000,48246892240.000000,,80000000000.000000,30293972100.000000,74708497860.000000,4440000000.000000,70268497860.000000,74708497860.000000,513087287.000000,-441032523.000000,185074524724.000000,233321416964.000000,800000000.000000
12M 2023,,,36778727513.000000,2550988599.000000,378693824.000000,2172294775.000000,2550988599.000000,34333785263.000000,,34333785263.000000,34333785263.000000,32985154946.000000,44103339501.000000,150751995822.000000,,,4693956286.000000,36549067845.000000,53159371176.000000,94402395307.000000,245154391129.000000,,,32838652435.000000,,6262764108.000000,20334289353.000000,26597053461.000000,,,407943264.000000,407943264.000000,4387351323.000000,879530911.000000,,543871948.000000,543871948.000000,22901528.000000,32838652435.000000,4703187643.000000,,469461610.000000,469461610.000000,4233726033.000000,4703187643.000000,37541840078.000000,,80000000000.000000,30293972100.000000,97324323976.000000,5440000000.000000,91884323976.000000,97324323976.000000,337153733.000000,-342898758.000000,207612551051.000000,245154391129.000000,800000000.000000
12M 2024,,,40997657265.000000,41337416119.000000,6431702242.000000,34905713877.000000,41337416119.000000,224260280.000000,,224260280.000000,224260280.000000,37295151221.000000,55115751643.000000,174970236528.000000,,,2627892305.000000,38421024103.000000,54061907086.000000,95110823494.000000,270081060022.000000,,,34134755325.000000,,4634419218.000000,25820498659.000000,30454917877.000000,,,347776446.000000,347776446.000000,1789272303.000000,1180737978.000000,,360767613.000000,360767613.000000,1283108.000000,34134755325.000000,3332370030.000000,,108693997.000000,108693997.000000,3223676033.000000,3332370030.000000,37467125355.000000,,80000000000.000000,30293972100.000000,122605792625.000000,6440000000.000000,116165792625.000000,122605792625.000000,,-285830058.000000,232613934667.000000,270081060022.000000,800000000.000000
