Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,27 B,(37 B),(10 B),-15.41
12M 2020,12 B,(0 B),12 B,15.35
12M 2021,23 B,(18 B),5 B,6.17
12M 2022,20 B,(0 B),20 B,24.80
12M 2023,48 B,(0 B),47 B,59.07
12M 2024,34 B,(2 B),32 B,40.22
