Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Aktivitas Operasi Lainnya,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Pajak,Pembayaran Beban Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Penjualan Aset Hak Guna,Pembelian Aset Hak Guna,Pembayaran Uang Muka Pembelian Aset Tetap,Uang Muka Investasi,Penerimaan Dividen,Investasi Pada Entitas Asosiasi,Penerimaan Dari Pelepasan Entitas Anak,Pembayaran Untuk Pihak Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran Untuk) Aktivitas Pendanaan Lainnya,Pembayaran Bunga Sewa Pembiayaan,Pembayaran Sewa Pembiayaan,Penerimaan Bunga Pinjaman Pihak Berelasi,Setoran Modal Kepentingan Non Pengendali,Penambahan Setoran Modal,Pembayaran Biaya Emisi Saham,Pembagian Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,27105062059.000000,143569774783.000000,409922462.000000,-98215110639.000000,-8054627055.000000,-10604897492.000000,27105062059.000000,-23839642036.000000,84090910.000000,-36970422093.000000,,,,,,,,13046689147.000000,-23839642036.000000,10191277312.000000,13778619.000000,-51168837.000000,-311997028.000000,74664558.000000,,14000000000.000000,,-3534000000.000000,10191277312.000000,13456697335.000000,1191607360.000000,14648304695.000000
12M 2020,12465556674.000000,129531229615.000000,1197439164.000000,-102375657802.000000,-9807666802.000000,-6079787501.000000,12465556674.000000,-4477143643.000000,206818182.000000,-183961825.000000,,,,-4500000000.000000,,,,,-4477143643.000000,39886770985.000000,-1633924221.000000,-103910202.000000,-469366705.000000,,,48000000000.000000,-1706027900.000000,-4199999987.000000,39886770985.000000,47875184016.000000,14648304695.000000,62523488711.000000
12M 2021,22914559957.000000,223021138029.000000,1541914545.000000,-184696581892.000000,-5297921931.000000,-11653988794.000000,22914559957.000000,-42959085756.000000,1500000.000000,-17982378119.000000,,-308153637.000000,,-25500000000.000000,829946000.000000,,,,-42959085756.000000,-17322633202.000000,-433488103.000000,-70834638.000000,-553310461.000000,,735000000.000000,,,-17000000000.000000,-17322633202.000000,-37367159001.000000,62523488711.000000,25156329710.000000
12M 2022,20187825058.000000,313325918011.000000,651267880.000000,-261119399290.000000,-15693122748.000000,-16976838795.000000,20187825058.000000,1160917328.000000,,-345110924.000000,,-274971748.000000,,,1781000000.000000,,,,1160917328.000000,-27541075908.000000,1094110897.000000,-60423576.000000,-574763229.000000,,,,,-28000000000.000000,-27541075908.000000,-6192333522.000000,25156329710.000000,18963996188.000000
12M 2023,47534533768.000000,337383087500.000000,482474320.000000,-259269596898.000000,-12208580131.000000,-18852851023.000000,47534533768.000000,282224464.000000,,-280469462.000000,645315314.000000,-1178621388.000000,,,1096000000.000000,,,,282224464.000000,-30002026907.000000,-376283762.000000,-98955214.000000,-726787931.000000,,,,,-28800000000.000000,-30002026907.000000,17814731325.000000,18963996188.000000,36778727513.000000
12M 2024,33924338983.000000,347013208408.000000,1257582131.000000,-279535855118.000000,-13869303783.000000,-20941292655.000000,33924338983.000000,493411070.000000,,-1749276142.000000,3770275.000000,,,,1918000000.000000,,320916937.000000,,493411070.000000,-30198820301.000000,,-54948353.000000,-543871948.000000,,,,,-29600000000.000000,-30198820301.000000,4218929752.000000,36778727513.000000,40997657265.000000
