Period,Arus Kas Dari Aktivitas Operasi,Komisi Dari Transaksi Perantara Pedagang Efek,Penerimaan Dari (Pembayaran Kepada) Lembaga Kliring Dan Penjaminan,Penerimaan (Pembayaran) Atas Perdagangan Efek,Penerimaan Dari Jasa Penasehat Keuangan Penjamin Emisi Dan Penjualan,Penerimaan Dari (Pembayaran Kepada) Nasabah,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Untuk Pajak Penghasilan,Penerimaan Bunga,Penerimaan Dari Entitas Efek,Penerimaan (Pembayaran) Untuk Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Lain-Lain,Penyertaan Pada Entitas Anak,Penerimaan Dari Penjualan Aset Tetap,Penempatan Deposito Berjangka,Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Pendapatan Dividen,Penyertaan Saham,Penambahan Deposit,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Disetor,Penerimaan Dari Pihak Berelasi,Pengampunan Pajak,Penyertaan Saham,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2015,28389562511.000000,9981305300.000000,-22816832100.000000,74176775007.000000,647024368.000000,-33835355842.000000,-11998114845.000000,-2601899823.000000,3693169704.000000,,11143490742.000000,28389562511.000000,-854927054.000000,-756764000.000000,,,100000000.000000,,-158987782.000000,,,-39175272.000000,-854927054.000000,-7083542640.000000,,,,,-7083542640.000000,-7083542640.000000,20451092817.000000,19864707512.000000,40315800329.000000
12M 2016,8598746966.000000,13061196419.000000,-71575734400.000000,-108914722643.000000,602323636.000000,182464183058.000000,-12617761858.000000,-3171575186.000000,5237638935.000000,-14000800000.000000,17513999005.000000,8598746966.000000,-887339981.000000,-761410185.000000,,,,,-136309075.000000,,,10379279.000000,-887339981.000000,-7033542640.000000,,,50000000.000000,,-7083542640.000000,-7033542640.000000,677864345.000000,40315800329.000000,40993664674.000000
12M 2017,107162797659.000000,10979689218.000000,47973515200.000000,110974574757.000000,804504309.000000,-79841830203.000000,-14361459833.000000,-3366237616.000000,6150774614.000000,14812336600.000000,13036930613.000000,107162797659.000000,127860831.000000,-125667870.000000,,,570000000.000000,,-142373695.000000,,,-174097604.000000,127860831.000000,-7083542640.000000,,,,,-7083542640.000000,-7083542640.000000,100207115850.000000,40993664674.000000,141200780524.000000
12M 2018,-41786026779.000000,15554330056.000000,70101485400.000000,-92766180415.000000,2708086304.000000,-32465015769.000000,-22538296938.000000,-3546347307.000000,13642004586.000000,-814931100.000000,8338838404.000000,-41786026779.000000,565430210.000000,-909125009.000000,-26974560.000000,,1641016653.000000,,-139486874.000000,,,,565430210.000000,205422736560.000000,212506279200.000000,,,,-7083542640.000000,205422736560.000000,164202139991.000000,141200780524.000000,305402920515.000000
12M 2019,-123520329763.000000,13809117097.000000,-19164679700.000000,-129994846800.000000,1771555642.000000,17306634644.000000,-22304754870.000000,-2482788368.000000,21572286357.000000,-15094871613.000000,11062017848.000000,-123520329763.000000,-83536028.000000,-34394364.000000,146644759.000000,,,,-195786423.000000,,,,-83536028.000000,-21417336448.000000,,,,1250000000.000000,-22667336448.000000,-21417336448.000000,-145021202239.000000,305402920515.000000,160381718276.000000
12M 2020,28948722450.000000,4152573096.000000,-1562957800.000000,-3919257498.000000,2072975000.000000,25756034967.000000,-16488085419.000000,-1800382707.000000,18702704218.000000,14934978947.000000,-12899860354.000000,28948722450.000000,-210538884.000000,-40871091.000000,,,,,-169667793.000000,,,,-210538884.000000,-17000502336.000000,,,,,-17000502336.000000,-17000502336.000000,11737681230.000000,160381718276.000000,172119399506.000000
12M 2021,-101144537159.000000,11765654611.000000,2319577200.000000,-116303144400.000000,173057350.000000,-2116410458.000000,-10639327588.000000,-412902839.000000,12524667665.000000,163287166.000000,1381004134.000000,-101144537159.000000,-52445321664.000000,-2486383364.000000,,,200000000.000000,-50054949646.000000,-103988654.000000,,,,-52445321664.000000,,,,,,,,-153589858823.000000,172119399506.000000,18529540683.000000
12M 2022,58048831822.000000,15827748160.000000,17679243100.000000,53144175000.000000,1728936900.000000,-18963551223.000000,-16293758342.000000,-1197612889.000000,5708944957.000000,,414706159.000000,58048831822.000000,-248152927.000000,-59421246.000000,,,133000000.000000,-233686756.000000,-88044925.000000,,,,-248152927.000000,,,,,,,,57800678895.000000,18529540683.000000,76330219578.000000
12M 2023,-37723081210.000000,6451984829.000000,-21523225400.000000,-32496439199.000000,3752902000.000000,16403468469.000000,-16447170360.000000,-550709942.000000,7188427059.000000,,-502318666.000000,-37723081210.000000,50508523469.000000,-121310175.000000,,,515000000.000000,,50114833644.000000,,,,50508523469.000000,,,,,,,,12785442259.000000,76330219578.000000,89115661837.000000
12M 2024,-19997929799.000000,4828541683.000000,1580595200.000000,-41167951961.000000,5670000000.000000,15261295480.000000,-14489460573.000000,-192654662.000000,8406542211.000000,,105162823.000000,-19997929799.000000,-1107077311.000000,-978305000.000000,68000000.000000,,,,-196772311.000000,,,,-1107077311.000000,,,,,,,,-21105007110.000000,89115661837.000000,68010654727.000000
