Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
12M 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72
12M 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
12M 2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
12M 2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
12M 2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
12M 2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
12M 2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
12M 2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
12M 2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
