Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Portofolio Efek,Piutang Nasabah,Pihak Ketiga,Pihak Berelasi,Total Piutang Nasabah,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Investasi Jangka Panjang,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Nasabah,Pihak Ketiga,Pihak Berelasi,Total Utang Nasabah,Utang Pajak,Utang Lain-Lain,Others,Total Utang Lain-Lain,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,40315800329.000000,,20803253182.000000,177921178752.000000,177299141265.000000,622037487.000000,177921178752.000000,2207101060.000000,,,2207101060.000000,37506790118.000000,278754123441.000000,,2205119838.000000,848575720.000000,,,525336074.000000,3579031632.000000,282333155073.000000,,,75156705814.000000,7323272000.000000,,49158227625.000000,11178802785.000000,60337030410.000000,617314732.000000,,,,3472191672.000000,3406897000.000000,75156705814.000000,3120000.000000,3120000.000000,3120000.000000,75159825814.000000,,70835426400.000000,122448950.000000,134749418909.000000,3100000000.000000,131649418909.000000,134749418909.000000,,1466035000.000000,207173329259.000000,282333155073.000000,708354264.000000
12M 2016,,,40993664674.000000,,81007039010.000000,82673456047.000000,82538118546.000000,135337501.000000,82673456047.000000,1292431734.000000,,,1292431734.000000,176980464147.000000,382947055612.000000,,1911659261.000000,1086723499.000000,,,514956795.000000,3513339555.000000,386460395167.000000,,,162233671775.000000,2838632300.000000,,137769888212.000000,9783602551.000000,147553490763.000000,893172848.000000,,,,5856320864.000000,5092055000.000000,162233671775.000000,7200000.000000,7200000.000000,7200000.000000,162240871775.000000,,70835426400.000000,122448950.000000,151952955638.000000,3150000000.000000,148802955638.000000,151952955638.000000,5987404.000000,1302705000.000000,224219523392.000000,386460395167.000000,708354264.000000
12M 2017,,,141200780524.000000,,44671719947.000000,119601795824.000000,118973633399.000000,628162425.000000,119601795824.000000,483004275.000000,,,483004275.000000,70778634356.000000,376735934926.000000,,1070136708.000000,1334935779.000000,,,689054399.000000,3094126886.000000,379830061812.000000,,,131282509645.000000,16554737300.000000,,75062943146.000000,29577057191.000000,104640000337.000000,486300531.000000,,,,3528867877.000000,6072603600.000000,131282509645.000000,2960000.000000,2960000.000000,2960000.000000,131285469645.000000,,70835426400.000000,122448950.000000,176501875566.000000,3200000000.000000,173301875566.000000,176501875566.000000,6327251.000000,1078514000.000000,248544592167.000000,379830061812.000000,708354264.000000
12M 2018,,,305402920515.000000,,173149362850.000000,238173449138.000000,237815694364.000000,357754774.000000,238173449138.000000,723359950.000000,,,723359950.000000,15419119273.000000,732868211726.000000,,509613931.000000,738539847.000000,,,716028959.000000,1964182737.000000,734832394463.000000,,,224928935561.000000,29897614000.000000,,21820780994.000000,168925856888.000000,190746637882.000000,950099874.000000,,,,2564955805.000000,769628000.000000,224928935561.000000,640000.000000,640000.000000,640000.000000,224929575561.000000,,283341705600.000000,122448950.000000,225352811459.000000,3250000000.000000,222102811459.000000,225352811459.000000,7338893.000000,1078514000.000000,509902818902.000000,734832394463.000000,2833417056.000000
12M 2019,,,160381718276.000000,,314686692540.000000,173731791673.000000,,,173731791673.000000,1997980315.000000,883318228.000000,1114662087.000000,1997980315.000000,5464136970.000000,656262319774.000000,,213688610.000000,753442827.000000,625000000.000000,25000000.000000,569384200.000000,2186515637.000000,658448835411.000000,,,136633155392.000000,,,29260772048.000000,101364976200.000000,130625748248.000000,1731913486.000000,828000.000000,,828000.000000,4274665658.000000,,136633155392.000000,1440968000.000000,1440968000.000000,1440968000.000000,138074123392.000000,,283341705600.000000,122448950.000000,235705839172.000000,3300000000.000000,232405839172.000000,235705839172.000000,8653694.000000,1196064603.000000,520374712019.000000,658448835411.000000,2833417056.000000
12M 2020,,,172119399506.000000,,315389671670.000000,30912948332.000000,27950350829.000000,2962597503.000000,30912948332.000000,1933309597.000000,832916292.000000,1100393305.000000,1933309597.000000,4338972416.000000,524694301521.000000,,135899411.000000,1289876578.000000,625000000.000000,25000000.000000,569384200.000000,2645160189.000000,527339461710.000000,,,28954137770.000000,,,23271530539.000000,3663430482.000000,26934961021.000000,331266000.000000,480000.000000,,480000.000000,1687430749.000000,,28954137770.000000,2485727000.000000,2485727000.000000,2485727000.000000,31439864770.000000,,283341705600.000000,172448950.000000,211444324498.000000,3350000000.000000,208094324498.000000,211444324498.000000,6750177.000000,934367715.000000,495899596940.000000,527339461710.000000,2833417056.000000
12M 2021,,,18529540683.000000,50054949646.000000,323201622780.000000,114000988703.000000,105040546711.000000,8960441992.000000,114000988703.000000,445528837.000000,57881806.000000,387647031.000000,445528837.000000,4816946670.000000,511049577319.000000,,2168802192.000000,1725541500.000000,625000000.000000,25000000.000000,569384200.000000,5113727892.000000,516163305211.000000,,,114770054028.000000,,,72417075469.000000,37972379831.000000,110389455300.000000,1040889110.000000,880000.000000,,880000.000000,3338829618.000000,,114770054028.000000,2676076000.000000,2676076000.000000,2676076000.000000,117446130028.000000,,283341705600.000000,172448950.000000,114200224746.000000,3350000000.000000,110850224746.000000,114200224746.000000,7024954.000000,995770934.000000,398717175184.000000,516163305212.000000,2833417056.000000
12M 2022,,,76330219578.000000,50288636402.000000,150895274330.000000,125876720793.000000,125178476566.000000,698244227.000000,125876720793.000000,494541559.000000,34656867.000000,459884692.000000,494541559.000000,4947525593.000000,408832918255.000000,,938486884.000000,2145225690.000000,625000000.000000,25000000.000000,569384200.000000,4303096774.000000,413136015029.000000,,,125505839656.000000,,,120976290501.000000,4588766.000000,120980879267.000000,848557737.000000,1460000.000000,,1460000.000000,3374942652.000000,300000000.000000,125505839656.000000,2077527000.000000,2077527000.000000,2077527000.000000,127583366656.000000,,283341705600.000000,172448950.000000,1014660193.000000,3350000000.000000,-2335339807.000000,1014660193.000000,12260221.000000,1011573409.000000,285552648373.000000,413136015029.000000,2833417056.000000
12M 2023,,,89115661837.000000,,93398955460.000000,50548457386.000000,45348821304.000000,5199636082.000000,50548457386.000000,765985710.000000,365000000.000000,400985710.000000,765985710.000000,5078991958.000000,238908052351.000000,,156819700.000000,2720791671.000000,7500000000.000000,25000000.000000,569384200.000000,10971995571.000000,249880047922.000000,,,34891366298.000000,,,26695684683.000000,7346887188.000000,34042571871.000000,146805629.000000,500000.000000,,500000.000000,701488798.000000,,34891366298.000000,2592483000.000000,2592483000.000000,2592483000.000000,37483849298.000000,,283341705600.000000,172448950.000000,-72136035103.000000,3350000000.000000,-75486035103.000000,-72136035103.000000,12541327.000000,1005537850.000000,212396198624.000000,249880047922.000000,2833417056.000000
12M 2024,,,68010654727.000000,,96493212110.000000,24310765441.000000,23749580305.000000,561185136.000000,24310765441.000000,1175381970.000000,,1175381970.000000,1175381970.000000,5115591427.000000,195105605675.000000,,854550804.000000,3172203688.000000,,7525000000.000000,501384200.000000,12053138692.000000,207158744367.000000,,,25897033185.000000,,,20728040709.000000,4333003539.000000,25061044248.000000,87637594.000000,1813750.000000,,1813750.000000,746537593.000000,,25897033185.000000,2725849000.000000,2725849000.000000,2725849000.000000,28622882185.000000,,283341705600.000000,172448950.000000,-106388191186.000000,3350000000.000000,-109738191186.000000,-106388191186.000000,12285576.000000,1397613242.000000,178535862182.000000,207158744367.000000,2833417056.000000
