Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2015,28 B,(1 B),28 B,39.01
12M 2016,9 B,(1 B),8 B,11.06
12M 2017,107 B,(0 B),107 B,151.11
12M 2018,(42 B),(1 B),(43 B),-15.07
12M 2019,(124 B),(0 B),(124 B),-43.61
12M 2020,29 B,(0 B),29 B,10.20
12M 2021,(101 B),(2 B),(104 B),-36.57
12M 2022,58 B,(0 B),58 B,20.47
12M 2023,(38 B),(0 B),(38 B),-13.36
12M 2024,(20 B),(1 B),(21 B),-7.40
