Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Karyawan,Beban Usaha,Beban Umum Dan Administrasi,Beban Penyusutan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,24173872609.000000,,24173872609.000000,14368188111.000000,6008333001.000000,,5115086786.000000,762720276.000000,2482048048.000000,14368188111.000000,9805684498.000000,15964532208.000000,2991734752.000000,39005446.000000,100000000.000000,12833792010.000000,15964532208.000000,25770216706.000000,-2637392673.000000,23132824033.000000,23132824033.000000,1365414000.000000,24498238033.000000,23132824033.000000,23132824033.000000,,23132824033.000000,24498238033.000000,24498238033.000000,,24498238033.000000
12M 2016,23937929034.000000,,23937929034.000000,16737669812.000000,8754092418.000000,,4305590539.000000,1054870762.000000,2623116093.000000,16737669812.000000,7200259222.000000,20148654972.000000,3813113141.000000,-12361555.000000,,16347903386.000000,20148654972.000000,27348914194.000000,-3061347421.000000,24287566773.000000,24287566773.000000,-213330000.000000,24074236773.000000,24287566773.000000,24287079369.000000,487404.000000,24287566773.000000,24074236773.000000,24073749369.000000,487404.000000,24074236773.000000
12M 2017,30659585546.000000,,30659585546.000000,13736778269.000000,7789983937.000000,,1910337530.000000,967190423.000000,3069266379.000000,13736778269.000000,16922807277.000000,17521530858.000000,4353818289.000000,3262723.000000,570000000.000000,12594449846.000000,17521530858.000000,34444338135.000000,-2811535720.000000,31632802415.000000,31632802415.000000,-224191000.000000,31408611415.000000,31632802415.000000,31632462568.000000,339847.000000,31632802415.000000,31408611415.000000,31408271568.000000,339847.000000,31408611415.000000
12M 2018,57326630087.000000,,57326630087.000000,17724445540.000000,6445532500.000000,,7481159471.000000,643819674.000000,3153933895.000000,17724445540.000000,39602184547.000000,19246814560.000000,10289253347.000000,26974560.000000,815188542.000000,8115398111.000000,19246814560.000000,58848999107.000000,-2913508932.000000,55935490175.000000,55935490175.000000,,55935490175.000000,55935490175.000000,55934478533.000000,1011642.000000,55935490175.000000,55935490175.000000,55934478533.000000,1011642.000000,55935490175.000000
12M 2019,28141197331.000000,,28141197331.000000,-25133872408.000000,,-25133872408.000000,,,,-25133872408.000000,3007324923.000000,33564679162.000000,20554244655.000000,-13588611.000000,,13024023118.000000,33564679162.000000,36572004085.000000,-3550334520.000000,33021669565.000000,33021669565.000000,117550603.000000,33139220168.000000,33021669565.000000,33020364161.000000,1305404.000000,33021669565.000000,33139220168.000000,33137914764.000000,1305404.000000,33139220168.000000
12M 2020,5034067841.000000,,5034067841.000000,-14852210800.000000,,-14852210800.000000,,,,-14852210800.000000,-9818142959.000000,2464711165.000000,16677906105.000000,,,-14213194940.000000,2464711165.000000,-7353431794.000000,90530051.000000,-7262901743.000000,-7262901743.000000,-211696888.000000,-7474598631.000000,-7262901743.000000,-7261012338.000000,-1889405.000000,-7262901743.000000,-7474598631.000000,-7472695114.000000,-1903517.000000,-7474598631.000000
12M 2021,-95025650926.000000,,-95025650926.000000,-12996368040.000000,,-12996368040.000000,,,,-12996368040.000000,-108022018966.000000,11461680967.000000,10997837262.000000,,200000000.000000,263843705.000000,11461680967.000000,-96560337999.000000,-683495757.000000,-97243833756.000000,-97243833756.000000,61403219.000000,-97182430537.000000,-97243833756.000000,-97244099752.000000,265996.000000,-97243833756.000000,-97182430537.000000,-97182705315.000000,274778.000000,-97182430537.000000
12M 2022,-101635308012.000000,,-101635308012.000000,-18538398931.000000,,-18538398931.000000,,,,-18538398931.000000,-120173706943.000000,7337869902.000000,7337869902.000000,,,,7337869902.000000,-112835837041.000000,-348977770.000000,-113184814811.000000,-113184814811.000000,15788000.000000,-113169026811.000000,-113184814811.000000,-113185564553.000000,749742.000000,-113184814811.000000,-113169026811.000000,-113169762078.000000,735267.000000,-113169026811.000000
12M 2023,-71276404069.000000,,-71276404069.000000,-15773055865.000000,,-15773055865.000000,,,,-15773055865.000000,-87049459934.000000,13596868844.000000,13596868844.000000,,,,13596868844.000000,-73452591090.000000,302180341.000000,-73150410749.000000,-73150410749.000000,-6039000.000000,-73156449749.000000,-73150410749.000000,-73150695296.000000,284547.000000,-73150410749.000000,-73156449749.000000,-73156730855.000000,281106.000000,-73156449749.000000
12M 2024,-24024570991.000000,,-24024570991.000000,-15341866014.000000,,-15341866014.000000,,,,-15341866014.000000,-39366437005.000000,4855280467.000000,,,,4855280467.000000,4855280467.000000,-34511156538.000000,258717096.000000,-34252439442.000000,-34252439442.000000,392103000.000000,-33860336442.000000,-34252439442.000000,-34252156083.000000,-283359.000000,-34252439442.000000,-33860336442.000000,-33860080691.000000,-255751.000000,-33860336442.000000
