Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.70,292.47,0.70,292.47,,,,,204 B
12M 2016,0.63,316.53,0.63,316.53,,,,,221 B
12M 2017,0.85,350.87,0.85,350.87,,,,,245 B
12M 2018,0.97,179.96,0.97,179.96,,,,,508 B
12M 2019,1.20,183.65,1.20,183.43,,,,,520 B
12M 2020,0.78,175.02,0.78,174.80,,,,,496 B
12M 2021,8.31,140.72,8.33,140.50,,,,,396 B
12M 2022,4.17,100.78,4.18,100.56,,,,,283 B
12M 2023,2.27,74.96,2.35,72.31,,,,,204 B
12M 2024,1.76,63.01,1.76,63.01,,,,,169 B
