Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pembiayaan,Pihak Ketiga,Total Piutang Pembiayaan,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Pihak Ketiga,Pihak Berelasi,Total Piutang Pihak Berelasi,Piutang Pembiayaan,Pihak Ketiga,Total Piutang Pembiayaan,Aset Pajak Tangguhan,Aset Tetap,Tanah Untuk Dikembangkan,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Adjustment,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Pemegang Saham,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,208452085.000000,1883452715.000000,129658399.000000,1753794316.000000,1883452715.000000,,,,,,,,20891393.000000,958339144.000000,3071135337.000000,,,,,,,,,,10508518100.000000,,,506862671.000000,11015380771.000000,14086516108.000000,,,,1922997529.000000,,660257345.000000,,,,,586632221.000000,650712571.000000,,,,,,,25395392.000000,1922997529.000000,8295190613.000000,,7949590105.000000,200626508.000000,,,,,,,144974000.000000,8295190613.000000,10218188142.000000,,14031250000.000000,-3496657299.000000,-6666264735.000000,,,3868327966.000000,14086516108.000000,250000000.000000
12M 2009,,,185433481.000000,649940549.000000,159035300.000000,490905249.000000,649940549.000000,465135913.000000,465135913.000000,,465135913.000000,,,,17809903.000000,503299873.000000,1821619719.000000,,,,,,,,,89486230.000000,10056291707.000000,,,191166667.000000,10336944604.000000,12158564323.000000,,,,2366116467.000000,,665394755.000000,,,,,598597731.000000,918666361.000000,,,,125595620.000000,125595620.000000,,57862000.000000,2366116467.000000,6862516784.000000,,6552327637.000000,,,,,,151555482.000000,151555482.000000,158633665.000000,6862516784.000000,9228633251.000000,,14031250000.000000,-3496657299.000000,-7604661629.000000,,,2929931072.000000,12158564323.000000,250000000.000000
12M 2010,,,105719387.000000,155892032.000000,,,155892032.000000,489240318.000000,,489240318.000000,489240318.000000,,,,17824785.000000,593539320.000000,1362215842.000000,,,,,,,,,106787751.000000,9814454521.000000,,,96055556.000000,10017297828.000000,11379513670.000000,,,,3895256165.000000,,634597486.000000,,,,,1218079840.000000,1443166267.000000,,,,,,,599412572.000000,3895256165.000000,6350390407.000000,,4951432607.000000,,,,,,,,1398957800.000000,6350390407.000000,10245646572.000000,,14031250000.000000,-3496657299.000000,-9400725603.000000,,,1133867098.000000,11379513670.000000,250000000.000000
12M 2011,,,7488934288.000000,31334585540.000000,31334585540.000000,,31334585540.000000,142541230.000000,,,142541230.000000,,,,5511173868.000000,484518776.000000,44961753702.000000,,1195860012.000000,,,1195860012.000000,,,,2885275331.000000,32875239677.000000,,,9689432718.000000,46645807738.000000,91607561440.000000,,,,41982897109.000000,7777823096.000000,20873060348.000000,576403386.000000,,,576403386.000000,4942868561.000000,3352523187.000000,3711123488.000000,,,,3711123488.000000,,749095043.000000,41982897109.000000,32981438337.000000,14566492760.000000,,,8298977454.000000,,,,,8298977454.000000,10115968123.000000,32981438337.000000,74964335446.000000,,40774812500.000000,-3496657299.000000,-8698356330.000000,9703321390.000000,-21639894267.000000,16643225994.000000,91607561440.000000,726500000.000000
12M 2012,,,7374877681.000000,31612192143.000000,31612192143.000000,,31612192143.000000,123409050.000000,123409050.000000,,123409050.000000,,,,4356603915.000000,164229971.000000,43631312760.000000,,999347103.000000,,,999347103.000000,,,,3886440303.000000,27959791628.000000,,665169500.000000,4997282894.000000,38508031428.000000,82139344188.000000,,,,42646883808.000000,2430071000.000000,16810382577.000000,,,6093153518.000000,6093153518.000000,3955560587.000000,6000229674.000000,,4226505689.000000,,161251399.000000,4387757088.000000,,2969729364.000000,42646883808.000000,19683431405.000000,7611352120.000000,,,,4978621120.000000,,,154618870.000000,5133239990.000000,6938839295.000000,19683431405.000000,62330315213.000000,,40774812500.000000,,-7507602624.000000,11678370665.000000,-25136551566.000000,19809028975.000000,82139344188.000000,726500000.000000
12M 2013,,,4461051739.000000,26884474093.000000,26884474093.000000,,26884474093.000000,840587396.000000,154648200.000000,685939196.000000,840587396.000000,3373598747.000000,3373598747.000000,3373598747.000000,4843784156.000000,219120965.000000,40622617096.000000,,688615857.000000,688615857.000000,,688615857.000000,12238706418.000000,12238706418.000000,12238706418.000000,4221409985.000000,10122277583.000000,,442230147.000000,5576893864.000000,33290133854.000000,73912750950.000000,,,,35562333774.000000,3132805112.000000,12512725889.000000,,1496893677.000000,3936135098.000000,5433028775.000000,6288730716.000000,2332703655.000000,,5295831039.000000,,245616897.000000,5541447936.000000,,320891691.000000,35562333774.000000,15941881086.000000,7301378667.000000,,,,890542289.000000,,,159665589.000000,1050207878.000000,7590294541.000000,15941881086.000000,51504214860.000000,,40790106562.000000,-27806144306.000000,-4664457559.000000,14089031393.000000,,22408536090.000000,73912750950.000000,1089750000.000000
12M 2014,,,87869458854.000000,59040954861.000000,59040954861.000000,,59040954861.000000,5064503609.000000,2378564413.000000,2685939196.000000,5064503609.000000,3763987668.000000,3763987668.000000,3763987668.000000,55213388169.000000,6116403529.000000,217068696690.000000,,,,,,8474718750.000000,8474718750.000000,8474718750.000000,289105417.000000,11041405725.000000,,5147378240.000000,34984519838.000000,59937127970.000000,277005824660.000000,,,,109105262925.000000,13312446538.000000,27148721639.000000,,5839000004.000000,945000000.000000,6784000004.000000,17998154884.000000,9234340334.000000,,907772942.000000,,914539520.000000,1822312462.000000,,32805287064.000000,109105262925.000000,14644378052.000000,6091152870.000000,,,,,,,26938333.000000,26938333.000000,8526286849.000000,14644378052.000000,123749640977.000000,,61162218750.000000,57610525455.000000,-3425763241.000000,37909202719.000000,,153256183683.000000,277005824660.000000,1089750000.000000
12M 2015,,,39613510754.000000,62472666928.000000,62472666928.000000,,62472666928.000000,8210541369.000000,1489003110.000000,6721538259.000000,8210541369.000000,,,,190781294849.000000,71438500065.000000,372516513965.000000,,,,,,,,,324648098.000000,10471622472.000000,,4320229924.000000,26555931612.000000,41672432106.000000,414188946071.000000,,,,246553494267.000000,,19081283440.000000,,3473567107.000000,345000000.000000,3818567107.000000,103169223504.000000,12624165595.000000,,,,518393196.000000,518393196.000000,,107341861425.000000,246553494267.000000,8969014182.000000,4704101034.000000,,,,,,,380197077.000000,380197077.000000,3884716071.000000,8969014182.000000,255522508449.000000,,61162218750.000000,57610525455.000000,-5377415356.000000,43066151452.000000,2204957321.000000,158666437622.000000,414188946071.000000,1089750000.000000
12M 2016,,,20060472639.000000,66904741160.000000,66904741160.000000,,66904741160.000000,19760095228.000000,3196705565.000000,16563389663.000000,19760095228.000000,,,,194922694385.000000,120052539274.000000,421700542686.000000,,,,,,,,,6457223261.000000,9264658214.000000,,162824967.000000,30936630414.000000,46821336856.000000,468521879542.000000,,,,270915762329.000000,3000000000.000000,9697160017.000000,,4937489877.000000,945000000.000000,5882489877.000000,67144988183.000000,20138091592.000000,,25000000000.000000,,315125116.000000,25315125116.000000,,139737907544.000000,270915762329.000000,38821838592.000000,4505552499.000000,,,,31107843137.000000,,,43016913.000000,31150860050.000000,3165426043.000000,38821838592.000000,309737600921.000000,,61162218750.000000,57610525455.000000,-3423470399.000000,41187064276.000000,2247940539.000000,158784278621.000000,468521879542.000000,1089750000.000000
12M 2017,,,15894823256.000000,24473260163.000000,24473260163.000000,,24473260163.000000,10914192966.000000,1260683028.000000,9653509938.000000,10914192966.000000,,,,196558894905.000000,124423530952.000000,372264702242.000000,,,,,,,,,8487897675.000000,9328705932.000000,,126024089.000000,27413444185.000000,45356071881.000000,417620774123.000000,,,,231263945152.000000,,8548884270.000000,,34027023504.000000,370000000.000000,34397023504.000000,42876544025.000000,24105588814.000000,,25000000000.000000,,43016913.000000,25043016913.000000,,96292887626.000000,231263945152.000000,12854085630.000000,4484928499.000000,,,,5578431373.000000,,,,5578431373.000000,2790725758.000000,12854085630.000000,244118030782.000000,,61162218750.000000,57610525455.000000,6868582585.000000,45864016510.000000,1997400041.000000,173502743341.000000,417620774123.000000,1089750000.000000
