Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,24.76,15.47,24.76,15.47,,8 B,8 B,8 B,1 B
12M 2009,35.24,11.72,35.24,11.72,0 B,7 B,7 B,7 B,(1 B)
12M 2010,90.97,4.54,90.97,4.54,,5 B,5 B,5 B,(3 B)
12M 2011,41.47,9.55,41.47,9.55,11 B,23 B,34 B,27 B,3 B
12M 2012,31.46,11.19,31.46,11.19,7 B,13 B,20 B,12 B,1 B
12M 2013,47.18,7.63,47.18,7.63,9 B,8 B,17 B,13 B,5 B
12M 2014,4.23,105.85,4.23,105.85,15 B,6 B,21 B,(67 B),108 B
12M 2015,5.70,106.08,5.70,106.08,1 B,5 B,6 B,(34 B),126 B
12M 2016,4.63,107.91,4.63,107.91,28 B,36 B,64 B,44 B,151 B
12M 2017,1.19,117.13,1.19,117.13,25 B,10 B,35 B,19 B,141 B
12M 2018,0.72,136.31,0.72,136.31,12 B,5 B,17 B,11 B,168 B
12M 2019,0.43,157.85,0.43,157.85,1 B,4 B,5 B,(7 B),203 B
12M 2020,0.46,160.95,0.46,160.95,2 B,6 B,7 B,(1 B),118 B
12M 2021,0.64,158.38,0.64,158.38,2 B,4 B,6 B,(14 B),128 B
12M 2022,0.42,141.27,0.42,141.27,4 B,5 B,8 B,3 B,(9 B)
12M 2023,0.36,139.90,0.36,139.90,,4 B,4 B,(1 B),(13 B)
12M 2024,0.29,137.40,0.29,137.40,,4 B,4 B,(8 B),(10 B)
