Period,Total Pendapatan,Total Beban Pokok Penjualan,Adjustment,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Komisi,Keuntungan Atas Penjualan Entitas Anak,Bagian Atas Hasil Bersih Entitas Asosiasi,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Others,Total Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3863198855.000000,-1558033688.000000,,2305165167.000000,-2894527138.000000,-2898679771.000000,4152633.000000,-2894527138.000000,-589361971.000000,23855584.000000,-5094104.000000,1105005.000000,197927083.000000,19777250.000000,-97646679.000000,,,,-92212971.000000,23855584.000000,-565506387.000000,-152759791.000000,,,,,-152759791.000000,,-152759791.000000,,-718266178.000000,,,-718266178.000000,-718266178.000000,,-718266178.000000,,,,
12M 2009,3217339574.000000,-1505172071.000000,,1712167503.000000,-3669995899.000000,-3712089363.000000,42093464.000000,-3669995899.000000,-1957828396.000000,729318764.000000,-2469347.000000,1818845.000000,39687500.000000,-62147091.000000,,,,,752428857.000000,729318764.000000,-1228509632.000000,290112738.000000,,,,,290112738.000000,,290112738.000000,,-938396894.000000,,,-938396894.000000,-938396894.000000,,-938396894.000000,,,,
12M 2010,3938225855.000000,-1739706065.000000,,2198519790.000000,-3590701435.000000,-3569136563.000000,-21564872.000000,-3590701435.000000,-1392181645.000000,-421183850.000000,-1180549.000000,470712.000000,-983482.000000,-73213657.000000,,,,,-346276874.000000,-421183850.000000,-1813365495.000000,17301521.000000,,,,,17301521.000000,,17301521.000000,,-1796063974.000000,,,-1796063974.000000,-1796063974.000000,,-1796063974.000000,,,,
12M 2011,109383644774.000000,-95014121308.000000,,14369523466.000000,-10906671619.000000,-13160563462.000000,2253891843.000000,-10906671619.000000,3462851847.000000,-1177091002.000000,-2401453496.000000,351744408.000000,493587229.000000,585278618.000000,,,,,-206247761.000000,-1177091002.000000,2285760845.000000,-1662646329.000000,-607862275.000000,,,-607862275.000000,-1054784054.000000,,-1662646329.000000,,623114516.000000,,623114516.000000,623114518.000000,675951023.000000,-52836505.000000,623114518.000000,623114518.000000,675951023.000000,-52836505.000000,623114518.000000
12M 2012,122456590211.000000,-99535624138.000000,,22920966073.000000,-21402411636.000000,-22067605977.000000,665194341.000000,-21402411636.000000,1518554437.000000,-1400756539.000000,-2682300117.000000,1281543578.000000,,,,,,,,-1400756539.000000,117797898.000000,1061258448.000000,-602155403.000000,,,-602155403.000000,1663413851.000000,,1061258448.000000,,1179056346.000000,1986746636.000000,3165802982.000000,1179056346.000000,-795992929.000000,1975049275.000000,1179056346.000000,3165802982.000000,1190753707.000000,1975049275.000000,3165802982.000000
12M 2013,83048276150.000000,-64623811816.000000,,18424464334.000000,-16578457057.000000,-17920375675.000000,1341918618.000000,-16578457057.000000,1846007277.000000,2378994963.000000,-1789947571.000000,4391881887.000000,,,,,-222939353.000000,,,2378994963.000000,4225002240.000000,-547920327.000000,-663744599.000000,,,-663744599.000000,115824272.000000,,-547920327.000000,,3677081913.000000,-657436232.000000,3019645681.000000,3677081913.000000,1170204101.000000,2506877812.000000,3677081913.000000,3019645681.000000,926537001.000000,2093108680.000000,3019645681.000000
12M 2014,170684608164.000000,-138994559524.000000,,31690048640.000000,-26454647947.000000,-29656134418.000000,3201486471.000000,-26454647947.000000,5235400693.000000,2371129783.000000,-2494907863.000000,5019162376.000000,,,,,-153124730.000000,,,2371129783.000000,7606530476.000000,-2221198944.000000,-3135806409.000000,,,-3135806409.000000,914607465.000000,,-2221198944.000000,,5385331532.000000,-34082365.000000,5351249167.000000,5385331533.000000,1189061812.000000,4196269721.000000,5385331533.000000,5351249167.000000,1238694319.000000,4112554848.000000,5351249167.000000
12M 2015,172370034296.000000,-139082322115.000000,,33287712181.000000,-34423634151.000000,-39651580730.000000,5227946579.000000,-34423634151.000000,-1135921970.000000,9729060479.000000,-1615628133.000000,11809145931.000000,,,,,-464457319.000000,,,9729060479.000000,8593138509.000000,-4677982726.000000,-4769438750.000000,,,-4769438750.000000,91456024.000000,,-4677982726.000000,,3915155783.000000,2755813020.000000,6670968803.000000,3915155783.000000,-1152263389.000000,5067419172.000000,3915155783.000000,6670968803.000000,253305206.000000,6417663597.000000,6670968803.000000
12M 2016,181200809144.000000,-135794779380.000000,,45406029764.000000,-32658856915.000000,-38548102582.000000,5889245667.000000,-32658856915.000000,12747172849.000000,-5848196715.000000,-8952764370.000000,3266390786.000000,,,,,-161823131.000000,,,-5848196715.000000,6898976134.000000,-2538800766.000000,-4747313511.000000,,,-4747313511.000000,2208512745.000000,,-2538800766.000000,,4360175368.000000,106259092.000000,4466434460.000000,4360175368.000000,2849714482.000000,1510460886.000000,4360175368.000000,4466434460.000000,2892697698.000000,1573736762.000000,4466434460.000000
12M 2017,142593033645.000000,-86538585983.000000,,56054447662.000000,-33881821232.000000,-37572379264.000000,3690558032.000000,-33881821232.000000,22172626430.000000,-5065026825.000000,-6257315534.000000,1229089588.000000,,,,-5246610176.000000,-36800879.000000,,5246610176.000000,-5065026825.000000,17107599605.000000,-1945704833.000000,-3828569229.000000,,,-3828569229.000000,1882864396.000000,,-1945704833.000000,,15161894772.000000,-443430052.000000,14718464720.000000,15161894772.000000,10292052984.000000,4869841788.000000,15161894772.000000,14718464720.000000,10041512482.000000,4676952238.000000,14718464720.000000
