Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,1132232734000.0,-766207788000.0,366024946000.0,-244962750000.0,-143131429000.0,-101831321000.0,-244962750000.0,121062196000.0,-5309373000.0,-16399578000.0,7847541000.0,3242664000.0,-5309373000.0,115752823000.0,-28130184000.0,87622639000.0,2506750000.0,90129389000.0,87622639000.0,74114259000.0,13508380000.0,87622639000.0,90129389000.0,76806046000.0,13323343000.0,90129389000.0
12M 2018,1190490137000.0,-764518643000.0,425971494000.0,-276071190000.0,-159340992000.0,-116730198000.0,-276071190000.0,149900304000.0,-20782784000.0,-25376450000.0,3630737000.0,962929000.0,-20782784000.0,129117520000.0,-34873523000.0,94243997000.0,7715097000.0,101959094000.0,94243997000.0,77683330000.0,16560667000.0,94243997000.0,101959094000.0,84321976000.0,17637118000.0,101959094000.0
12M 2019,1122522594000.0,-772140333000.0,350382261000.0,-244090625000.0,-130144200000.0,-113946425000.0,-244090625000.0,106291636000.0,-23882785000.0,-45399660000.0,14840908000.0,6675967000.0,-23882785000.0,82408851000.0,-21497895000.0,60910956000.0,-4450330000.0,56460626000.0,60910956000.0,50144325000.0,10766631000.0,60910956000.0,56460626000.0,46134021000.0,10326605000.0,56460626000.0
12M 2020,1472641715000.0,-1085012654000.0,387629061000.0,-249551336000.0,-132965776000.0,-116585560000.0,-249551336000.0,138077725000.0,-32575796000.0,-41405617000.0,5788616000.0,3041205000.0,-32575796000.0,105501929000.0,-26213673000.0,79288256000.0,143576788000.0,222865044000.0,79288256000.0,66091149000.0,13197107000.0,79288256000.0,222865044000.0,185655445000.0,37209599000.0,222865044000.0
12M 2021,1612054076000.0,-1252971584000.0,359082492000.0,-250230981000.0,-142114132000.0,-108116849000.0,-250230981000.0,108851511000.0,-49870907000.0,-54445804000.0,2890843000.0,1684054000.0,-49870907000.0,58980604000.0,-20179838000.0,38800766000.0,1967309000.0,40768075000.0,38800766000.0,29874300000.0,8926466000.0,38800766000.0,40768075000.0,31521343000.0,9246732000.0,40768075000.0
12M 2022,1515319792000.0,-1166100966000.0,349218826000.0,-275701926000.0,-169429179000.0,-106272747000.0,-275701926000.0,73516900000.0,-29696402000.0,-41161428000.0,863084000.0,10601942000.0,-29696402000.0,43820498000.0,-13851149000.0,29969349000.0,1718527000.0,31687876000.0,29969349000.0,22523399000.0,7445950000.0,29969349000.0,31687876000.0,24113087000.0,7574789000.0,31687876000.0
12M 2023,1448228617000.0,-1074185466000.0,374043151000.0,-261947368000.0,-154728398000.0,-107218970000.0,-261947368000.0,112095783000.0,8119787000.0,-40535187000.0,790131000.0,47864843000.0,8119787000.0,120215570000.0,-26077635000.0,94137935000.0,3685325000.0,97823260000.0,94137935000.0,83512769000.0,10625166000.0,94137935000.0,97823260000.0,86660061000.0,11163199000.0,97823260000.0
12M 2024,1370052641000.0,-1061500750000.0,308551891000.0,-252199542000.0,-141748342000.0,-110451200000.0,-252199542000.0,56352349000.0,-23113808000.0,-34333030000.0,430166000.0,10789056000.0,-23113808000.0,33238541000.0,-15486845000.0,17751696000.0,-473003000.0,17278693000.0,17751696000.0,12950433000.0,4801263000.0,17751696000.0,17278693000.0,12660992000.0,4617701000.0,17278693000.0
