Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Kepada Pemasok, Karyawan Dan Lain-Lain",Pendapatan Bunga,Kegiatan Operasi Lainnya,Beban Bunga,Pengembalian Pajak,Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penarikan (Penempatan) Di Bank,Pendapatan Bunga,Perolehan Aset Tetap,Penarikan Atas Penempatan Di Bank,Alokasi Kas Di Bank Yang Dibatasi Penggunaannya,Investasi Penyertaan Saham Pada Entitas Anak,Penjualan Aset Tetap Dan Aset Pengampunan Pajak,Pelepasan Entitas Anak,Investasi Jangka Pendek,Pendapatan Dividen,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Modal Saham Anak Perusahaan Ke Kepentingan Nonpengendali,Penarikan Modal Kerja Kredit Pinjaman Berjangka Revolving,Pembayaran Modal Kerja Kredit Pinjaman Berjangka Revolving,Penarikan Angsuran Pinjaman Utang Bank Jangka Panjang,Penerimaan Dari Setoran Modal,Penerimaan Uang Muka Penyertaan Saham,Pembayaran Utang Sewa Pembiayaan,Kenaikan Neto Modal Kerja Revolving,Penurunan Neto Modal Kerja Revolving,Penambahan Utang Bank,Pembayaran Utang Bank,Pembayaran Dividen,Pembayar Dividen Kas Entitas Anak Kepada Kepentingan Nonpengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2017,125301664000.000000,1135268880000.000000,-994694339000.000000,7847541000.000000,12776153000.000000,-16399578000.000000,,-19496993000.000000,125301664000.000000,-145642067000.000000,,,-81000663000.000000,,,-95000000000.000000,1535927000.000000,23822669000.000000,5000000000.000000,,-145642067000.000000,-5920793000.000000,,,,,,4758000000.000000,-1068383000.000000,,,1702825642000.000000,-1621696281000.000000,-90739771000.000000,,-5920793000.000000,-26261196000.000000,190317404000.000000,,164056208000.000000
12M 2018,219820613000.000000,1141875172000.000000,-906908672000.000000,3630737000.000000,38384053000.000000,-24635729000.000000,,-32524948000.000000,219820613000.000000,-364579102000.000000,,,-172287885000.000000,,,-195928100000.000000,3636883000.000000,,,,-364579102000.000000,289012396000.000000,,,,,,203580000000.000000,-848255000.000000,,,2074840802000.000000,-1785073445000.000000,-203486706000.000000,,289012396000.000000,144253907000.000000,164056208000.000000,,308310115000.000000
12M 2019,33521038000.000000,1132663368000.000000,-1001978394000.000000,859324000.000000,-30331414000.000000,-39799264000.000000,279711000.000000,-28172293000.000000,33521038000.000000,-24846697000.000000,68848026000.000000,13981583000.000000,-108278579000.000000,,,,602273000.000000,,,,-24846697000.000000,-42237365000.000000,,,,,,,-1364198000.000000,31573560000.000000,,17857573000.000000,-51666667000.000000,-38637633000.000000,,-42237365000.000000,-33563024000.000000,116343137000.000000,,82780113000.000000
12M 2020,-70614886000.000000,1396983361000.000000,-1385364078000.000000,372679000.000000,-18913108000.000000,-37742685000.000000,,-25951055000.000000,-70614886000.000000,-105705374000.000000,28292526000.000000,5415937000.000000,-139632382000.000000,,,,218545000.000000,,,,-105705374000.000000,157489183000.000000,,,,,,,-41913000.000000,167462187000.000000,,39205776000.000000,-35471500000.000000,-13425609000.000000,-239758000.000000,157489183000.000000,-18831077000.000000,82780113000.000000,,63949036000.000000
12M 2021,90776248000.000000,1634652042000.000000,-1488880244000.000000,446454000.000000,15194463000.000000,-51703860000.000000,10352814000.000000,-29285421000.000000,90776248000.000000,-65639854000.000000,-16814262000.000000,1866221000.000000,-51144992000.000000,,,,453179000.000000,,,,-65639854000.000000,-2449606000.000000,65000000000.000000,812039588000.000000,-827427590000.000000,,,,,,,,-50139285000.000000,,-1922319000.000000,-2449606000.000000,22686788000.000000,-81109819000.000000,,-58423031000.000000
12M 2022,127219093000.000000,1515710690000.000000,-1327043811000.000000,339499000.000000,-9547957000.000000,-37568429000.000000,2045923000.000000,-16716822000.000000,127219093000.000000,-8074283000.000000,40297236000.000000,350969000.000000,-49581497000.000000,,,,859009000.000000,,,,-8074283000.000000,-109227796000.000000,,632600632000.000000,-669940194000.000000,85000000000.000000,,,,,,,-155915937000.000000,,-972297000.000000,-109227796000.000000,9917014000.000000,-58423031000.000000,,-48506017000.000000
12M 2023,-41412855000.000000,1442996134000.000000,-1405606778000.000000,368892000.000000,-945926000.000000,-35927336000.000000,2178511000.000000,-44476352000.000000,-41412855000.000000,46077606000.000000,37066327000.000000,263213000.000000,-54351150000.000000,,,,63099216000.000000,,,,46077606000.000000,83075557000.000000,,1149755901000.000000,-1001813453000.000000,37425000000.000000,,,,,,,-99375000000.000000,,-2916891000.000000,83075557000.000000,87740308000.000000,-48506017000.000000,,39234291000.000000
12M 2024,106512599000.000000,1390662950000.000000,-1241039390000.000000,304981000.000000,2763992000.000000,-29726670000.000000,7634775000.000000,-24088039000.000000,106512599000.000000,-17720656000.000000,-12250680000.000000,39153000.000000,-19149867000.000000,,,,13640738000.000000,,,,-17720656000.000000,-80248313000.000000,,1153343706000.000000,-1202877751000.000000,,,,,,,,-17000000000.000000,-9997214000.000000,-3717054000.000000,-80248313000.000000,8543630000.000000,39234291000.000000,,47777921000.000000
