Period,Aset,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Pembiayaan Konsumen,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Pembiayaan Konsumen,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Pinjaman Yang Diterima,Medium Term Notes,Utang Pajak,Beban Akrual,Liabilitas Derivatif,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,8508223000.000000,,,22445000.000000,64819918000.000000,-14520204000.000000,50322159000.000000,,23942000.000000,1645934000.000000,1669876000.000000,849219000.000000,,996330000.000000,679126613000.000000,741472420000.000000,,,556677454000.000000,,2449797000.000000,3530006000.000000,,,13015351000.000000,575672608000.000000,,102390000000.000000,4460874000.000000,58948938000.000000,,,58948938000.000000,,165799812000.000000,741472420000.000000,1023900000.000000
12M 2011,,11650446000.000000,,,,22495368000.000000,-3889728000.000000,18605640000.000000,,,1630909000.000000,1630909000.000000,1040816000.000000,,764661000.000000,980434346000.000000,1014126818000.000000,,,677337753000.000000,99768816000.000000,3717313000.000000,4198796000.000000,,,23055610000.000000,808078288000.000000,,107970000000.000000,9830922000.000000,88247608000.000000,,,88247608000.000000,,206048530000.000000,1014126818000.000000,1079700000.000000
12M 2012,,13694898000.000000,,,,7466518000.000000,-1654374000.000000,5812144000.000000,,,392445000.000000,392445000.000000,1241816000.000000,,2128479000.000000,1062871221000.000000,1086141003000.000000,,,715298782000.000000,99704260000.000000,3770542000.000000,4725572000.000000,,,22978900000.000000,846478056000.000000,,107970000000.000000,9830922000.000000,121862025000.000000,50000000.000000,121812025000.000000,121862025000.000000,,239662947000.000000,1086141003000.000000,1079700000.000000
12M 2013,,30235271000.000000,,,,3354068000.000000,-1082891000.000000,2271177000.000000,,,884222000.000000,884222000.000000,1369374000.000000,,2851961000.000000,992924607000.000000,1030536612000.000000,,,735852898000.000000,,1558535000.000000,3105534000.000000,,,29573599000.000000,770090566000.000000,,107970000000.000000,9830922000.000000,142645124000.000000,100000000.000000,142545124000.000000,142645124000.000000,,260446046000.000000,1030536612000.000000,1079700000.000000
12M 2014,,60153130000.000000,,19656035000.000000,,,,19656035000.000000,,,695893000.000000,695893000.000000,1598942000.000000,702000000.000000,11742515000.000000,986343733000.000000,1080892248000.000000,,,635947456000.000000,124075000000.000000,2102280000.000000,3134499000.000000,,,28605759000.000000,793864994000.000000,,107970000000.000000,9830922000.000000,169226332000.000000,150000000.000000,169076332000.000000,169226332000.000000,,287027254000.000000,1080892248000.000000,1079700000.000000
12M 2015,,108326163000.000000,,24287456000.000000,,,,24287456000.000000,,,1001376000.000000,1001376000.000000,1923654000.000000,702000000.000000,12085581000.000000,1197754005000.000000,1346080235000.000000,,,644495228000.000000,137738859000.000000,737576000.000000,3602753000.000000,,,263262388000.000000,1049836804000.000000,,107970000000.000000,9830922000.000000,178442509000.000000,200000000.000000,178242509000.000000,178442509000.000000,,296243431000.000000,1346080235000.000000,1079700000.000000
12M 2016,,30658131000.000000,,65649035000.000000,,,,65649035000.000000,,,4261456000.000000,4261456000.000000,904345000.000000,10417512000.000000,11077910000.000000,1280268965000.000000,1403237354000.000000,,,721832026000.000000,89466162000.000000,1719196000.000000,3287912000.000000,,,279662404000.000000,1095967700000.000000,,107970000000.000000,10830922000.000000,188468732000.000000,250000000.000000,188218732000.000000,188468732000.000000,,307269654000.000000,1403237354000.000000,1079700000.000000
12M 2017,,13580028000.000000,,82709722000.000000,,,,82709722000.000000,,,1624275000.000000,1624275000.000000,726971000.000000,11229757000.000000,10150263000.000000,1511955823000.000000,1631976839000.000000,,,1025117043000.000000,45130991000.000000,3894647000.000000,5059278000.000000,,,229002970000.000000,1308204929000.000000,,107970000000.000000,10830922000.000000,204970988000.000000,300000000.000000,204670988000.000000,204970988000.000000,,323771910000.000000,1631976839000.000000,1079700000.000000
12M 2018,,42841681000.000000,,57526588000.000000,,,,57526588000.000000,,,1379301000.000000,1379301000.000000,874098000.000000,10667298000.000000,9375944000.000000,1392303938000.000000,1514968848000.000000,,,878640455000.000000,132562262000.000000,5659773000.000000,4377953000.000000,,,148240850000.000000,1169481293000.000000,,107970000000.000000,10830922000.000000,226686633000.000000,350000000.000000,226336633000.000000,226686633000.000000,,345487555000.000000,1514968848000.000000,1079700000.000000
12M 2019,,12166479000.000000,,9642291000.000000,,,,9642291000.000000,,,1110381000.000000,1110381000.000000,1209378000.000000,10514839000.000000,9230424000.000000,1168192368000.000000,1212066160000.000000,,,615517280000.000000,81012708000.000000,4576508000.000000,4225212000.000000,,,136024887000.000000,841356595000.000000,,107970000000.000000,10830922000.000000,251908643000.000000,400000000.000000,251508643000.000000,251908643000.000000,,370709565000.000000,1212066160000.000000,1079700000.000000
12M 2020,,252940291000.000000,,5464291000.000000,,,,5464291000.000000,,,2523251000.000000,2523251000.000000,90718000.000000,9931880000.000000,6601379000.000000,826264157000.000000,1103815967000.000000,,,563668401000.000000,35246859000.000000,6130898000.000000,1568956000.000000,,,132005258000.000000,738620372000.000000,,107970000000.000000,10830922000.000000,246394673000.000000,450000000.000000,245944673000.000000,246394673000.000000,,365195595000.000000,1103815967000.000000,1079700000.000000
12M 2021,,250439407000.000000,120197671000.000000,17410233000.000000,,,,17410233000.000000,,,518736000.000000,518736000.000000,279519000.000000,9348921000.000000,17560211000.000000,980793728000.000000,1396548426000.000000,,,285380000000.000000,,3158861000.000000,2512985000.000000,,,72435678000.000000,363487524000.000000,,355221300000.000000,404532751000.000000,273306851000.000000,500000000.000000,272806851000.000000,273306851000.000000,,1033060902000.000000,1396548426000.000000,3552213000.000000
12M 2022,,196722378000.000000,100678334000.000000,23122277000.000000,,,,23122277000.000000,,,210001000.000000,210001000.000000,277429000.000000,8765962000.000000,13285586000.000000,1258376495000.000000,1601438462000.000000,,,431964071000.000000,,11292621000.000000,3027605000.000000,,,65030241000.000000,511314538000.000000,,355221300000.000000,404532751000.000000,330369873000.000000,550000000.000000,329819873000.000000,330369873000.000000,,1090123924000.000000,1601438462000.000000,3552213000.000000
12M 2023,,154455676000.000000,80373798000.000000,9631715000.000000,,,,9631715000.000000,,,736748000.000000,736748000.000000,526807000.000000,8183003000.000000,14223967000.000000,1533245017000.000000,1801376731000.000000,,,575840379000.000000,,9336543000.000000,4674763000.000000,,,61733339000.000000,651585024000.000000,,355221300000.000000,404532751000.000000,390349172000.000000,600000000.000000,389749172000.000000,390349172000.000000,-311516000.000000,1149791707000.000000,1801376731000.000000,3552213000.000000
12M 2024,,98261993000.000000,243386652000.000000,8366958000.000000,,,,8366958000.000000,,,257165000.000000,257165000.000000,771237000.000000,7600044000.000000,8820662000.000000,1690489733000.000000,2057954444000.000000,,,793674546000.000000,,8319425000.000000,3777833000.000000,,,36670835000.000000,842442639000.000000,,355221300000.000000,404532751000.000000,455757754000.000000,650000000.000000,455107754000.000000,455757754000.000000,,1215511805000.000000,2057954444000.000000,3552213000.000000
