Period,Total Pendapatan,Pendapatan Sewa Pembiayaan,Pendapatan Pembiayaan Konsumen,Pendapatan Sewa Operasi,Pendapatan Anjak Piutang,Pendapatan Bunga,Others,Total Pendapatan,Total Beban Usaha,Beban Bunga,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,107101503000.000000,89866058000.000000,12733298000.000000,2852612000.000000,1317193000.000000,332342000.000000,,107101503000.000000,-71500372000.000000,-53379178000.000000,-8725868000.000000,-8406197000.000000,-989129000.000000,-71500372000.000000,35601131000.000000,318569000.000000,-52797000.000000,,371366000.000000,318569000.000000,35919700000.000000,-7690892000.000000,-7841958000.000000,151066000.000000,-7690892000.000000,28228808000.000000,,,,28228808000.000000,28228808000.000000,28228808000.000000,,28228808000.000000,28228808000.000000,28228808000.000000,,28228808000.000000
12M 2011,150217862000.000000,134791894000.000000,9625172000.000000,2184399000.000000,748869000.000000,718391000.000000,2149137000.000000,150217862000.000000,-102046603000.000000,-81351550000.000000,-9915928000.000000,-6892363000.000000,-3886762000.000000,-102046603000.000000,48171259000.000000,2279796000.000000,-80516000.000000,,2360312000.000000,2279796000.000000,50451055000.000000,-11152385000.000000,-11343982000.000000,191597000.000000,-11152385000.000000,39298670000.000000,,,,39298670000.000000,39298670000.000000,39298670000.000000,,39298670000.000000,39298670000.000000,39298670000.000000,,39298670000.000000
12M 2012,171909922000.000000,153892999000.000000,4979932000.000000,643995000.000000,371796000.000000,410923000.000000,11610277000.000000,171909922000.000000,-114940270000.000000,-91195163000.000000,-10000424000.000000,-10423115000.000000,-3321568000.000000,-114940270000.000000,56969652000.000000,856316000.000000,212754000.000000,,643562000.000000,856316000.000000,57825968000.000000,-14494251000.000000,-14695251000.000000,201000000.000000,-14494251000.000000,43331717000.000000,,,,43331717000.000000,43331717000.000000,43331717000.000000,,43331717000.000000,43331717000.000000,43331717000.000000,,43331717000.000000
12M 2013,176466380000.000000,145124123000.000000,4473407000.000000,5753673000.000000,450382000.000000,697354000.000000,19967441000.000000,176466380000.000000,-131144960000.000000,-88407336000.000000,-11649789000.000000,-16597420000.000000,-14490415000.000000,-131144960000.000000,45321420000.000000,-862853000.000000,-1445510000.000000,86443000.000000,496214000.000000,-862853000.000000,44458567000.000000,-12878468000.000000,-13006026000.000000,127558000.000000,-12878468000.000000,31580099000.000000,,,,31580099000.000000,31580099000.000000,31580099000.000000,,31580099000.000000,31580099000.000000,31580099000.000000,,31580099000.000000
12M 2014,162399488000.000000,134463809000.000000,2471857000.000000,7877588000.000000,608503000.000000,250793000.000000,16726938000.000000,162399488000.000000,-119898714000.000000,-75442967000.000000,,-26712233000.000000,-17743514000.000000,-119898714000.000000,42500774000.000000,5134542000.000000,-154933000.000000,207046000.000000,5082429000.000000,5134542000.000000,47635316000.000000,-11336808000.000000,-11566376000.000000,229568000.000000,-11336808000.000000,36298508000.000000,,,,36298508000.000000,36298508000.000000,36298508000.000000,,36298508000.000000,36298508000.000000,36298508000.000000,,36298508000.000000
12M 2015,164672678000.000000,134358169000.000000,3882788000.000000,7347394000.000000,4415354000.000000,613001000.000000,14055972000.000000,164672678000.000000,-137989208000.000000,-80576964000.000000,,-34938238000.000000,-22474006000.000000,-137989208000.000000,26683470000.000000,1513124000.000000,435487000.000000,893064000.000000,184573000.000000,1513124000.000000,28196594000.000000,-8134863000.000000,-8443389000.000000,308526000.000000,-8134863000.000000,20061731000.000000,-513007000.000000,-513007000.000000,-513007000.000000,19548724000.000000,20061731000.000000,20061731000.000000,,20061731000.000000,19548724000.000000,19548724000.000000,,19548724000.000000
12M 2016,169497607000.000000,142407212000.000000,9741595000.000000,2260989000.000000,1948389000.000000,334890000.000000,12804532000.000000,169497607000.000000,-151086300000.000000,-86053622000.000000,,-45227046000.000000,-19805632000.000000,-151086300000.000000,18411307000.000000,5747418000.000000,-392895000.000000,1876825000.000000,4263488000.000000,5747418000.000000,24158725000.000000,-6561686000.000000,-5538072000.000000,-1023614000.000000,-6561686000.000000,17597039000.000000,-12916000.000000,-12916000.000000,-12916000.000000,17584123000.000000,17597039000.000000,17597039000.000000,,17597039000.000000,17584123000.000000,17584123000.000000,,17584123000.000000
12M 2017,192559080000.000000,157972092000.000000,12084082000.000000,734162000.000000,737744000.000000,155290000.000000,20875710000.000000,192559080000.000000,-162757373000.000000,-103486834000.000000,,-41369147000.000000,-17901392000.000000,-162757373000.000000,29801707000.000000,1061060000.000000,40873000.000000,,1020187000.000000,1061060000.000000,30862767000.000000,-7852403000.000000,-7665060000.000000,-187343000.000000,-7852403000.000000,23010364000.000000,-29908000.000000,-29908000.000000,-29908000.000000,22980456000.000000,23010364000.000000,23010364000.000000,,23010364000.000000,22980456000.000000,22980456000.000000,,22980456000.000000
12M 2018,211782469000.000000,165555466000.000000,10873319000.000000,95351000.000000,195167000.000000,280026000.000000,34783140000.000000,211782469000.000000,-181533437000.000000,-115703926000.000000,,-43555292000.000000,-22274219000.000000,-181533437000.000000,30249032000.000000,6819118000.000000,4761766000.000000,118501000.000000,1938851000.000000,6819118000.000000,37068150000.000000,-9231518000.000000,-9497716000.000000,266198000.000000,-9231518000.000000,27836632000.000000,357213000.000000,357213000.000000,357213000.000000,28193845000.000000,27836632000.000000,27836632000.000000,,27836632000.000000,28193845000.000000,28193845000.000000,,28193845000.000000
12M 2019,191859977000.000000,157764071000.000000,5365821000.000000,,118580000.000000,825318000.000000,27786187000.000000,191859977000.000000,-156068981000.000000,-94421772000.000000,,-43647209000.000000,-18000000000.000000,-156068981000.000000,35790996000.000000,7983072000.000000,1992238000.000000,3417000.000000,5987417000.000000,7983072000.000000,43774068000.000000,-10740188000.000000,-10990811000.000000,250623000.000000,-10740188000.000000,33033880000.000000,-253970000.000000,-253970000.000000,-253970000.000000,32779910000.000000,33033880000.000000,33033880000.000000,,33033880000.000000,32779910000.000000,32779910000.000000,,32779910000.000000
