Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari :,Sewa Pembiayaan,Pembiayaan Konsumen,Tagihan Anjak Piutang,Sewa Operasi,Premi Asuransi,Pendapatan Bunga,Piutang Yang Diambil Alih,Penjualan Agunan Yang Diambil Alih,Ijarah Muntahiyah Bittamilk,Pencairan Kas Dibank Dan Deposito Berjangka Yang Dibatasi Pencairannya,Penerimaan Lain-Lain,Total Penerimaan Kas Dari :,Pengeluaran Kas Untuk/Kepada :,Sewa Pembiayaan,Pembiayaan Konsumen,Tagihan Anjak Piutang,Premi Asuransi,Beban Keuangan,Beban Usaha,Penempatan Kas Di Bank Dan Deposito Berjangka Yang Dibatasi Pencairannya,Ijarah Muntahiyah Bittamilk,Pengeluaran Lain-Lain,Total Pengeluaran Kas Untuk/Kepada :,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Untuk Disewakan,Perolehan Aset Tetap,Perolehan Aset Untuk Disewakan,Uang Muka Untuk Perolehan Aset Tetap,Pencairan Kas Di Bank Dan Deposito Berjangka Yang Dibatasi Pencairannya,Hasil Penjualan Investasi Surat-Surat Berharga,Perolehan Properti Investasi,Penempatan Investasi Jangka Pendek,Penerimaan Investasi Jangka Pendek,Perolehan Investasi Surat-Surat Berharga,Perolehan Aset Ijarah Muntahiyah Bittamlik,Penempatan Investasi Lainnya,Pendapatan Bunga,Penempatan Di Bank - Terkait Pinjaman Yang Diterima,Pencairan Penempatan Di Bank - Terkait Pinjaman Yang Diterima,Penarikan Investasi Lainnya,Perolehan Investasi Lainnya,Pencairan (Penambahan) Efek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman,Pembayaran Atas Penerbitan Surat Utang Jangka Menengah,Penerimaan Dari Liabilitas Atas Penerusan Pinjaman,Pembayaran Liabilitas Sewa,Pelunasan Pinjaman,Pembayaran Dividen Kas,Penerimaan Dari Penerbitan Modal Saham,Biaya Emisi Saham,Penerimaan Dari Penawaran Umum Perdana Saham - Bersih,Pembayaran Dari Liabilitas Atas Pembelian Barang Modal,Pelunasan Surat Utang Jangka Menengah,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2010,-299874603000.000000,,401869689000.000000,53456833000.000000,2550402000.000000,2852612000.000000,7963804000.000000,282421000.000000,,672943000.000000,,1124723000.000000,25681666000.000000,496455093000.000000,,-645311190000.000000,-32479365000.000000,-3000000000.000000,-6361848000.000000,-54373501000.000000,-16633587000.000000,-2244072000.000000,,-27690567000.000000,-788094130000.000000,-8235566000.000000,-299874603000.000000,5458977000.000000,182525000.000000,180501000.000000,-292444000.000000,-315909000.000000,,,25722750000.000000,,,,-20018446000.000000,,,,,,,,,5458977000.000000,300100933000.000000,503631464000.000000,,,,-196530531000.000000,-7000000000.000000,,,,,,300100933000.000000,5685307000.000000,2890476000.000000,-67560000.000000,8508223000.000000
12M 2011,-183206113000.000000,,602553399000.000000,43940450000.000000,7413918000.000000,2184399000.000000,16930531000.000000,556768000.000000,,4707300000.000000,,6425630000.000000,7405962000.000000,692118357000.000000,,-746584563000.000000,-1686729000.000000,-1000000000.000000,-14145800000.000000,-81351550000.000000,-13625776000.000000,-6000000000.000000,,-484269000.000000,-864878687000.000000,-10445783000.000000,-183206113000.000000,-32870521000.000000,137750000.000000,27402000.000000,-119574000.000000,,,,6229923000.000000,,,,-6958502000.000000,-32187520000.000000,,,,,,,,-32870521000.000000,219214650000.000000,474569812000.000000,100000000000.000000,,,-356305210000.000000,-10000000000.000000,,,10950048000.000000,,,219214650000.000000,3138016000.000000,8508223000.000000,4207000.000000,11650446000.000000
12M 2012,85203697000.000000,,777164039000.000000,20305758000.000000,22854840000.000000,679946000.000000,25273154000.000000,410923000.000000,,8006545000.000000,,,8783265000.000000,863478470000.000000,,-600334585000.000000,-1763000000.000000,-22694699000.000000,-23490536000.000000,-92245261000.000000,-17393969000.000000,,,-5537758000.000000,-763459808000.000000,-14814965000.000000,85203697000.000000,-116645072000.000000,251780000.000000,,-1706812000.000000,-1410750000.000000,-2851200000.000000,5047183000.000000,510706000.000000,,,,-408519000.000000,-116077460000.000000,,,,,,,,-116645072000.000000,33410277000.000000,597248090000.000000,100000000000.000000,,,-554120513000.000000,-9717300000.000000,,,,,-100000000000.000000,33410277000.000000,1968902000.000000,11650446000.000000,75550000.000000,13694898000.000000
12M 2013,236684077000.000000,,889682954000.000000,7677996000.000000,31000000000.000000,5753673000.000000,23541889000.000000,697354000.000000,,1051241000.000000,,,8741562000.000000,968146669000.000000,,-542898542000.000000,-1319000000.000000,-33000000000.000000,-25529438000.000000,-89495407000.000000,-17965403000.000000,,,-7161255000.000000,-717369045000.000000,-14093547000.000000,236684077000.000000,-102923045000.000000,97000000.000000,407004000.000000,-146550000.000000,-18783260000.000000,-3088800000.000000,,1003475000.000000,,,,-518292000.000000,-81893622000.000000,,,,,,,,-102923045000.000000,-118409902000.000000,569197104000.000000,,,,-576810006000.000000,-10797000000.000000,,,,,-100000000000.000000,-118409902000.000000,15351130000.000000,13694898000.000000,1189243000.000000,30235271000.000000
12M 2014,86237544000.000000,,712406048000.000000,6192955000.000000,42000000000.000000,7877588000.000000,17652872000.000000,209484000.000000,28339643000.000000,,,,6619761000.000000,821298351000.000000,,-535445819000.000000,-18859492000.000000,-42000000000.000000,-16885488000.000000,-75585069000.000000,-15036526000.000000,,,-20197041000.000000,-724009435000.000000,-11051372000.000000,86237544000.000000,-69210054000.000000,156775000.000000,199250000.000000,-3861485000.000000,-3635345000.000000,,,2520896000.000000,,,,-2294297000.000000,-62295848000.000000,,,,,,,,-69210054000.000000,12461038000.000000,498888162000.000000,122290000000.000000,,,-598999824000.000000,-9717300000.000000,,,,,,12461038000.000000,29488528000.000000,30235271000.000000,429331000.000000,60153130000.000000
12M 2015,100970262000.000000,,758977106000.000000,9367033000.000000,85525837000.000000,7347394000.000000,11452284000.000000,493000000.000000,25851771000.000000,,,,3125346000.000000,902139771000.000000,,-553907404000.000000,-9009950000.000000,-100385002000.000000,-12397882000.000000,-81410182000.000000,-23366186000.000000,,,-10833462000.000000,-791310068000.000000,-9859441000.000000,100970262000.000000,-337157467000.000000,159950000.000000,1436196000.000000,-1518303000.000000,-403100000.000000,,,740898000.000000,,,,-659200000.000000,-336913908000.000000,,,,,,,,-337157467000.000000,280865932000.000000,485291544000.000000,,283102781000.000000,,-476731393000.000000,-10797000000.000000,,,,,,280865932000.000000,44678727000.000000,60153130000.000000,3494386000.000000,108326243000.000000
12M 2016,90027220000.000000,,833598863000.000000,114184425000.000000,71679075000.000000,2260989000.000000,16168166000.000000,435728000.000000,26776404000.000000,,,,2883712000.000000,1067987362000.000000,,-623953056000.000000,-145805445000.000000,-55824827000.000000,-14323682000.000000,-86401734000.000000,-46358429000.000000,,,-687440000.000000,-973354613000.000000,-4605529000.000000,90027220000.000000,-218944788000.000000,253246000.000000,5200570000.000000,-739323000.000000,,,,,-5769362000.000000,,,-26775000.000000,-217863144000.000000,,,,,,,,-218944788000.000000,49864248000.000000,609346922000.000000,,91846644000.000000,,-531493821000.000000,-7557900000.000000,,,,-67868396000.000000,-44409201000.000000,49864248000.000000,-79053320000.000000,108326163000.000000,1385288000.000000,30658131000.000000
12M 2017,-117751305000.000000,,817858218000.000000,33335417000.000000,21596172000.000000,712131000.000000,17293739000.000000,176357000.000000,24511118000.000000,,,,77563000.000000,915560715000.000000,,-812963274000.000000,-37268024000.000000,-16838980000.000000,-15642515000.000000,-104354225000.000000,-39437730000.000000,,,-1079241000.000000,-1027583989000.000000,-5728031000.000000,-117751305000.000000,-152841786000.000000,16620000.000000,522930000.000000,-337019000.000000,,,,,,,,,-153044317000.000000,,,,,,,,-152841786000.000000,253650779000.000000,864693382000.000000,,,,-560076034000.000000,-6478200000.000000,,,,,-44488369000.000000,253650779000.000000,-16942312000.000000,30658131000.000000,-135791000.000000,13580028000.000000
12M 2018,94343549000.000000,,744955245000.000000,42625939000.000000,7742167000.000000,95100000.000000,20268565000.000000,297405000.000000,16563228000.000000,,127768799000.000000,,244630000.000000,960561078000.000000,,-509730261000.000000,-6715594000.000000,-11240000000.000000,-22112218000.000000,-118351027000.000000,-40735394000.000000,,-149375259000.000000,-8261000.000000,-858268014000.000000,-7949515000.000000,94343549000.000000,63448000.000000,157000000.000000,129000000.000000,-222552000.000000,,,,,,,,,,,,,,,,,63448000.000000,-65215127000.000000,425836933000.000000,148350000000.000000,,,-573616313000.000000,-6478200000.000000,,,,,-59307547000.000000,-65215127000.000000,29191870000.000000,13580028000.000000,69783000.000000,42841681000.000000
12M 2019,288437777000.000000,,829515421000.000000,58475632000.000000,9878098000.000000,,14314830000.000000,871342000.000000,9667945000.000000,,128689278000.000000,,,1051412546000.000000,,-503762498000.000000,-45530919000.000000,-7057917000.000000,-14774428000.000000,-95428955000.000000,-39340525000.000000,,-41428863000.000000,-3848404000.000000,-751172509000.000000,-11802260000.000000,288437777000.000000,-841722000.000000,9120000.000000,,-850842000.000000,,,,,,,,,,,,,,,,,-841722000.000000,-318540190000.000000,340069238000.000000,,,,-603648157000.000000,-7557900000.000000,,,,,-47403371000.000000,-318540190000.000000,-30944135000.000000,42841681000.000000,268933000.000000,12166479000.000000
