Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2010,,,,,,,,,,,,,,,0.0
12M 2011,,,,,,,,,170.61,182.85,0.17,0.15,,,0.0
12M 2012,,,,,,,,,118.84,60.48,0.16,0.16,,,0.0
12M 2013,,,,,,,,,70.86,72.92,0.17,0.16,,,0.0
12M 2014,,,,,,,,,22.25,13.74,0.15,0.15,,,0.0
12M 2015,,,,,,,,,13.82,13.47,0.14,0.12,,,0.0
12M 2016,,,,,,,,,14.63,10.57,0.12,0.12,,,0.0
12M 2017,,,,,,,,,18.14,18.7,0.13,0.12,,,0.0
12M 2018,,,,,,,,,21.69,22.43,0.13,0.14,,,0.0
12M 2019,,,,,,,,,20.62,20.49,0.14,0.15,,,0.0
12M 2020,,,,,,,,,18.97,22.64,0.13,0.15,,,0.0
12M 2021,,,,,,,,,9.34,6.14,0.09,0.08,,,0.0
12M 2022,,,,,,,,,9.25,10.27,0.1,0.09,,,0.0
12M 2023,,,,,,,,,11.87,12.43,0.1,0.09,,,0.0
12M 2024,,,,,,,,,15.71,19.18,0.09,0.1,,,0.0
