Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,161.93,0.00,161.93,,,,,
12M 2011,1.05,190.84,1.05,190.84,,,,,
12M 2012,1.08,221.97,1.08,221.97,,,,,
12M 2013,1.24,241.22,1.24,241.22,,,,,
12M 2014,0.84,265.84,0.84,265.84,,,,,
12M 2015,0.50,274.38,0.50,274.38,,,,,
12M 2016,0.53,284.59,0.53,284.59,,,,,
12M 2017,0.64,299.87,0.64,299.87,,,,,
12M 2018,0.50,319.98,0.50,319.98,,,,,
12M 2019,0.70,343.34,0.70,343.34,,,,,
12M 2020,1.66,338.24,1.66,338.24,,,,,
12M 2021,2.11,290.82,2.11,290.82,,,,,
12M 2022,1.32,306.89,1.32,306.89,,,,,
12M 2023,2.01,323.68,2.01,323.68,,,,,
12M 2024,1.61,342.18,1.61,342.18,,,,,
