Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,480457824504.000000,-415818481526.000000,64639342978.000000,-41203025907.000000,-15177471990.000000,-17033523514.000000,-9605992364.000000,613961961.000000,-41203025907.000000,23436317071.000000,-19259908002.000000,-14770435063.000000,,-4489472939.000000,-19259908002.000000,4176409069.000000,-2625520648.000000,,,-2625520648.000000,1550888421.000000,,,,,1550888421.000000,1550888421.000000,,1550888421.000000,,,,
12M 2009,279929010718.000000,-241920026415.000000,38008984303.000000,-17343572042.000000,-14375203360.000000,-16382696043.000000,13600920642.000000,-186593281.000000,-17343572042.000000,20665412261.000000,-13590429588.000000,-12635252297.000000,,-955177291.000000,-13590429588.000000,7074982673.000000,-3389731710.000000,,,-3389731710.000000,3685250963.000000,,,,,3685250963.000000,3685250963.000000,,3685250963.000000,,,,
12M 2010,400894525220.000000,-338950770020.000000,61943755200.000000,-33681250485.000000,-16913629503.000000,-21307947629.000000,4506153792.000000,34172855.000000,-33681250485.000000,28262504715.000000,-10639744360.000000,-9733202844.000000,,-906541516.000000,-10639744360.000000,17622760355.000000,-4960179470.000000,,,-4960179470.000000,12662580885.000000,,,,,12662580885.000000,12662580885.000000,,12662580885.000000,,,,
12M 2011,579224436320.000000,-489230811421.000000,89993624899.000000,-49067593192.000000,-22054732708.000000,-25857015564.000000,-1625835222.000000,469990302.000000,-49067593192.000000,40926031707.000000,-16146257674.000000,-16146257674.000000,,,-16146257674.000000,24779774033.000000,-6948727612.000000,,,-6948727612.000000,17831046421.000000,,,,17831046421.000000,17831046421.000000,17831046421.000000,,17831046421.000000,17831046421.000000,17831046421.000000,,17831046421.000000
12M 2012,702719255456.000000,-583438861894.000000,119280393562.000000,-68600831575.000000,-29641421140.000000,-34672455396.000000,-2770069384.000000,-1516885655.000000,-68600831575.000000,50679561987.000000,-21316731097.000000,-21316731097.000000,,,-21316731097.000000,29362830890.000000,-7809643942.000000,,,-7809643942.000000,21553186948.000000,,,,21553186948.000000,21553186948.000000,21553186948.000000,,21553186948.000000,21553186948.000000,21553186948.000000,,21553186948.000000
12M 2013,911064069000.000000,-757500503000.000000,153563566000.000000,-77054264000.000000,-31716262000.000000,-36259617000.000000,-10125889000.000000,1047504000.000000,-77054264000.000000,76509302000.000000,-30925133000.000000,-31279066000.000000,353933000.000000,,-30925133000.000000,45584169000.000000,-11712057000.000000,,,-11712057000.000000,33872112000.000000,,,,33872112000.000000,33872112000.000000,33872112000.000000,,33872112000.000000,33872112000.000000,33872112000.000000,,33872112000.000000
12M 2014,1015868035000.000000,-835213759000.000000,180654276000.000000,-77355433000.000000,-31692267000.000000,-42054250000.000000,-3476559000.000000,-132357000.000000,-77355433000.000000,103298843000.000000,-35909140000.000000,-37471094000.000000,1561954000.000000,,-35909140000.000000,67389703000.000000,-17254715000.000000,,,-17254715000.000000,50134988000.000000,66883200000.000000,,66883200000.000000,117018188000.000000,50134988000.000000,50134988000.000000,,50134988000.000000,117018188000.000000,117018188000.000000,,117018188000.000000
12M 2015,987862829000.000000,-805199126000.000000,182663703000.000000,-98996349000.000000,-29618027000.000000,-41343027000.000000,-27656847000.000000,-378448000.000000,-98996349000.000000,83667354000.000000,-41915207000.000000,-42913801000.000000,998594000.000000,,-41915207000.000000,41752147000.000000,-11080809000.000000,,,-11080809000.000000,30671338000.000000,-3891767000.000000,,-3891767000.000000,26779571000.000000,30671338000.000000,30671338000.000000,,30671338000.000000,26779571000.000000,26779571000.000000,,26779571000.000000
12M 2016,1039635856000.000000,-860991306000.000000,178644550000.000000,-60222509000.000000,-31190805000.000000,-43872854000.000000,16124916000.000000,-1283766000.000000,-60222509000.000000,118422041000.000000,-29855907000.000000,-45580276000.000000,15724369000.000000,,-29855907000.000000,88566134000.000000,-22882997000.000000,,,-22882997000.000000,65683137000.000000,77208411000.000000,,77208411000.000000,142891548000.000000,65683137000.000000,65683137000.000000,,65683137000.000000,142891548000.000000,142891548000.000000,,142891548000.000000
12M 2017,1077046664000.000000,-909634269000.000000,167412395000.000000,-58896292000.000000,-42312029000.000000,-59331006000.000000,-6313786000.000000,49060529000.000000,-58896292000.000000,108516103000.000000,-48837836000.000000,-49258126000.000000,420290000.000000,,-48837836000.000000,59678267000.000000,-15567442000.000000,,,-15567442000.000000,44110825000.000000,-7179149000.000000,,-7179149000.000000,36931676000.000000,44110825000.000000,44110682000.000000,143000.000000,44110825000.000000,36931676000.000000,36931530000.000000,146000.000000,36931676000.000000
