Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Pemasok,Karyawan,Total Pembayaran Kas Kepada:,Penghasilan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Penerimaan Aset Lain-Lain,Pembayaran Aset Lain-Lain,Pembayaran Lain-Lain,Pencairan Aset Keuangan Lainnya,Penempatan Aset Keuangan Lainnya,Penghasilan Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Piutang Jangka Panjang,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penempatan Aset Keuangan Lainnya,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Hutang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Pendek,Penambahan (Pembayaran) Hutang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Total Penambahan (Pembayaran) Hutang Bank Jangka Panjang,Pembayaran Sewa Pembiayaan,Penerimaan Sewa Pembiayaan,Pembayaran Biaya Emisi Saham,Penerbitan Saham Baru,Penerimaan Dari Penawaran Umum Terbatas,Pembayaran Bunga Dan Provisi Bank,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,12888527265.000000,480242158205.000000,-444679946440.000000,,,-444679946440.000000,,-15858921440.000000,-6814763060.000000,,,,,,,,12888527265.000000,-5665747930.000000,518769942.000000,,,,,-6184517872.000000,-5665747930.000000,-9988236694.000000,-1489865818.000000,,,,-8347020000.000000,-8347020000.000000,-151350876.000000,,,,,,-9988236694.000000,,-2765457359.000000,22919654970.000000,,20154197611.000000
12M 2009,843083666.000000,309234700073.000000,-294391908541.000000,,,-294391908541.000000,,-11754599969.000000,-4633089409.000000,,,2387981512.000000,,,,,843083666.000000,-7194430114.000000,203239788.000000,,,578384517.000000,,-7976054419.000000,-7194430114.000000,1221616853.000000,12133566439.000000,,,,-10485116383.000000,-10485116383.000000,-426833203.000000,,,,,,1221616853.000000,,-5129729595.000000,20154197611.000000,,15024468016.000000
12M 2010,25105090279.000000,374080690119.000000,-337597960015.000000,,,-337597960015.000000,,-9073711315.000000,-5208893233.000000,,,2904964723.000000,,,,,25105090279.000000,-12409728183.000000,4593149.000000,,,,,-12414321332.000000,-12409728183.000000,-18054008503.000000,-7309064748.000000,,,,-10392224721.000000,-10392224721.000000,-352719034.000000,,,,,,-18054008503.000000,,-5358646407.000000,15024468016.000000,,9665821609.000000
12M 2011,-44903715248.000000,543132084449.000000,-511670119945.000000,,,-511670119945.000000,,-16146257674.000000,-8406564119.000000,,,-51812857959.000000,,,,,-44903715248.000000,-28007039731.000000,497564246.000000,,,,,-28504603977.000000,-28007039731.000000,68592971973.000000,52707328748.000000,,,,16308362715.000000,16308362715.000000,-422719490.000000,,,,,,68592971973.000000,,-4317783006.000000,9665821609.000000,,5348038603.000000
12M 2012,10135112124.000000,679436685039.000000,-575791272225.000000,,,-575791272225.000000,,-21316731097.000000,-7879693057.000000,,,-64313876536.000000,,,,,10135112124.000000,-22522077672.000000,270123787.000000,,,,,-22792201459.000000,-22522077672.000000,14936320046.000000,,22155023220.000000,,,-6513841595.000000,-6513841595.000000,-704861579.000000,,,,,,14936320046.000000,,2549354498.000000,5348038603.000000,,7897393101.000000
12M 2013,-75416394000.000000,815474910000.000000,,-776480883000.000000,288992000.000000,-776191891000.000000,353933000.000000,-31279066000.000000,-14527833000.000000,,-2081980000.000000,-67164467000.000000,,,,,-75416394000.000000,-72687715000.000000,,,,,-48397043000.000000,-24290672000.000000,-72687715000.000000,142224349000.000000,,117347136000.000000,,13005974000.000000,,13005974000.000000,,11871239000.000000,,,,,142224349000.000000,,-5879760000.000000,7897393000.000000,5288256000.000000,7305889000.000000
12M 2014,-18339125000.000000,945838672000.000000,,-760616181000.000000,-66759167000.000000,-827375348000.000000,1561954000.000000,-37471094000.000000,-23676679000.000000,,-311649000.000000,-76904981000.000000,,,,,-18339125000.000000,-184922462000.000000,,,-78031128000.000000,,-11787093000.000000,-95104241000.000000,-184922462000.000000,222099920000.000000,,-3122722000.000000,,8337200000.000000,,8337200000.000000,,-6044824000.000000,-7069734000.000000,230000000000.000000,,,222099920000.000000,,18838333000.000000,7305889000.000000,6909916000.000000,33054138000.000000
12M 2015,227973322000.000000,1158387553000.000000,,-724324119000.000000,-68137951000.000000,-792462070000.000000,998574000.000000,-42913801000.000000,-18212665000.000000,,,-70961054000.000000,,-6863215000.000000,,,227973322000.000000,-419184499000.000000,,,-163014090000.000000,,,-256170409000.000000,-419184499000.000000,205542530000.000000,,18680869000.000000,,196126145000.000000,,196126145000.000000,-9264484000.000000,,,,,,205542530000.000000,,14331353000.000000,33054138000.000000,-7556918000.000000,39828573000.000000
12M 2016,-13476751000.000000,1038055746000.000000,,-838906310000.000000,-80042134000.000000,-918948444000.000000,15724369000.000000,-45580276000.000000,-22017708000.000000,,,-32024442000.000000,,-48685996000.000000,,,-13476751000.000000,-32619938000.000000,,,-2782600000.000000,,,-29837338000.000000,-32619938000.000000,51991359000.000000,-7960142000.000000,,,,-14239864000.000000,-14239864000.000000,-16495300000.000000,,,90686665000.000000,,,51991359000.000000,,5894670000.000000,42828574000.000000,7564110000.000000,56287354000.000000
12M 2017,-24310971000.000000,1055716790000.000000,,-835432841000.000000,-101643035000.000000,-937075876000.000000,1649245000.000000,-49258126000.000000,-27950553000.000000,49060529000.000000,,-96437825000.000000,,-20015155000.000000,,,-24310971000.000000,-7099653000.000000,,,-2589130000.000000,,,-4510523000.000000,-7099653000.000000,-10731172000.000000,,31467725000.000000,,,-33043096000.000000,-33043096000.000000,-9155801000.000000,,,,,,-10731172000.000000,,-42141796000.000000,56287354000.000000,-3741047000.000000,10404511000.000000
