Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pembiayaan Konsumen,Pengeluaran Kas Untuk Pembiayaan Konsumen,Pembayaran Kas Untuk Operasional,Pembayaran Beban Bunga Dan Provisi,Pembayaran Pajak Penghasilan Badan,Penerimaan Kas Dari Pendapatan Bunga,Penerimaan Kas Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Hasil Penjualan Aset Tetap,Penambahan Jaminan Komitmen,Pengurangan Jaminan Komitmen,Penambahan Uang Muka Aset Takberwujud,Penempatan Investasi Entitas Anak,Penambahan Uang Muka Investasi,Penambahan Investasi Asosiasi,Pembayaran Aset Hak-Guna,Pembayaran Uang Muka Pembelian Aset Tetap,Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Saldo Bank Yang Dibatasi Penggunaannya,Pembayaran Emisi Saham,Pembayaran Utang Lain-Lain,Pembayaran Utang Bank Jangka Pendek,Penambahan Utang Obligasi,Pembayaran Utang Obligasi,Penerimaan Penambahan Modal Melalui Penawaran Umum Saham Perdana,Penerimaan Dari Kepentingan Nonpengendali Atas Investasi Pada Entitas Anak,Penambahan Utang Bank Jangka Pendek,Penambahan Pinjaman Pihak Ketiga,Pembayaran Pinjaman Pihak Ketiga,Penambahan Pinjaman Pihak Berelasi,Pembayaran Pinjaman Pihak Berelasi,Pembayaran Liabilitas Lain-Lain,Pembayaran Liabilitas Sewa,Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Ditambah :,Saldo Awal Tahun Kas Dan Setara Kas Milik Hale,Dikurangi Saldo Akhir Periode Kas Dan Setara Kas Dan Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2021,-81321861454.000000,28164875713.000000,-106712077202.000000,-10190597888.000000,-697994299.000000,-2016380064.000000,675722091.000000,9454590195.000000,-81321861454.000000,-7412639115.000000,,,,,,,,,-5000000000.000000,,-342055780.000000,-2070583335.000000,-7412639115.000000,118795584380.000000,,-5127084483.000000,,,,,,,,,,124351984624.000000,-4576826161.000000,,-1368528480.000000,5516038880.000000,118795584380.000000,30061083811.000000,,,,,,30061083811.000000
12M 2022,-79344884615.000000,49648103224.000000,-56314203538.000000,-59795687842.000000,-6957334359.000000,-12113611433.000000,444038780.000000,5743810553.000000,-79344884615.000000,-88604605019.000000,,-53084907427.000000,,-20000000000.000000,,-5205000000.000000,,,,5778132.000000,-4063629595.000000,-6256846129.000000,-88604605019.000000,478755741912.000000,-10000000000.000000,-20433153080.000000,,-4300000000.000000,,,338320476000.000000,2952236160.000000,50000000000.000000,,,474554000000.000000,-385681073313.000000,,-4082611682.000000,37425867827.000000,478755741912.000000,310806252278.000000,-44562935.000000,30061083811.000000,,,,340822773154.000000
12M 2023,-233391217236.000000,98419824395.000000,-254566132552.000000,-39231079149.000000,-45865697113.000000,-1729009364.000000,2100129129.000000,7480747418.000000,-233391217236.000000,-91777627393.000000,,-35000000000.000000,53084907427.000000,,,,-40000000000.000000,,,297000000.000000,-2635510190.000000,-67524024630.000000,-91777627393.000000,176080633206.000000,-25000000000.000000,,,,30192623279.000000,,,3101524136.000000,50000000000.000000,,,149692968456.000000,-29128895465.000000,,-2777587200.000000,,176080633206.000000,-149088211423.000000,-167013233.000000,340822773154.000000,,,,191567548498.000000
12M 2024,-318870218640.000000,228515389346.000000,-433578662988.000000,-20418616179.000000,-62666817049.000000,-10387797154.000000,1078030423.000000,-21411745039.000000,-318870218640.000000,-58710107653.000000,,-15576075953.000000,,,-1218825000.000000,,,,,,-40677741860.000000,-1237464840.000000,-58710107653.000000,214759562990.000000,-10000000000.000000,,,,154392844324.000000,,,,8320000000.000000,,,143685091313.000000,-81053135083.000000,,-585237564.000000,,214759562990.000000,-162820763303.000000,4794390580.000000,191567548498.000000,,,,33541175775.000000
