Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Goodwill,Piutang Pihak Berelasi,Investasi Jangka Panjang,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Dari Pihak Berelasi,Utang Obligasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Sewa Pembiayaan,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,30061083811.000000,180624898335.000000,180624898335.000000,,180624898335.000000,30000000.000000,30000000.000000,,30000000.000000,,7338449650.000000,218054431796.000000,,,2673194859.000000,458641936.000000,2093712587.000000,,,,18683033398.000000,23908582780.000000,241963014576.000000,,,203140945913.000000,4300000000.000000,486325168.000000,,,486325168.000000,,,,,1987227981.000000,3773897635.000000,,,,2379395430.000000,2379395430.000000,,,190214099699.000000,203140945913.000000,5661752934.000000,,219351457.000000,,,,,,,5442401477.000000,5661752934.000000,208802698847.000000,,20652505500.000000,11325088906.000000,356717099.000000,,356717099.000000,356717099.000000,126935650.000000,699068574.000000,33160315729.000000,241963014576.000000,206525055.000000
12M 2022,,,340822773154.000000,269265975263.000000,269265975263.000000,,269265975263.000000,3843066784.000000,893349419.000000,2949717365.000000,3843066784.000000,,66974213553.000000,680906028754.000000,,,4460141925.000000,7746915982.000000,7551632749.000000,,,,35402488861.000000,55161179517.000000,736067208271.000000,,,339997048653.000000,50000000000.000000,5246929054.000000,,,5246929054.000000,88748016.000000,,,88748016.000000,1968165524.000000,2909312295.000000,,,,3728235126.000000,3728235126.000000,,,276055658638.000000,339997048653.000000,3446567815.000000,,222814890.000000,2505837729.000000,,,,,,717915196.000000,3446567815.000000,343443616468.000000,,31325967225.000000,355964817928.000000,1105293545.000000,120000000.000000,985293545.000000,1105293545.000000,3594484978.000000,633028127.000000,392623591803.000000,736067208271.000000,6265193445.000000
12M 2023,,,191567548498.000000,541905856300.000000,541905856300.000000,,541905856300.000000,2776535930.000000,426821377.000000,2349714553.000000,2776535930.000000,,32095779262.000000,768345719990.000000,,40000000000.000000,6886812257.000000,7637878424.000000,91789067076.000000,1794777454.000000,,,42660320096.000000,190768855307.000000,959114575297.000000,,,559033376812.000000,100000000000.000000,2702852642.000000,,,2702852642.000000,530430607.000000,,,530430607.000000,2232908502.000000,12384187840.000000,,,,2394221618.000000,2394221618.000000,,30192623279.000000,408596152324.000000,559033376812.000000,1084271930.000000,,219126881.000000,,,,,,,865145049.000000,1084271930.000000,560117648742.000000,,31325967225.000000,355964817928.000000,2708518737.000000,620000000.000000,2088518737.000000,2708518737.000000,6696009114.000000,2301613551.000000,398996926555.000000,959114575297.000000,6265193445.000000
12M 2024,,,33541175775.000000,867639876928.000000,867639876928.000000,,867639876928.000000,540743400.000000,540743400.000000,,540743400.000000,,71556977625.000000,973278773728.000000,,36933712081.000000,9736184622.000000,78393370096.000000,68003884302.000000,1794777454.000000,,,14369849749.000000,209231778304.000000,1182510552032.000000,,,701429135911.000000,108320000000.000000,4405114275.000000,,,4405114275.000000,305270976.000000,,,305270976.000000,8348206671.000000,5997047970.000000,,,,1666663906.000000,1666663906.000000,,184585467603.000000,387801364510.000000,701429135911.000000,73366387838.000000,,219868440.000000,,,,,,,73146519398.000000,73366387838.000000,774795523749.000000,,31325967225.000000,355964817928.000000,13264801472.000000,670000000.000000,12594801472.000000,13264801472.000000,4836626714.000000,2322814944.000000,407715028283.000000,1182510552032.000000,6265193445.000000
