Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penelitian Dan Pengembangan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,40069516276.000000,-19772670057.000000,20296846219.000000,-16816706379.000000,-851669544.000000,-15965036835.000000,,-16816706379.000000,3480139840.000000,94848563.000000,,,,,94848563.000000,94848563.000000,3574988403.000000,-2366618856.000000,-4821886294.000000,2455267438.000000,-2366618856.000000,1208369547.000000,,1208369547.000000,696234287.000000,696234287.000000,696234287.000000,1904603834.000000,1208369547.000000,356717099.000000,851652448.000000,1208369547.000000,1904603834.000000,1055785673.000000,848818161.000000,1904603834.000000
12M 2022,73184040737.000000,-41139263412.000000,32044777325.000000,-26801190214.000000,-3220672250.000000,-23580517964.000000,,-26801190214.000000,5243587111.000000,266407005.000000,,,,,266407005.000000,266407005.000000,5509994116.000000,-4260628732.000000,-6037139473.000000,1776510741.000000,-4260628732.000000,1249365384.000000,,1249365384.000000,-51516217.000000,-51516217.000000,-51516217.000000,1197849167.000000,1249365384.000000,748576446.000000,500788938.000000,1249365384.000000,1197849167.000000,682535999.000000,515313168.000000,1197849167.000000
12M 2023,181967665791.000000,-113881241826.000000,68086423965.000000,-58125677678.000000,-9312318609.000000,-48813359069.000000,,-58125677678.000000,9960746287.000000,-3131825979.000000,,,,,-3131825979.000000,-3131825979.000000,6828920308.000000,-6697177284.000000,-9195749183.000000,2498571899.000000,-6697177284.000000,131743024.000000,,131743024.000000,1668585424.000000,1668585424.000000,1668585424.000000,1800328448.000000,131743024.000000,1603225192.000000,-1471482168.000000,131743024.000000,1800328448.000000,3286855627.000000,-1486527179.000000,1800328448.000000
12M 2024,303538111695.000000,-204032702720.000000,99505408975.000000,-87085151281.000000,-11734659604.000000,-75350491677.000000,,-87085151281.000000,12420257694.000000,3209214672.000000,,,,,3209214672.000000,3209214672.000000,15629472366.000000,-6947632379.000000,-9791550292.000000,2843917913.000000,-6947632379.000000,8681839987.000000,,8681839987.000000,36261741.000000,36261741.000000,36261741.000000,8718101728.000000,8681839987.000000,10541237725.000000,-1859397738.000000,8681839987.000000,8718101728.000000,10577484128.000000,-1859382400.000000,8718101728.000000
