Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Beban Akrual,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Beban Akrual,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,,101928000.000000,4400898710.000000,,,4400898710.000000,4502826710.000000,,6522021675.000000,,8937986307.000000,20232062986.000000,35692070968.000000,40194897678.000000,,,690672163.000000,,,690672163.000000,,690672163.000000,11229671904.000000,5593584904.000000,,5636087000.000000,11229671904.000000,11920344067.000000,,98763480650.000000,3678150000.000000,-74167077039.000000,,,-74167077039.000000,,28274553611.000000,40194897678.000000,442589871.000000
12M 2017,,,146285757.000000,4400898710.000000,,,4400898710.000000,4547184467.000000,,6639521675.000000,45396105585.000000,9387715693.000000,20232062986.000000,81655405939.000000,86202590406.000000,,,50989690489.000000,50989690489.000000,,,,50989690489.000000,6810607000.000000,,130000000.000000,6680607000.000000,6810607000.000000,57800297489.000000,,98763480650.000000,3698150000.000000,-74059337733.000000,,,-74059337733.000000,,28402292917.000000,86202590406.000000,442589871.000000
12M 2018,,,41683149.000000,,,,,41683149.000000,,6639521675.000000,45396105585.000000,5740214274.000000,16732062986.000000,74507904520.000000,74549587669.000000,,,59166165079.000000,58866665079.000000,130000000.000000,169500000.000000,,59166165079.000000,179869000.000000,,,179869000.000000,179869000.000000,59346034079.000000,,98763480650.000000,3698150000.000000,-87258077060.000000,,,-87258077060.000000,,15203553590.000000,74549587669.000000,442589871.000000
