Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,2913150000.000000,,2913150000.000000,-3225180631.000000,-3225180631.000000,-3225180631.000000,-312030631.000000,-330560140.000000,-605000.000000,,-329955140.000000,-330560140.000000,-642590771.000000,,-642590771.000000,233395000.000000,-409195771.000000,-642590771.000000,-642590771.000000,,-642590771.000000,-409195771.000000,-409195771.000000,,-409195771.000000
12M 2017,3748725250.000000,-1235431690.000000,2513293560.000000,-2760731000.000000,-2760731000.000000,-2760731000.000000,-247437440.000000,-40322640.000000,-667500.000000,,-39655140.000000,-40322640.000000,-287760080.000000,449729386.000000,161969306.000000,-171730000.000000,-9760694.000000,161969306.000000,161969306.000000,,161969306.000000,-9760694.000000,-9760694.000000,,-9760694.000000
12M 2018,3000000000.000000,-716324097.000000,2283675903.000000,-4848416893.000000,-4848416893.000000,-4848416893.000000,-2564740990.000000,-8316147918.000000,-1860000.000000,,-8314287918.000000,-8316147918.000000,-10880888908.000000,-3647501419.000000,-14528390327.000000,1329651000.000000,-13198739327.000000,-14528390327.000000,-14528390327.000000,,-14528390327.000000,-13198739327.000000,-13198739327.000000,,-13198739327.000000
