Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Bunga,Kenaikan Piutang Lain-Lain,Penurunan Hutang Pajak,Penurunan Biaya Yang Masih Harus Dibayar,Penerimaan Uang Muka Penjualan Aset,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Piutang Lain-Lain,Piutang Pihak Berelasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank,Pelunasan Utang Bank,Tambahan Modal Disetor,Pinjaman Dari Pihak Yang Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,881135860.000000,2913150000.000000,-2032014140.000000,,,,,,881135860.000000,-820298000.000000,-820298000.000000,,,-820298000.000000,,,,,,,60837860.000000,41090140.000000,101928000.000000
12M 2017,24357757.000000,3748725250.000000,-3724367493.000000,,,,,,24357757.000000,-45396105585.000000,,-45396105585.000000,,-45396105585.000000,45416105585.000000,45396105585.000000,,20000000.000000,,45416105585.000000,44357757.000000,101928000.000000,146285757.000000
12M 2018,-7981577198.000000,3000000000.000000,-10981577198.000000,,,,,,-7981577198.000000,,,,,,7876974590.000000,7876974590.000000,,,,7876974590.000000,-104602608.000000,146285757.000000,41683149.000000
