Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba Dari Ventura Bersama,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,248709731000.000000,-170086685000.000000,78623046000.000000,-65439144000.000000,-8659869000.000000,-56779275000.000000,-65439144000.000000,13183902000.000000,29741772000.000000,4534325000.000000,-1859571000.000000,5667844000.000000,21399174000.000000,29741772000.000000,42925674000.000000,-5434607000.000000,-263575000.000000,-5171032000.000000,-5434607000.000000,37491067000.000000,,37491067000.000000,6186879000.000000,,6186879000.000000,43677946000.000000,37491067000.000000,26480525000.000000,11010542000.000000,37491067000.000000,43677946000.000000,32557719000.000000,11120227000.000000,43677946000.000000
12M 2020,3730862000.000000,-640156000.000000,3090706000.000000,-43073199000.000000,-9086353000.000000,-33986846000.000000,-43073199000.000000,-39982493000.000000,47812838000.000000,2641971000.000000,-2138828000.000000,32802208000.000000,14507487000.000000,47812838000.000000,7830345000.000000,35080000.000000,35080000.000000,,35080000.000000,7865425000.000000,,7865425000.000000,759614000.000000,,759614000.000000,8625039000.000000,7865425000.000000,17818118000.000000,-9952693000.000000,7865425000.000000,8625039000.000000,18636814000.000000,-10011775000.000000,8625039000.000000
12M 2021,2821724000.000000,-1779228000.000000,1042496000.000000,-62274506000.000000,-23050561000.000000,-39223945000.000000,-62274506000.000000,-61232010000.000000,10864360000.000000,418404000.000000,-2824231000.000000,6372534000.000000,6897653000.000000,10864360000.000000,-50367650000.000000,44826000.000000,44826000.000000,,44826000.000000,-50322824000.000000,,-50322824000.000000,481570000.000000,,481570000.000000,-49841254000.000000,-50322824000.000000,-30843282000.000000,-19479542000.000000,-50322824000.000000,-49841254000.000000,-30148241000.000000,-19693013000.000000,-49841254000.000000
12M 2022,275599180000.000000,-143032796000.000000,132566384000.000000,-87769163000.000000,-45036240000.000000,-42732923000.000000,-87769163000.000000,44797221000.000000,-9901859000.000000,1544550000.000000,-9465362000.000000,-2081295000.000000,100248000.000000,-9901859000.000000,34895362000.000000,-6851078000.000000,18474000.000000,-6869552000.000000,-6851078000.000000,28044284000.000000,,28044284000.000000,1049867000.000000,,1049867000.000000,29094151000.000000,28044284000.000000,205740000.000000,27838544000.000000,28044284000.000000,29094151000.000000,690340000.000000,28403811000.000000,29094151000.000000
12M 2023,82317521000.000000,-48597948000.000000,33719573000.000000,-168667546000.000000,-79386301000.000000,-89281245000.000000,-168667546000.000000,-134947973000.000000,-9517353000.000000,1089189000.000000,-14962304000.000000,-250478000.000000,4606240000.000000,-9517353000.000000,-144465326000.000000,-1985442000.000000,24861000.000000,-2010303000.000000,-1985442000.000000,-146450768000.000000,,-146450768000.000000,-939532000.000000,,-939532000.000000,-147390300000.000000,-146450768000.000000,-90244453000.000000,-56206315000.000000,-146450768000.000000,-147390300000.000000,-91337652000.000000,-56052648000.000000,-147390300000.000000
12M 2024,216640836000.000000,-162489024000.000000,54151812000.000000,-219048021000.000000,-148778764000.000000,-70269257000.000000,-219048021000.000000,-164896209000.000000,-30414468000.000000,934418000.000000,-13425905000.000000,-3690490000.000000,-14232491000.000000,-30414468000.000000,-195310677000.000000,-5307323000.000000,26394000.000000,-5333717000.000000,-5307323000.000000,-200618000000.000000,,-200618000000.000000,3127556000.000000,,3127556000.000000,-197490444000.000000,-200618000000.000000,-133851628000.000000,-66766372000.000000,-200618000000.000000,-197490444000.000000,-131318766000.000000,-66171678000.000000,-197490444000.000000
